name,type,article,issue,context
Hannah Arendt,theorist,"Proximities of Violence: The Zone of Interest","77.3","Source of ""banality of evil"" and ""administrative massacre"" from her Eichmann report"
Theodor W. Adorno,theorist,"Proximities of Violence: The Zone of Interest","77.3","His ""poetry after Auschwitz is barbaric"" statement, discussed via its misreading"
Terri Ginsberg,theorist,"Proximities of Violence: The Zone of Interest","77.3","Coined ""the Adorno taboo""; argues the taboo extends to formal analysis"
Gillian Rose,theorist,"Proximities of Violence: The Zone of Interest","77.3","Philosopher whose ""Holocaust piety/ethnography"" frames the analysis (also epigraph)"
Margaret Olin,theorist,"Proximities of Violence: The Zone of Interest","77.3","""Topography of the Holocaust film""; soil implicated in mass murder"
Laura Marks,theorist,"Proximities of Violence: The Zone of Interest","77.3","Her theory of hapticity / haptic cinema and distrust of the visual archive"
Judith Butler,theorist,"Proximities of Violence: The Zone of Interest","77.3","""Framing,"" ""frames of war,"" and the grievability of lives"
Fiona Jenkins,theorist,"Proximities of Violence: The Zone of Interest","77.3","Builds on Butler to outline ""sensate criticism"""
Richard Walther Darre,theorist,"Proximities of Violence: The Zone of Interest","77.3","Author of 1930 ""blood and soil"" agrarian-ethnonationalist ideology central to the garden"
The banality of evil,concept,"Proximities of Violence: The Zone of Interest","77.3","Arendt; central catchphrase critics overuse regarding the film"
Administrative massacre,concept,"Proximities of Violence: The Zone of Interest","77.3","Arendt; routinized bureaucratic genocide as a framing of the film"
The Adorno taboo,concept,"Proximities of Violence: The Zone of Interest","77.3","Ginsberg; taboo against representing/analyzing the Holocaust artistically"
Holocaust piety,concept,"Proximities of Violence: The Zone of Interest","77.3","Gillian Rose; sentimental veneration that blocks self-reflection"
Holocaust ethnography,concept,"Proximities of Violence: The Zone of Interest","77.3","Gillian Rose; exposing the structures that enable fascism"
The fascism of representation,concept,"Proximities of Violence: The Zone of Interest","77.3","Gillian Rose; cinema's manipulation of identification (from her epigraph)"
Hapticity / haptic cinema,concept,"Proximities of Violence: The Zone of Interest","77.3","Laura Marks; tactile evocation compensating for the visual archive's failure"
Frames of war / grievability,concept,"Proximities of Violence: The Zone of Interest","77.3","Judith Butler; media frames differentiating grievable from ungrievable lives"
Sensate criticism,concept,"Proximities of Violence: The Zone of Interest","77.3","Fiona Jenkins; criticism focused on images that overwhelm comprehension"
Blood and soil,concept,"Proximities of Violence: The Zone of Interest","77.3","Darre; voelkisch agrarian-ethnonationalist ideology central to the garden"
Kamila Hladikova,theorist,"Pema Tseden (1969-2023): A Tribute","77.3","Coined ""Shangri-la deconstructed"" to describe Pema's films"
Dan Smyer Yu,theorist,"Pema Tseden (1969-2023): A Tribute","77.3","Cited that religious customs are central to traditional Tibetan practices"
Anup Grewal,theorist,"Pema Tseden (1969-2023): A Tribute","77.3","Cited on the insider point of view and the ""look again"" technique"
Francoise Robin,theorist,"Pema Tseden (1969-2023): A Tribute","77.3","Cited for Pema's ""uneasy relationship"" with the framing of women"
Yang Li,theorist,"Pema Tseden (1969-2023): A Tribute","77.3","Noted women's silence and ""visual exclusion"" in early films"
Robert Barnett,theorist,"Pema Tseden (1969-2023): A Tribute","77.3","Cited on how Pema's fame inspired young Tibetans to make videos"
Chris Berry,theorist,"Pema Tseden (1969-2023): A Tribute","77.3","Author; cites his own argument that Pema's early films are road movies"
Patrick Frater,theorist,"Pema Tseden (1969-2023): A Tribute","77.3","Refers to Pema as a ""pioneer of the Tibetan New Wave"""
Shangri-la deconstructed,concept,"Pema Tseden (1969-2023): A Tribute","77.3","Hladikova; how Pema's films differ from Hollywood fantasies"
Look again,concept,"Pema Tseden (1969-2023): A Tribute","77.3","Grewal (drawn from Kiarostami); technique making audiences question images"
Open narrative,concept,"Pema Tseden (1969-2023): A Tribute","77.3","Berry; ambiguity letting opposed audiences accept the films, a survival strategy"
Road movie,concept,"Pema Tseden (1969-2023): A Tribute","77.3","Berry; early films as journeys traversing the Tibetan cultural realm"
Visual exclusion,concept,"Pema Tseden (1969-2023): A Tribute","77.3","Yang Li; the silencing and exclusion of women in early films"
Tibetan New Wave,concept,"Pema Tseden (1969-2023): A Tribute","77.3","Named movement of which Frater calls Pema a pioneer"
Lalitha Gopalan,theorist,"Seeing Things: A Conversation with Kartik Nair","77.3","Her ""cinema of interruption""; masala interrupts the horror mode"
Meheli Sen,theorist,"Seeing Things: A Conversation with Kartik Nair","77.3","Horror as symptom of the frayed political fabric of 1970s-80s India"
Valentina Vitali,theorist,"Seeing Things: A Conversation with Kartik Nair","77.3","Argues horror emerged because surplus cash needed a low-budget genre"
Rashna Richards,theorist,"Seeing Things: A Conversation with Kartik Nair","77.3","Her ""materialist film historiography"" formulation Nair adapts"
Linda Williams,theorist,"Seeing Things: A Conversation with Kartik Nair","77.3","Her essay on ""body genres"" that move viewers via the body"
Caetlin Benson-Allott,theorist,"Seeing Things: A Conversation with Kartik Nair","77.3","Niche / new-media audiences shape film culture's futures"
Spectral materiality,concept,"Seeing Things: A Conversation with Kartik Nair","77.3","Nair; central frame for the filmic matter of Bombay horror"
Materialist film historiography,concept,"Seeing Things: A Conversation with Kartik Nair","77.3","Richards; charting off-screen networks of labor, energy, finance"
Cinema of interruption,concept,"Seeing Things: A Conversation with Kartik Nair","77.3","Gopalan; the masala form interrupting the horror mode"
Body genres,concept,"Seeing Things: A Conversation with Kartik Nair","77.3","Linda Williams; genres moving the viewer via overt bodily display"
Masala,concept,"Seeing Things: A Conversation with Kartik Nair","77.3","Genre-blending Bombay form juxtaposing horror, melodrama, romance, comedy"
Censor script,concept,"Seeing Things: A Conversation with Kartik Nair","77.3","Nair; intermedia archival source describing the finished film for censors"
Indexicality,concept,"Seeing Things: A Conversation with Kartik Nair","77.3","Recurring frame treating on-screen failures and props as indexes of production"
Pier Paolo Pasolini,theorist,"Alice Rohrwacher's Cinema of Poetry","77.4","Source of ""cinema of poetry""; note 10 calls it critical for reading Rohrwacher"
Caetlin Benson-Allott,theorist,"Alice Rohrwacher's Cinema of Poetry","77.4","Film critic quoted on Louvart's ""kinetic genius"" and feminist ethics"
Goffredo Fofi,theorist,"Alice Rohrwacher's Cinema of Poetry","77.4","Named as the Italian intellectual and film critic; Rohrwacher's interlocutor"
Erika Balsom,theorist,"Alice Rohrwacher's Cinema of Poetry","77.4","Cited (note 7) for the term ""feminist worldmaking"""
Hila Peleg,theorist,"Alice Rohrwacher's Cinema of Poetry","77.4","Cited (note 7) with Balsom on feminist worldmaking and the moving image"
Cinema of poetry,concept,"Alice Rohrwacher's Cinema of Poetry","77.4","Pasolini; organizing framework for Rohrwacher's move beyond realism toward enchantment"
Eros and Thanatos,concept,"Alice Rohrwacher's Cinema of Poetry","77.4","Invoked as the fundamental drives Rohrwacher focuses on (no theorist named)"
Feminist worldmaking,concept,"Alice Rohrwacher's Cinema of Poetry","77.4","Balsom and Peleg; frames Rohrwacher's antipatriarchal world making"
Hannah Arendt,theorist,"'You're my people': Accounting for the 'Us' in The Last of Us","77.4","Political theorist whose ""representative thinking"" frames the show; quoted repeatedly"
Naomi Klein,theorist,"'You're my people': Accounting for the 'Us' in The Last of Us","77.4","Cited for ""doppelganger politics"" and the ""mirror world"" of contemporary politics"
Judith Butler,theorist,"'You're my people': Accounting for the 'Us' in The Last of Us","77.4","Quoted on grief exposing the constitutive sociality of the self"
Representative thinking,concept,"'You're my people': Accounting for the 'Us' in The Last of Us","77.4","Arendt; considering an issue from absent others' standpoints"
Doppelganger politics,concept,"'You're my people': Accounting for the 'Us' in The Last of Us","77.4","Klein; rivals replicating each other's worst aspects"
Mirror world,concept,"'You're my people': Accounting for the 'Us' in The Last of Us","77.4","Klein; framing of contemporary politics that media might escape"
Radical forgiveness,concept,"'You're my people': Accounting for the 'Us' in The Last of Us","77.4","Arendt; frees people from the unforeseen outcomes of their actions"
Grief / sociality of the self,concept,"'You're my people': Accounting for the 'Us' in The Last of Us","77.4","Butler; grief delineates ties to others and exposes the self's sociality"
Francesco Casetti,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Hassapopoulou borrows his term ""diffusion"" to redefine the cinematic"
Lev Manovich,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Co-creator of Soft Cinema, the algorithmic cinema series analyzed"
Andreas Kratky,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Co-creator with Manovich of the Soft Cinema project"
Janet Staiger,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Cited for her concept of the ""perverse spectator"""
Janet Murray,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Foundational theorist; game playing reveals hidden parts of ourselves"
Lynn Hershman Leeson,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Theorist-practitioner whose work and writing inspired the book"
Toni Dove,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Multimedia artist-theorist who published practice-informed theory on interactivity"
Anne Friedberg,theorist,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Author of The Virtual Window, remediated interactively by Erik Loyer"
Viewser,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Hassapopoulou; portmanteau (viewer + user) for the hybrid interactive subject"
Hypercontextual approach,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Hassapopoulou; method rooting interactive texts in sociopolitical contexts"
Procedural spectatorship,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Hassapopoulou; the viewser focuses on how, not what, is narrated"
Perverse spectator,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Janet Staiger; applied to the viewser of Stockholm"
Suture,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Classical concept given a posthuman twist; the viewser remains unsutured"
Soft Cinema,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Manovich and Kratky; software-generated, algorithmic cinema series"
Diffusion,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Casetti; term used to redefine the cinematic"
Ocularcentrism,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Traditional bias of film theory the book disrupts"
Media archaeology,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Method of excavating and studying ephemeral interactive media"
Remediation,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Reworking obsolete media into new interfaces (also Friedberg/Loyer's Virtual Window)"
Expanded cinema,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Historical multimedia ethos Hassapopoulou traces interactivity back to"
Posthuman / nonhuman,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Reconfigured sensorium and nonhuman agents of interactivity beyond anthropocentrism"
Interactivity,concept,"Interactive Cinema: A Conversation with Marina Hassapopoulou","77.4","Central concept; no singular definition, treated as a generative continuum"
