Film_TMDB_ID,Film_Title,Film_Director_Name
,12 Angry Men,Sidney Lumet
,2001: A Space Odyssey,Stanley Kubrick
,8 1/2,Federico Fellini
,A Clockwork Orange,Stanley Kubrick
,Andrei Rublev,Andrei Tarkovsky
,Apocalypse Now,Francis Ford Coppola
,Au Hasard Balthazar,Robert Bresson
,Barry Lyndon,Stanley Kubrick
,Battleship Potemkin,Sergei Eisenstein
,Bicycle Thieves,Vittorio De Sica
,Breathless,Jean-Luc Godard
,Casablanca,Michael Curtiz
,Chinatown,Roman Polanski
,Citizen Kane,Orson Welles
,City Lights,Charlie Chaplin
,Double Indemnity,Billy Wilder
,Dr. Strangelove,Stanley Kubrick
,Ikiru,Akira Kurosawa
,L'Avventura,Michelangelo Antonioni
,La Dolce Vita,Federico Fellini
,Lawrence of Arabia,David Lean
,M,Fritz Lang
,Metropolis,Fritz Lang
,Mirror,Andrei Tarkovsky
,Modern Times,Charlie Chaplin
,North by Northwest,Alfred Hitchcock
,Nosferatu,F.W. Murnau
,Pather Panchali,Satyajit Ray
,Persona,Ingmar Bergman
,Pickpocket,Robert Bresson
,Psycho,Alfred Hitchcock
,Rashomon,Akira Kurosawa
,Rear Window,Alfred Hitchcock
,Seven Samurai,Akira Kurosawa
,Singin' in the Rain,Stanley Donen
,Solaris,Andrei Tarkovsky
,Some Like It Hot,Billy Wilder
,Stalker,Andrei Tarkovsky
,Sunrise,F.W. Murnau
,Sunset Boulevard,Billy Wilder
,Taxi Driver,Martin Scorsese
,The 400 Blows,Francois Truffaut
,The Battle of Algiers,Gillo Pontecorvo
,The Cabinet of Dr. Caligari,Robert Wiene
,The Conformist,Bernardo Bertolucci
,The Passion of Joan of Arc,Carl Theodor Dreyer
,The Rules of the Game,Jean Renoir
,The Searchers,John Ford
,The Seventh Seal,Ingmar Bergman
,The Third Man,Carol Reed
,Tokyo Drifter,Seijun Suzuki
,Tokyo Story,Yasujiro Ozu
,Touch of Evil,Orson Welles
,Vertigo,Alfred Hitchcock
,Woman in the Dunes,Hiroshi Teshigahara
,All We Imagine as Light,Payal Kapadia
,All of Us Strangers,Andrew Haigh
,Asteroid City,Wes Anderson
,Bardo,Alejandro Gonzalez Inarritu
,Beau Is Afraid,Ari Aster
,Broker,Hirokazu Kore-eda
,Close,Lukas Dhont
,Conclave,Edward Berger
,Decision to Leave,Park Chan-wook
,EO,Jerzy Skolimowski
,El Conde,Pablo Larrain
,Evil Does Not Exist,Ryusuke Hamaguchi
,Fallen Leaves,Aki Kaurismaki
,First Cow,Kelly Reichardt
,Flow,Gints Zilbalodis
,I'm Still Here,Walter Salles
,I'm Thinking of Ending Things,Charlie Kaufman
,It Was Just an Accident,Jafar Panahi
,Maestro,Bradley Cooper
,Mank,David Fincher
,May December,Todd Haynes
,Memoria,Apichatpong Weerasethakul
,Minari,Lee Isaac Chung
,Monster,Hirokazu Kore-eda
,Moonrise Kingdom,Wes Anderson
,Nickel Boys,RaMell Ross
,Okja,Bong Joon Ho
,One Battle After Another,Paul Thomas Anderson
,Petite Maman,Celine Sciamma
,Return to Seoul,Davy Chou
,Saint Omer,Alice Diop
,Sentimental Value,Joachim Trier
,Showing Up,Kelly Reichardt
,Sinners,Ryan Coogler
,The Boy and the Heron,Hayao Miyazaki
,The Brutalist,Brady Corbet
,The Farewell,Lulu Wang
,The French Dispatch,Wes Anderson
,The Green Knight,David Lowery
,The Holdovers,Alexander Payne
,The Lost Daughter,Maggie Gyllenhaal
,The Substance,Coralie Fargeat
,The Trial of the Chicago 7,Aaron Sorkin
,The Whale,Darren Aronofsky
,A Tale of Two Sisters,Kim Jee-woon
,Alien,Ridley Scott
,Audition,Takashi Miike
,Avengers: Infinity War,Anthony Russo
,Close Encounters of the Third Kind,Steven Spielberg
,Cure,Kiyoshi Kurosawa
,Dawn of the Dead,George A. Romero
,Dune,Denis Villeneuve
,Dune: Part Two,Denis Villeneuve
,I Saw the Devil,Kim Jee-woon
,Indiana Jones and the Temple of Doom,Steven Spielberg
,Jaws,Steven Spielberg
,Longlegs,Osgood Perkins
,Mad Max 2: The Road Warrior,George Miller
,Night of the Living Dead,George A. Romero
,Pearl,Ti West
,Planet of the Apes,Franklin J. Schaffner
,Possession,Andrzej Zulawski
,Ringu,Hideo Nakata
,Rocky,John G. Avildsen
,Rosemary's Baby,Roman Polanski
,Spider-Man 2,Sam Raimi
,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos
,Star Wars,George Lucas
,Superman,Richard Donner
,Suspiria,Dario Argento
,Talk to Me,Danny Philippou
,The Batman,Matt Reeves
,The Evil Dead,Sam Raimi
,The Exorcist,William Friedkin
,The Host,Bong Joon Ho
,The Lord of the Rings: The Return of the King,Peter Jackson
,The Lord of the Rings: The Two Towers,Peter Jackson
,The Texas Chain Saw Massacre,Tobe Hooper
,The Wicker Man,Robin Hardy
,Thirst,Park Chan-wook
,X,Ti West
,A Streetcar Named Desire,Elia Kazan
,A Woman Under the Influence,John Cassavetes
,"Aguirre, the Wrath of God",Werner Herzog
,Ali: Fear Eats the Soul,Rainer Werner Fassbinder
,All About Eve,Joseph L. Mankiewicz
,Annie Hall,Woody Allen
,Ashes and Diamonds,Andrzej Wajda
,Badlands,Terrence Malick
,Belle de Jour,Luis Bunuel
,Bonnie and Clyde,Arthur Penn
,Bringing Up Baby,Howard Hawks
,Charulata,Satyajit Ray
,Children of Paradise,Marcel Carne
,Cleo from 5 to 7,Agnes Varda
,Contempt,Jean-Luc Godard
,Daisies,Vera Chytilova
,Days of Heaven,Terrence Malick
,Dog Day Afternoon,Sidney Lumet
,Don't Look Now,Nicolas Roeg
,Eraserhead,David Lynch
,Fitzcarraldo,Werner Herzog
,Grand Illusion,Jean Renoir
,Harakiri,Masaki Kobayashi
,Hiroshima Mon Amour,Alain Resnais
,In the Realm of the Senses,Nagisa Oshima
,It's a Wonderful Life,Frank Capra
,Jules and Jim,Francois Truffaut
,Last Year at Marienbad,Alain Resnais
,Late Spring,Yasujiro Ozu
,Manhattan,Woody Allen
,McCabe & Mrs. Miller,Robert Altman
,Mean Streets,Martin Scorsese
,Nashville,Robert Altman
,Network,Sidney Lumet
,On the Waterfront,Elia Kazan
,One Flew Over the Cuckoo's Nest,Milos Forman
,Pierrot le Fou,Jean-Luc Godard
,Rocco and His Brothers,Luchino Visconti
,"Salo, or the 120 Days of Sodom",Pier Paolo Pasolini
,Sansho the Bailiff,Kenji Mizoguchi
,Stagecoach,John Ford
,The Color of Pomegranates,Sergei Parajanov
,The Conversation,Francis Ford Coppola
