theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Neil Postman,Amusing Ourselves to Death,,"Television reframes all public discourse as entertainment, eroding rational debate",Culture,Media & Communication,A. Media Effects & Audiences,Modern,DB,high
Neil Postman,Media Ecology,,Study of media as environments that shape human perception and society,Culture,Media & Communication,A. Media Effects & Audiences,Modern,DB,high
Neil Postman,Technopoly,,"A culture that surrenders to technology, making efficiency its supreme value",Culture,Media & Communication,A. Media Effects & Audiences,Modern,DB,high
Neil Postman,The Disappearance of Childhood,,Electronic media dissolves the information boundary that once defined childhood,Culture,Media & Communication,A. Media Effects & Audiences,Modern,DB,high
Niccolò Machiavelli,The Prince,Il Principe,Manual of realist statecraft on acquiring and holding political power,Politics,Early Modern & Enlightenment Political Thought,C. Republicanism & Civic Humanism,Classical,DB,high
Niccolò Machiavelli,Virtù,virtù,"The ruler's strength, skill, and adaptability to master fortune",Politics,Early Modern & Enlightenment Political Thought,C. Republicanism & Civic Humanism,Classical,DB,high
Niccolò Machiavelli,Appearance vs Reality,,A prince must seem virtuous while acting as necessity demands,Politics,Early Modern & Enlightenment Political Thought,C. Republicanism & Civic Humanism,Classical,DB,high
Niccolò Machiavelli,Civic Virtue,,Citizens' active devotion to the common good sustains the republic,Politics,Early Modern & Enlightenment Political Thought,C. Republicanism & Civic Humanism,Classical,DB,high
Niccolò Machiavelli,Fortuna,fortuna,Chance or fortune as the unpredictable force statesmen must contend with,Politics,Early Modern & Enlightenment Political Thought,C. Republicanism & Civic Humanism,Classical,Knowledge,high
Nicholas Tavuchis,Sociology of Apology,,Apology as a social ritual restoring moral order between offender and offended,Society,Contemporary Sociological Perspectives,,Modern,DB,high
Nicholas Tavuchis,Mea Culpa,Mea Culpa,Sociological study of how saying sorry repairs ruptured social bonds,Society,Contemporary Sociological Perspectives,,Modern,DB,high
Nicholas Tavuchis,Public Apology,,Collective apologies negotiating reconciliation between groups and institutions,Society,Contemporary Sociological Perspectives,,Modern,DB,high
Nick Bostrom,Existential Risk,,Threats that could permanently curtail or destroy humanity's future,Critics,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Contemporary,DB,high
Nick Bostrom,Simulation Hypothesis,,The argument that we likely live inside a computer simulation,Critics,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Contemporary,DB,high
Nick Bostrom,Superintelligence,,"An intellect vastly surpassing humans, posing control and alignment problems",Critics,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Contemporary,DB,high
Nick Couldry,The Myth of the Mediated Centre,,The false belief that media speak for a unified social centre,Culture,Media & Communication,A. Media Effects & Audiences,Contemporary,DB,high
