theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Laura Clancy,Corporate Monarchy,,Monarchy operates as a profit-driven family business and brand,Society,Advanced & Applied Social Theories,General Social Theories,Contemporary,DB,high
Laura Clancy,Running the Family Firm,,"Monarchy reproduces itself through labour, capital and media management",Society,Advanced & Applied Social Theories,General Social Theories,Contemporary,DB,high
Laura Clancy,Wealth Inequality,,Royal wealth exemplifies hidden mechanisms of elite accumulation,Society,Advanced & Applied Social Theories,General Social Theories,Contemporary,DB,high
Laura Clancy,Royal Spectacle,,Monarchy sustains legitimacy through staged public visibility,Society,Advanced & Applied Social Theories,General Social Theories,Contemporary,Knowledge,med
Laura Mulvey,Male Gaze,,Cinema structures looking around active male desire,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,DB,high
Laura Mulvey,To-be-looked-at-ness,,Women coded as passive objects of the screen's look,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,DB,high
Laura Mulvey,Visual Pleasure,,Scopophilia and identification organize narrative cinema's pleasures,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,DB,high
Laura Mulvey,The Gaze,,The look as instrument of power and desire,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,DB,high
Laura Mulvey,Spectatorship,,Viewing positions cinema constructs for its audience,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,DB,high
Laura Mulvey,Death 24x a Second,,Digital pause reveals stillness and death within film,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Contemporary,Knowledge,med
Lauren Berlant,Cruel Optimism,,Attachment to what obstructs the flourishing it promises,Critics,Affect & Sensory,A. Affect Theory,Contemporary,DB,high
Lauren Berlant,Intimate Publics,,Shared feeling worlds formed through mass-cultural sentiment,Critics,Affect & Sensory,A. Affect Theory,Contemporary,DB,high
Lauren Berlant,Affect Theory,,Feeling and emotion as sites of social analysis,Critics,Affect & Sensory,A. Affect Theory,Contemporary,DB,high
Lauren Berlant,Slow Death,,Gradual wearing-out of life under ordinary capitalism,Critics,Affect & Sensory,A. Affect Theory,Contemporary,Knowledge,high
Lauren Berlant,The Female Complaint,,Women's culture circulating dissatisfaction without political rupture,Critics,Affect & Sensory,A. Affect Theory,Contemporary,Knowledge,med
Lawrence Lessig,Code as Law,,Software architecture regulates behavior like legal code,Critics,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,DB,high
Lawrence Lessig,Remix Culture,,Creativity built by reworking existing cultural material,Critics,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,DB,high
Lawrence Lessig,Read/Write Culture,,Participatory culture where audiences remake rather than consume,Critics,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,DB,high
Lawrence Lessig,Cyberlaw,,Legal frameworks shaping the architecture of cyberspace,Critics,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,DB,high
Lawrence Lessig,Free Culture,,Defense of cultural commons against permission-based control,Critics,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Knowledge,high
Leah Plunkett,Sharenthood,,Adults' digital oversharing erodes children's privacy and future,Society,Digital & Network Society,Social Technology & Data,Contemporary,DB,high
Leah Plunkett,Commercial Sharenting,,Parents monetizing children's private lives through digital platforms,Society,Digital & Network Society,Social Technology & Data,Contemporary,Web,high
Leah Plunkett,Thought Compass,,"Decision guide for adults: play, forget, connect, respect",Society,Digital & Network Society,Social Technology & Data,Contemporary,Web,med
Leah Plunkett,Digital Dossier,,Children's accumulated data trail compiled by trusted adults,Society,Digital & Network Society,Social Technology & Data,Contemporary,Web,med
Lee Thompson,Sumo History,,Sociological account of sumo's modern formation,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Contemporary,DB,high
Lee Thompson,Traditionalization of Sumo,,Sumo's traditions partly invented through modern media,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Contemporary,Web,high
Lee Thompson,Muscular Christianity in Japan,,Western athletic-moral ideals adapted to Japanese sport,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Contemporary,DB,med
Lee Thompson,Media and Japanese Sport,,Newspapers and broadcasting shaping sport's modern form,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Contemporary,Web,med
Lennard J. Davis,The Normate,,The unmarked normal body against which disability is defined,Critics,Identity-Based & Political,D. Disability Studies,Contemporary,DB,high
Lennard J. Davis,Enforcing Normalcy,,How statistics and norms produce the disabled body,Critics,Identity-Based & Political,D. Disability Studies,Contemporary,DB,high
Lennard J. Davis,Disability Studies,,Field reframing disability as social and cultural construction,Critics,Identity-Based & Political,D. Disability Studies,Contemporary,DB,high
Lennard J. Davis,Dismodernism,,"Subject defined by shared dependence, not autonomous wholeness",Critics,Identity-Based & Political,D. Disability Studies,Contemporary,Knowledge,med
Leon Festinger,Cognitive Dissonance,,Discomfort from holding contradictory beliefs drives attitude change,Psychology,Social Psychology,C. Social Cognition & Influence,Modern,DB,high
Leon Festinger,Social Comparison,,People evaluate themselves by comparing to others,Psychology,Social Psychology,C. Social Cognition & Influence,Modern,DB,high
Leon Festinger,Deindividuation,,Group anonymity loosens self-restraint and individual identity,Psychology,Social Psychology,C. Social Cognition & Influence,Modern,DB,high
Leon Festinger,Proximity Effect,,Physical nearness increases interpersonal attraction,Psychology,Social Psychology,C. Social Cognition & Influence,Modern,DB,high
Leon Festinger,When Prophecy Fails,,Failed predictions intensify rather than dissolve belief,Psychology,Social Psychology,C. Social Cognition & Influence,Modern,DB,high
Leon Festinger,Group Cohesion,,Forces binding members to a group,Psychology,Social Psychology,C. Social Cognition & Influence,Modern,DB,high
Lev Manovich,The Language of New Media,,Principles defining the aesthetics of digital media,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,DB,high
Lev Manovich,Database,,Digital culture organized as database rather than narrative,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,DB,high
Lev Manovich,Cultural Analytics,,Computational analysis of large-scale cultural datasets,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,DB,high
Lev Manovich,Software Studies,,Software as a cultural and analytical object,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,DB,high
Lev Manovich,Digital Humanities Criticism,,Critical use of computation in humanities inquiry,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,DB,high
Lev Manovich,Transcoding,,Cultural layer and computer layer reshaping each other,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,Knowledge,med
Lewis Coser,Functions of Social Conflict,,Conflict can integrate and stabilize social groups,Society,Classical Sociological Traditions,,Modern,DB,high
Lewis Coser,Greedy Institutions,,"Institutions demanding total, exclusive loyalty from members",Society,Classical Sociological Traditions,,Modern,DB,high
Lewis Coser,Conflict Theory,,Social order analyzed through competing interests and tension,Society,Classical Sociological Traditions,,Modern,DB,high
Lewis Coser,Safety-Valve Institutions,,Channels releasing hostility without threatening the social order,Society,Classical Sociological Traditions,,Modern,Knowledge,med
Lila Abu-Lughod,Veiled Sentiments,,Bedouin poetry expressing what honor norms suppress,Society,Advanced & Applied Social Theories,Race & Ethnicity,Contemporary,DB,high
Lila Abu-Lughod,Do Muslim Women Need Saving?,,Critique of imperial feminism rescuing veiled women,Society,Advanced & Applied Social Theories,Race & Ethnicity,Contemporary,DB,high
Lila Abu-Lughod,Dramas of Nationhood,,Egyptian television serials constructing national subjects,Society,Advanced & Applied Social Theories,Race & Ethnicity,Contemporary,DB,high
Lila Abu-Lughod,Writing Against Culture,,Critique of culture concept as fixing and othering,Society,Advanced & Applied Social Theories,Race & Ethnicity,Contemporary,Knowledge,high
Lilie Chouliaraki,The Spectatorship of Suffering,,How media position distant viewers toward others' pain,Culture,Media & Communication,A. Media Effects & Audiences,Contemporary,DB,high
Lilie Chouliaraki,Ironic Spectatorship,,"Detached, self-oriented stance toward mediated humanitarianism",Culture,Media & Communication,A. Media Effects & Audiences,Contemporary,DB,high
Lilie Chouliaraki,Mediated Cosmopolitanism,,Media cultivating moral concern for distant others,Culture,Media & Communication,A. Media Effects & Audiences,Contemporary,DB,high
Lilie Chouliaraki,The Ironic Spectator,,Post-humanitarian self displacing solidarity with self-expression,Culture,Media & Communication,A. Media Effects & Audiences,Contemporary,Knowledge,med
Limor Shifman,Memes in Digital Culture,,Internet memes as units of cultural transmission,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,DB,high
Limor Shifman,Digital Folklore,,Vernacular online creativity circulating as shared folklore,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,DB,high
Limor Shifman,Political Memes,,Memes as vehicles of participatory political expression,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,DB,high
Limor Shifman,Memetic Dimensions,,"Content, form and stance defining memetic spread",Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Knowledge,med
Lina Khan,Amazon's Antitrust Paradox,,Consumer-welfare antitrust fails to check platform monopoly,Politics,Political Economy & Comparative Politics,A. Political Economy & Neoliberalism,Contemporary,DB,high
Lina Khan,Big Tech Antitrust,,Renewed antitrust enforcement against dominant tech firms,Politics,Political Economy & Comparative Politics,A. Political Economy & Neoliberalism,Contemporary,DB,high
Lina Khan,Platform Competition,,Structural analysis of how platforms entrench market power,Politics,Political Economy & Comparative Politics,A. Political Economy & Neoliberalism,Contemporary,DB,high
