theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Walter Cannon,Fight-or-Flight Response (Biological),,Acute stress triggers sympathetic arousal preparing body to fight or flee,Nature,Behavioral Endocrinology & Stress Biology,B. Stress & HPA Axis,1910s-1930s,DB,high
Walter Cannon,Homeostasis,,Body maintains stable internal physiological conditions through self-regulation,Nature,Behavioral Endocrinology & Stress Biology,B. Stress & HPA Axis,1920s-1930s,Knowledge,high
Walter Cannon,Wisdom of the Body,,Organism's self-regulating mechanisms preserve internal equilibrium automatically,Nature,Behavioral Endocrinology & Stress Biology,B. Stress & HPA Axis,1930s,Knowledge,high
Walter Cannon,Emergency Theory of Emotion,,Physiological arousal mobilizes energy for survival emergencies,Nature,Behavioral Endocrinology & Stress Biology,B. Stress & HPA Axis,1910s-1920s,Knowledge,high
Walter Cannon,Cannon-Bard Theory,,"Emotion and physiological arousal occur simultaneously, not sequentially",Nature,Behavioral Endocrinology & Stress Biology,B. Stress & HPA Axis,1920s,Knowledge,high
Steven Stearns,Life History Theory (Human),,Organisms allocate resources across growth reproduction and survival tradeoffs,Nature,Evolutionary Theory & Human Origins,C. Life History & Demography,1970s-1990s,DB,high
Steven Stearns,Reproductive Tradeoffs,,Investing in current reproduction reduces future reproductive capacity,Nature,Evolutionary Theory & Human Origins,C. Life History & Demography,1980s-1990s,Knowledge,high
Steven Stearns,Phenotypic Plasticity,,Single genotype produces varied phenotypes across environments,Nature,Evolutionary Theory & Human Origins,C. Life History & Demography,1980s-1990s,Knowledge,high
Steven Stearns,Evolution of Senescence,,Aging evolves from declining force of natural selection with age,Nature,Evolutionary Theory & Human Origins,C. Life History & Demography,1990s,Knowledge,med
James M. Dabbs Jr.,Testosterone and Aggression Theory,,Higher testosterone correlates with dominance and aggressive behavior,Nature,Neuro-Evolutionary Affect,C. Aggression & Risk,1990s,DB,high
James M. Dabbs Jr.,Testosterone and Occupational Behavior,,Testosterone levels predict occupational and antisocial behavior patterns,Nature,Neuro-Evolutionary Affect,C. Aggression & Risk,1990s,Knowledge,med
James M. Dabbs Jr.,Testosterone and Dominance,,Testosterone links to status-seeking and social dominance displays,Nature,Neuro-Evolutionary Affect,C. Aggression & Risk,1990s-2000s,Knowledge,med
Karl Grammer,Human Pheromone Hypothesis,,Chemical signals influence human mate attraction and behavior,Nature,Chronobiology & Sensory Biology,C. Olfaction & Chemical Communication,1990s,DB,high
Karl Grammer,Body Symmetry and Attractiveness,,Facial and body symmetry signals genetic fitness in mate choice,Nature,Chronobiology & Sensory Biology,C. Olfaction & Chemical Communication,1990s-2000s,Knowledge,med
