theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Caroline Jones,Materiality of Art Theory,,How art's physical media and senses shape modernist meaning,ART,Art History & Historiography,B. Critical & Feminist Art Historiography,20c-late,DB,high
Caroline Jones,Eyesight Alone,,Greenberg's machine of opticality isolating vision in modernism,ART,Art History & Historiography,B. Critical & Feminist Art Historiography,20c-late,Knowledge,high
Caroline Jones,Bureaucratization of the Senses,,Modern art systematized perception like industrial managerial culture,ART,Art History & Historiography,B. Critical & Feminist Art Historiography,20c-late,Knowledge,med
Caroline Jones,The Global Work of Art,,Biennials and world's fairs producing globalized aesthetic experience,ART,Art History & Historiography,B. Critical & Feminist Art Historiography,21c,Knowledge,med
Frederick Herzberg,Two-Factor Theory (Motivation-Hygiene Theory),,Hygiene factors prevent dissatisfaction; motivators alone create real satisfaction,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-mid,DB,high
Frederick Herzberg,Motivators vs Hygiene Factors,,Achievement and recognition motivate; pay and conditions merely prevent dissatisfaction,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-mid,Knowledge,high
Frederick Herzberg,Job Enrichment,,Vertically loading jobs with responsibility to boost intrinsic motivation,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-mid,Knowledge,high
Frederick Herzberg,KITA (Kick In The Ass),,Critique of external prods that move but never motivate,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-mid,Knowledge,med
Ralph Stogdill,Trait Theory of Leadership,,Search for universal personal traits distinguishing leaders from followers,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-mid,DB,high
Ralph Stogdill,Situational Relevance of Traits,,Leadership traits matter only relative to the specific situation,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-mid,Knowledge,high
Ralph Stogdill,Handbook of Leadership,,Comprehensive survey synthesizing decades of empirical leadership research,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-mid,Knowledge,med
Ohio State Studies,Behavioral Theories of Leadership,,Leadership behavior measured along independent task and relational dimensions,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-mid,DB,high
Ohio State Studies,Initiating Structure,,"Leader behavior organizing work, roles, and task accomplishment",MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-mid,Knowledge,high
Ohio State Studies,Consideration,,"Leader behavior showing warmth, trust, and respect for subordinates",MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-mid,Knowledge,high
University of Michigan Studies,Behavioral Theories of Leadership,,Leadership styles contrasted as employee-oriented versus production-oriented,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-mid,DB,high
University of Michigan Studies,Employee Orientation vs Production Orientation,,Effective managers emphasize people relations over narrow production focus,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-mid,Knowledge,high
University of Michigan Studies,Likert's System 4,,Participative-group management as the most effective organizational climate,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-mid,Knowledge,med
Paul Hersey,Situational Leadership Theory,,Leadership style must adapt to follower task readiness,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-late,DB,high
Paul Hersey,Follower Readiness/Maturity,,Subordinate ability and willingness determines the appropriate leadership style,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-late,Knowledge,high
Paul Hersey,Telling-Selling-Participating-Delegating,,Four leadership styles matched to ascending levels of follower readiness,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-late,Knowledge,high
Ken Blanchard,Situational Leadership Theory,,Effective leaders flex directive and supportive behavior to development level,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-late,DB,high
Ken Blanchard,One Minute Manager,,"Goal-setting, praising, and redirecting as concise management practices",MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-late,Knowledge,high
Ken Blanchard,SLII Model,,Development levels D1-D4 matched to leadership styles S1-S4,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-late,Knowledge,med
James MacGregor Burns,Transformational Leadership Theory,,Leaders and followers raise each other to higher motivation,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-late,DB,high
James MacGregor Burns,Transactional vs Transforming Leadership,,Exchange-based leadership contrasted with morally elevating transformative leadership,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,20c-late,Knowledge,high
