theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Arjo Klamer,Cultural Value Theory,,"Culture carries social and cultural values beyond price.",Culture,Cultural Economy & Production,A. Creative & Cultural Industries,21C,DB,high
Arjo Klamer,Value-Based Approach to Economics,,"Economics should account for shared cultural and social values.",Culture,Cultural Economy & Production,A. Creative & Cultural Industries,21C,Web,high
Arjo Klamer,Shared Goods,,"Goods like culture gain value only when collectively shared.",Culture,Cultural Economy & Production,A. Creative & Cultural Industries,21C,Web,high
Arjo Klamer,Four Sphere Model,,"Market, state, oikos and social sphere shape economic life.",Culture,Cultural Economy & Production,A. Creative & Cultural Industries,21C,Web,med
Arjo Klamer,Rhetoric of Economics,,"Economics persuades through narrative and metaphor, not pure logic.",Culture,Cultural Economy & Production,A. Creative & Cultural Industries,20-21C,Knowledge,med
Ernst Cassirer,Symbolic Forms Theory,Symbolische Formen,"Humans grasp reality only through symbolic systems like myth and language.",Culture,Philosophy & Aesthetics of Culture,A. Symbolic Forms & Praxis,20C,DB,high
Ernst Cassirer,Animal Symbolicum,,"Humanity defined as the symbol-making animal, not merely rational.",Culture,Philosophy & Aesthetics of Culture,A. Symbolic Forms & Praxis,20C,Knowledge,high
Ernst Cassirer,Mythical Thought,Das mythische Denken,"Myth is an autonomous symbolic mode structuring early consciousness.",Culture,Philosophy & Aesthetics of Culture,A. Symbolic Forms & Praxis,20C,Knowledge,high
Ernst Cassirer,Philosophy of Culture,,"Culture is the totality of humanity's symbolic self-liberation.",Culture,Philosophy & Aesthetics of Culture,A. Symbolic Forms & Praxis,20C,Knowledge,high
Ernst Cassirer,Myth of the State,,"Modern political myths can capture and endanger rational society.",Culture,Philosophy & Aesthetics of Culture,A. Symbolic Forms & Praxis,20C,Knowledge,high
Kevin Lynch,City as Text Theory,,"Cities are read as legible texts of spatial meaning.",Culture,"Material, Spatial & Heritage Culture",D. Infrastructure & Urban Space,20C,DB,high
Kevin Lynch,Imageability,,"Urban form's capacity to evoke strong mental images.",Culture,"Material, Spatial & Heritage Culture",D. Infrastructure & Urban Space,20C,Knowledge,high
Kevin Lynch,The Image of the City,,"Cities are mapped through paths, edges, districts, nodes, landmarks.",Culture,"Material, Spatial & Heritage Culture",D. Infrastructure & Urban Space,20C,Knowledge,high
Kevin Lynch,Cognitive Mapping (Urban),,"Residents build mental maps that guide urban wayfinding.",Culture,"Material, Spatial & Heritage Culture",D. Infrastructure & Urban Space,20C,Knowledge,high
Kevin Lynch,What Time Is This Place?,,"Urban environments encode and shape collective sense of time.",Culture,"Material, Spatial & Heritage Culture",D. Infrastructure & Urban Space,20C,Knowledge,med
Carl Sauer,Cultural Landscape Theory,,"Human cultures transform natural landscapes into cultural ones.",Culture,"Material, Spatial & Heritage Culture",E. Cultural Geography & Place,20C,DB,high
Carl Sauer,Morphology of Landscape,,"Landscapes studied as evolving forms shaped by cultural agents.",Culture,"Material, Spatial & Heritage Culture",E. Cultural Geography & Place,20C,Knowledge,high
Carl Sauer,Berkeley School of Geography,,"Founded historical-cultural geography emphasizing field and material culture.",Culture,"Material, Spatial & Heritage Culture",E. Cultural Geography & Place,20C,Knowledge,high
