theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Ichiro Kawachi,Social Capital Theory (Health),,"Community trust and networks shape collective and individual health outcomes",Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,Contemporary,DB,high
Ichiro Kawachi,Income Inequality Hypothesis,,"Relative income inequality, not just poverty, harms population health",Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,Contemporary,Knowledge,high
Ichiro Kawachi,Social Cohesion and Mortality,,"Neighborhood cohesion buffers against mortality and chronic disease",Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,Contemporary,Knowledge,high
Ichiro Kawachi,Collective Efficacy (Health),,"Shared willingness to act for common good improves community health",Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,Contemporary,Knowledge,med
Ichiro Kawachi,Neo-Materialist Critique,,"Material conditions and infrastructure underlie health inequalities beyond psychosocial factors",Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,Contemporary,Knowledge,med
Milton Roemer,Health Systems Theory,,"National health systems compared as structured organizational forms",Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,Modern,DB,high
Milton Roemer,Roemer's Law,,"A built hospital bed is a filled hospital bed",Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,Modern,Knowledge,high
Milton Roemer,Supply-Induced Demand,,"Healthcare supply itself generates utilization independent of need",Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,Modern,Knowledge,high
Milton Roemer,Comparative Health Systems,,"Cross-national typology of health system financing and organization",Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,Modern,Knowledge,med
M.K. Czerwiec,Graphic Medicine Theory,,"Comics convey illness experience, caregiving, and clinical realities",Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,Contemporary,DB,high
M.K. Czerwiec,Comics Nurse Practice,,"Nursing experience rendered through autobiographical comics testimony",Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,Contemporary,Knowledge,high
M.K. Czerwiec,Pathographic Comics,,"Visual narratives document patient and caregiver suffering and care",Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,Contemporary,Knowledge,med
Ian Williams,Graphic Medicine Theory,,"Comics medium uniquely represents illness and medical encounters",Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,Contemporary,DB,high
Ian Williams,The Graphic Medicine Manifesto,,"Founding programmatic statement defining comics as medical discourse",Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,Contemporary,Knowledge,high
Ian Williams,Comics and Embodied Illness,,"Drawn images express bodily illness beyond verbal language",Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,Contemporary,Knowledge,med
David Armstrong,Medical Surveillance Theory,,"Modern medicine extends surveillance over healthy populations, not just sick",Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,Contemporary,DB,high
David Armstrong,Surveillance Medicine,,"Twentieth-century medicine monitors whole populations through screening and risk",Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,Contemporary,Knowledge,high
David Armstrong,Dispensary Model,,"The clinic dissolves into community-wide observation and normalization",Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,Contemporary,Knowledge,high
David Armstrong,Political Anatomy of the Body,,"Foucauldian analysis of how medicine constructs the modern body",Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,Contemporary,Knowledge,med
David Mechanic,Illness Behavior Theory,,"How people perceive, interpret, and act on symptoms",Medicine,Psychology of Health & Illness,B. Illness Behavior & Socio-Cultural Context,Modern,DB,high
David Mechanic,Help-Seeking Behavior,,"Social and psychological factors determine when people seek medical care",Medicine,Psychology of Health & Illness,B. Illness Behavior & Socio-Cultural Context,Modern,Knowledge,high
David Mechanic,Sociology of Medical Care,,"Healthcare organization shaped by social structure and policy",Medicine,Psychology of Health & Illness,B. Illness Behavior & Socio-Cultural Context,Modern,Knowledge,med
David Mechanic,Adaptation and Coping,,"Illness response as coping within social and institutional constraints",Medicine,Psychology of Health & Illness,B. Illness Behavior & Socio-Cultural Context,Modern,Knowledge,med
Kenneth Wallston,Health Locus of Control,,"Beliefs about control over health predict health behaviors",Medicine,Psychology of Health & Illness,A. Health Behavior & Self-Regulation,Modern,DB,high
Kenneth Wallston,Multidimensional Health Locus of Control,,"MHLC scale measures internal, chance, and powerful-others control",Medicine,Psychology of Health & Illness,A. Health Behavior & Self-Regulation,Modern,Knowledge,high
Kenneth Wallston,Health Value Moderation,,"Locus of control predicts behavior only when health is valued",Medicine,Psychology of Health & Illness,A. Health Behavior & Self-Regulation,Modern,Knowledge,med
