Film_TMDB_ID,Film_Title,Film_Director_Name,tmdb_title,tmdb_year,tmdb_director,confidence,status,note
132344,Before Midnight,Richard Linklater,Before Midnight,2013,Richard Linklater,given,exists,tmdb_id supplied
530915,1917,Sam Mendes,1917,2019,Sam Mendes,given,exists,tmdb_id supplied
374720,Dunkirk,Christopher Nolan,Dunkirk,2017,Christopher Nolan,given,exists,tmdb_id supplied
49026,The Dark Knight Rises,Christopher Nolan,The Dark Knight Rises,2012,Christopher Nolan,given,exists,tmdb_id supplied
76203,12 Years a Slave,Steve McQueen,12 Years a Slave,2013,Steve McQueen,given,exists,tmdb_id supplied
30018,Mother,Bong Joon Ho,Mother,2009,Bong Joon Ho,given,exists,tmdb_id supplied
80,Before Sunset,Richard Linklater,Before Sunset,2004,Richard Linklater,given,exists,tmdb_id supplied
11545,Rushmore,Wes Anderson,Rushmore,1998,Wes Anderson,given,exists,tmdb_id supplied
1883,Malcolm X,Spike Lee,Malcolm X,1992,Spike Lee,given,exists,tmdb_id supplied
571,The Birds,Alfred Hitchcock,The Birds,1963,Alfred Hitchcock,given,exists,tmdb_id supplied
181808,Star Wars: The Last Jedi,Rian Johnson,Star Wars: The Last Jedi,2017,Rian Johnson,given,exists,tmdb_id supplied
1124,The Prestige,Christopher Nolan,The Prestige,2006,Christopher Nolan,given,exists,tmdb_id supplied
12162,The Hurt Locker,Kathryn Bigelow,The Hurt Locker,2008,Kathryn Bigelow,given,exists,tmdb_id supplied
648878,Eddington,Ari Aster,Eddington,2025,Ari Aster,given,exists,tmdb_id supplied
426063,Nosferatu,Robert Eggers,Nosferatu,2024,Robert Eggers,given,exists,tmdb_id supplied
466420,Killers of the Flower Moon,Martin Scorsese,Killers of the Flower Moon,2023,Martin Scorsese,given,exists,tmdb_id supplied
639933,The Northman,Robert Eggers,The Northman,2022,Robert Eggers,given,exists,tmdb_id supplied
487558,BlacKkKlansman,Spike Lee,BlacKkKlansman,2018,Spike Lee,given,exists,tmdb_id supplied
399174,Isle of Dogs,Wes Anderson,Isle of Dogs,2018,Wes Anderson,given,exists,tmdb_id supplied
1002470,Walk Up,Hong Sang-soo,Walk Up,2022,Hong Sang-soo,given,exists,tmdb_id supplied
820517,In Front of Your Face,Hong Sang-soo,In Front of Your Face,2021,Hong Sang-soo,given,exists,tmdb_id supplied
499255,Grass,Hong Sang-soo,Grass,2018,Hong Sang-soo,given,exists,tmdb_id supplied
465914,If Beale Street Could Talk,Barry Jenkins,If Beale Street Could Talk,2018,Barry Jenkins,given,exists,tmdb_id supplied
1151031,Bring Her Back,Danny Philippou,Bring Her Back,2025,"Michael Philippou, Danny Philippou",given,exists,tmdb_id supplied
1078605,Weapons,Zach Cregger,Weapons,2025,Zach Cregger,given,exists,tmdb_id supplied
1244492,Look Back,Kiyotaka Oshiyama,Look Back,2024,Kiyotaka Oshiyama,given,exists,tmdb_id supplied
49046,All Quiet on the Western Front,Edward Berger,All Quiet on the Western Front,2022,Edward Berger,given,exists,tmdb_id supplied
913290,Barbarian,Zach Cregger,Barbarian,2022,Zach Cregger,given,exists,tmdb_id supplied
570670,The Invisible Man,Leigh Whannell,The Invisible Man,2020,Leigh Whannell,given,exists,tmdb_id supplied
549559,Apollo 11,Todd Douglas Miller,Apollo 11,2019,Todd Douglas Miller,given,exists,tmdb_id supplied
489925,Eighth Grade,Bo Burnham,Eighth Grade,2018,Bo Burnham,given,exists,tmdb_id supplied
48231,A Dangerous Method,David Cronenberg,A Dangerous Method,2011,David Cronenberg,given,exists,tmdb_id supplied
11324,Shutter Island,Martin Scorsese,Shutter Island,2010,Martin Scorsese,given,exists,tmdb_id supplied
