theorist,part,major,sub,existing,n_existing
Edward Khantzian,Psychology,Health Psychology,C. Addiction & Health Behavior,Self-Medication Hypothesis (Addiction),1
Peter A. Levine,Psychology,Health Psychology,C. Addiction & Health Behavior,Somatic Experiencing (Trauma Therapy),1
Cialdini,Psychology,Social Psychology,A. Identity & Intergroup,Social Norms Theory,1
Kallgren,Psychology,Social Psychology,A. Identity & Intergroup,Social Norms Theory,1
Reno,Psychology,Social Psychology,A. Identity & Intergroup,Social Norms Theory,1
Philip Zimbardo,Psychology,Social Psychology,B. Attitudes & Persuasion,Deindividuation Theory,1
Carol Ryff,Psychology,Positive Psychology,A. Well-being Models,Eudaimonic Well-being,1
William Sears,Psychology,Developmental,C. Attachment & Parenting,Attachment Parenting Theory,1
Stephen Chen,Psychology,"Critical, Cultural & Environmental",B. Cross-Cultural,Relational Self-Construal,1
Harry C. Triandis,Psychology,"Critical, Cultural & Environmental",B. Cross-Cultural,Cultural Syndromes,1
Laura S. Brown,Psychology,Counseling & Psychotherapy,C. Multicultural & Feminist,Feminist Therapy,1
SAMHSA,Psychology,Counseling & Psychotherapy,C. Multicultural & Feminist,Trauma-Informed Care,1
Robert Zajonc,Psychology,Social Psychology,D. Group Dynamics,Social Facilitation Theory,1
Howard Markman,Psychology,Relationship & Interpersonal,C. Communication & Maintenance,Demand/Withdraw Pattern,1
Caryl Rusbult,Psychology,Relationship & Interpersonal,C. Communication & Maintenance,Investment Model of Commitment,1
Leslie Baxter,Psychology,Relationship & Interpersonal,C. Communication & Maintenance,Relational Dialectics Theory,1
Barbara Montgomery,Psychology,Relationship & Interpersonal,C. Communication & Maintenance,Relational Dialectics Theory,1
Howard Giles,Psychology,Relationship & Interpersonal,C. Communication & Maintenance,Communication Accommodation Theory,1
Martin L. Hoffman,Psychology,Developmental,A. Cognitive & Moral Development,Empathy Development Theory,1
Wimmer,Psychology,Developmental,A. Cognitive & Moral Development,False-Belief Task (Theory of Mind),1
Perner,Psychology,Developmental,A. Cognitive & Moral Development,False-Belief Task (Theory of Mind),1
Heinz Kohut,Psychology,Personality,B. Dynamic & Process Models,Self Psychology,1
Michael Scheier,Psychology,Positive Psychology,B. Strengths & Virtues,Dispositional Optimism,1
Charles Carver,Psychology,Positive Psychology,B. Strengths & Virtues,Dispositional Optimism,1
Wiers,Psychology,Health Psychology,C. Addiction & Health Behavior,Dual Process Theory of Addiction,1
Stacy,Psychology,Health Psychology,C. Addiction & Health Behavior,Dual Process Theory of Addiction,1
Marlat,Psychology,Health Psychology,C. Addiction & Health Behavior,Dual Process Theory of Addiction,1
Richard Tedeschi,Psychology,Clinical & Psychopathology,C. Trauma & Resilience,Post-Traumatic Growth (PTG),1
Lawrence Calhoun,Psychology,Clinical & Psychopathology,C. Trauma & Resilience,Post-Traumatic Growth (PTG),1
Arthur Aron,Psychology,Relationship & Interpersonal,B. Interdependence & Commitment,Self-Expansion Theory,1
Elaine Aron,Psychology,Relationship & Interpersonal,B. Interdependence & Commitment,Self-Expansion Theory,1
Daniel Levinson,Psychology,Developmental,B. Lifespan Development,Midlife Crisis Theory,1
Robert Emmons,Psychology,Positive Psychology,B. Strengths & Virtues,Gratitude Theory,1
