theorist,part,major,sub,existing,n_existing
Arjo Klamer,Culture,Cultural Economy & Production,A. Creative & Cultural Industries,Cultural Value Theory,1
Ernst Cassirer,Culture,Philosophy & Aesthetics of Culture,A. Symbolic Forms & Praxis,Symbolic Forms Theory,1
Kevin Lynch,Culture,"Material, Spatial & Heritage Culture",D. Infrastructure & Urban Space,City as Text Theory,1
Carl Sauer,Culture,"Material, Spatial & Heritage Culture",E. Cultural Geography & Place,Cultural Landscape Theory,1
Susan Blackmore,Culture,Cultural Evolution & Transmission,A. Memetics & Transmission,Memetics,1
Yi-Fu Tuan,Culture,"Material, Spatial & Heritage Culture",E. Cultural Geography & Place,Sense of Place Theory,1
Jeffrey C. Alexander,Culture,"Memory, Time, Trauma & Resilience",B. Cultural Trauma,Cultural Trauma Theory,1
B. Joseph Pine II,Culture,Cultural Economy & Production,C. Experience Economy & Consumption,Experience Economy,1
James H. Gilmore,Culture,Cultural Economy & Production,C. Experience Economy & Consumption,Experience Economy,1
Megan Boler,Culture,"Affect, Emotion & Embodiment",C. Affective Publics,Affective Publics Theory,1
Joan Y. Chiao,Culture,Cultural Sociology,D. Cultural Psychology & Self,Cultural Neuroscience,1
Alex Mesoudi,Culture,Cultural Evolution & Transmission,B. Computational Cultural Dynamics,Cultural Dynamics (Computational),1
Milton C. Cummings Jr.,Culture,Global & Transnational Culture,D. Global Cultural Industries & Diplomacy,Cultural Diplomacy Theory,1
UNESCO,Culture,"Material, Spatial & Heritage Culture",F. Heritage & Preservation,Intangible Cultural Heritage Theory,1
Alvin Toffler,Culture,"Digital, Media & Algorithmic Culture",E. Prosumption & Convergence,Prosumption,1
Aaron Wildavsky,Culture,"Memory, Time, Trauma & Resilience",D. Resilience & Risk,Risk Culture Theory,1
Greg Bankoff,Culture,"Memory, Time, Trauma & Resilience",B. Cultural Trauma,Disaster Narratives,1
Shannon Mattern,Culture,"Material, Spatial & Heritage Culture",D. Infrastructure & Urban Space,Infrastructure as Culture Theory,1
Roger E. Kasperson,Culture,"Memory, Time, Trauma & Resilience",D. Resilience & Risk,Social Amplification of Risk Framework (SARF in Cultural Studies),1
Jeanne X. Kasperson,Culture,"Memory, Time, Trauma & Resilience",D. Resilience & Risk,Social Amplification of Risk Framework (SARF in Cultural Studies),1
Colin Campbell,Culture,Cultural Sociology,E. Consumption & Taste,Identity Consumption Theory,1
Richard A. Peterson,Culture,Cultural Sociology,B. Taste & Distinction,Cultural Omnivore Theory,1
Gay Hawkins,Culture,"Material, Spatial & Heritage Culture",C. Waste & Discard,Waste and Culture Theory,1
Jack Knetsch,Economics,Behavioral & Cognitive Economics,Foundations & Bounded Rationality,Endowment Effect,1
R.H. Strotz,Economics,Behavioral & Cognitive Economics,Intertemporal Choice & Self-Control,Time Inconsistency,1
Eric J. Johnson,Economics,Behavioral & Cognitive Economics,Nudges & Choice Architecture,Default Effect,1
Daniel Goldstein,Economics,Behavioral & Cognitive Economics,Nudges & Choice Architecture,Default Effect,1
William Samuelson,Economics,Behavioral & Cognitive Economics,Other Biases & Heuristics,Status Quo Bias,1
Richard Zeckhauser,Economics,Behavioral & Cognitive Economics,Other Biases & Heuristics,Status Quo Bias,1
Joe Herbert,Economics,Behavioral & Cognitive Economics,Neuroeconomics & Neuromarketing,Hormonal Influences on Economic Behavior,1
Joseph Stiglitz,Economics,Information & Contract Economics,Asymmetric Information,Screening Theory (Behavioral Economics),1
Kenneth Arrow,Economics,Information & Contract Economics,Asymmetric Information,Moral Hazard (Behavioral Economics),1
Sally Guttman,Economics,Behavioral Game Theory & Strategic Interaction,Behavioral Game Theory,Social Norms,1
Werner Güth,Economics,Behavioral Game Theory & Strategic Interaction,Behavioral Game Theory,Ultimatum Game (Behavioral Economics),1
Drew Fudenberg,Economics,Behavioral Game Theory & Strategic Interaction,Behavioral Game Theory,Learning in Games,1
David K. Levine,Economics,Behavioral Game Theory & Strategic Interaction,Behavioral Game Theory,Learning in Games,1
Herbert Simon,Economics,"Marketing, Consumption & Industrial Organization",Psychology of Consumption,Consumer Choice Theory (Behavioral),1
Morris Holbrook,Economics,"Marketing, Consumption & Industrial Organization",Psychology of Consumption,Hedonic Consumption,1
Thomas Gilovich,Economics,"Marketing, Consumption & Industrial Organization",Psychology of Consumption,Experiential Consumption,1
Amit Kumar,Economics,"Marketing, Consumption & Industrial Organization",Psychology of Consumption,Experiential Consumption,1
George J. Stigler,Economics,"Marketing, Consumption & Industrial Organization",Psychology of Consumption,Habit Formation,1
Terrance Odean,Economics,Behavioral Finance & Asset Markets,Investor Psychology & Biases,Overconfidence Bias (Finance),1
Lorenz Goette,Economics,"Labor, Personnel & Inequality Economics",Behavioral Labor Economics,Reference-Dependent Labor Supply,1
John B. Taylor,Economics,"Labor, Personnel & Inequality Economics",Behavioral Labor Economics,Search Frictions (Behavioral),1
Joel Slemrod,Economics,Political Economy & Public Choice,Behavioral Public Economics,Social Norms and Tax Compliance,1
Eldar Shafir,Economics,Development & Environmental Economics,Behavioral Development Economics,Poverty Traps (Behavioral),1
Kevin Volpp,Economics,Development & Environmental Economics,Health & Education Economics,Nudges in Health,1
James Heckman,Economics,Development & Environmental Economics,Health & Education Economics,Self-Control and Educational Outcomes,1
Leigh Tesfatsion,Economics,Institutional & Evolutionary Economics,Complexity & Agent-Based Economics,Agent-Based Computational Economics (ACE),1
Thomas C. Schelling,Economics,Institutional & Evolutionary Economics,Complexity & Agent-Based Economics,Agent-Based Computational Economics (ACE),1
Richard Easterlin,Economics,"Welfare, Happiness & Heterodox Economics",Happiness & Wellbeing,Easterlin Paradox,1
Karla Hoff,Economics,Development & Environmental Economics,Behavioral Development Economics,Cultural Behavioral Economics (Development),1
Joseph E. Stiglitz,Economics,Development & Environmental Economics,Behavioral Development Economics,Cultural Behavioral Economics (Development),1
Bruno S. Frey,Economics,"Labor, Personnel & Inequality Economics",Personnel & Organizational,Intrinsic vs. Extrinsic Motivation (Behavioral Economics),1
Peter N. Goettl,Economics,"Marketing, Consumption & Industrial Organization",Urban & Real Estate,Behavioral Real Estate Economics,1
Elke U. Weber,Economics,Development & Environmental Economics,Environmental & Resource Economics,Behavioral Environmental Policy,1
Olivier Blanchard,Economics,Behavioral Finance & Asset Markets,Market Anomalies & Bubbles,Rational Bubbles (Behavioral Economics),1
Kevin Murphy,Economics,Behavioral & Cognitive Economics,Intertemporal Choice & Self-Control,Rational Addiction Theory,1
Jon Elster,Economics,Behavioral & Cognitive Economics,Intertemporal Choice & Self-Control,Addiction as a Self-Control Problem (Behavioral Economics),1
World Bank,Economics,Development & Environmental Economics,Behavioral Development Economics,Behavioral Insights for Development,1
J-PAL,Economics,Development & Environmental Economics,Behavioral Development Economics,Behavioral Insights for Development,1
Urs Fischbacher,Economics,Behavioral Game Theory & Strategic Interaction,Social Norms & Cooperation,Intentions-Based Reciprocity,1
Marianne Bertrand,Economics,"Labor, Personnel & Inequality Economics",Discrimination & Inequality,Behavioral Discrimination,1
Read Montague,Economics,"Marketing, Consumption & Industrial Organization",Behavioral Marketing & Pricing,Consumer Neuromarketing,1
Simon Johnson,Economics,"Platform, Digital & Data Economy",Gig & Automation Economy,Automation and Behavioral Response (Labor),1
Chris Udry,Economics,Development & Environmental Economics,Behavioral Development Economics,Risk Preferences in Development (Behavioral),1
John B. Loomis,Economics,Development & Environmental Economics,Environmental & Resource Economics,Stated Preference Biases (Environmental Economics),1
Anthony Downs,Economics,Political Economy & Public Choice,Public Choice & Political Behavior,Rational Ignorance (Behavioral Public Economics),1
Lawrence Summers,Economics,Behavioral Finance & Asset Markets,Market Anomalies & Bubbles,Noise Trader Theory (Behavioral Finance),1
Runciman,Economics,"Welfare, Happiness & Heterodox Economics",Happiness & Wellbeing,Relative Deprivation (Happiness Economics),1
Terry Lohrenz,Economics,Behavioral & Cognitive Economics,Neuroeconomics & Neuromarketing,Neurobiology of Market Behavior,1
Lisa Zaval,Economics,Development & Environmental Economics,Environmental & Resource Economics,Moral Licensing (Environmental Economics),1
Baba Shiv,Economics,Behavioral & Cognitive Economics,Neuroeconomics & Neuromarketing,Neurobiology of Risk,1
Paul David,Economics,Institutional & Evolutionary Economics,Complexity & Agent-Based Economics,Path Dependence (Complexity Economics),1
Philip Brickman,Economics,"Welfare, Happiness & Heterodox Economics",Happiness & Wellbeing,Hedonic Adaptation (Happiness Economics),1
Camerer,Economics,Behavioral & Cognitive Economics,Neuroeconomics & Neuromarketing,Neural Basis of Risk Preferences,1
Loewenstein,Economics,Behavioral & Cognitive Economics,Neuroeconomics & Neuromarketing,Neural Basis of Risk Preferences,1
Prelec,Economics,Behavioral & Cognitive Economics,Neuroeconomics & Neuromarketing,Neural Basis of Risk Preferences,1
Innovations for Poverty Action,Economics,Development & Environmental Economics,Behavioral Development Economics,Poverty Alleviation (Behavioral Insights),1
Alan Gerber,Economics,Political Economy & Public Choice,Public Choice & Political Behavior,Behavioral Voter Turnout (Public Economics),1
Brian Arthur,Economics,Institutional & Evolutionary Economics,Complexity & Agent-Based Economics,Self-Organization (Complexity Economics),1
Andrew Oswald,Economics,"Welfare, Happiness & Heterodox Economics",Happiness & Wellbeing,Social Comparison Theory (Happiness Economics),1
Samuel M. McClure,Economics,Behavioral & Cognitive Economics,Neuroeconomics & Neuromarketing,Neural Discounting (Neuroeconomics),1
Bruce Link,Medicine,Medical Sociology,A. Core Theories & Medicalization,Fundamental Cause Theory,1
Jo Phelan,Medicine,Medical Sociology,A. Core Theories & Medicalization,Fundamental Cause Theory,1
John W. Travis,Medicine,Medical Sociology,A. Core Theories & Medicalization,Health-Illness Continuum Theory,1
Julian Tudor Hart,Medicine,Medical Sociology,A. Core Theories & Medicalization,Inverse Care Law,1
William C. Cockerham,Medicine,Medical Sociology,A. Core Theories & Medicalization,Health Lifestyle Theory,1
Eliot Freidson,Medicine,Medical Sociology,A. Core Theories & Medicalization,Physician Dominance Theory,1
Daniel Moerman,Medicine,Medical Anthropology & Cultural Models,"A. Culture, Healing & Explanatory Models",Placebo Effect (Anthropological),1
Charles Leslie,Medicine,Medical Anthropology & Cultural Models,"A. Culture, Healing & Explanatory Models",Medical Pluralism Theory,1
