theorist,part,major,sub,existing,n_existing
Richard Ryan,Economics,"Labor, Personnel & Inequality Economics",Behavioral Labor Economics,Intrinsic Motivation (Labor) | Intrinsic Motivation in Education,2
James Alm,Economics,Political Economy & Public Choice,Behavioral Public Economics,Social Norms and Tax Compliance | Tax Evasion (Behavioral Economics),2
Raj Chetty,Economics,Political Economy & Public Choice,Behavioral Public Economics,Peer Effects in Education (Behavioral Economics) | Salience Bias (Taxation),2
Dean Karlan,Economics,Development & Environmental Economics,Behavioral Development Economics,Behavioral Interventions for Development | Commitment Devices (Behavioral Development),2
Andrew W. Lo,Economics,Behavioral Finance & Asset Markets,Neuro-Finance,Adaptive Markets Hypothesis (Complexity Economics) | Neuro-Finance,2
Oliver Hart,Economics,Information & Contract Economics,Contracts & Mechanism Design,Behavioral Contract Design (Law and Economics) | Incomplete Contracts (Behavioral Economics),2
Roland Fryer Jr.,Economics,Development & Environmental Economics,Health & Education Economics,Behavioral Motivation in Education | Behavioral Teacher Incentives,2
Thomas Scheff,Medicine,Medical Sociology,B. Social Construction of Illness,Labeling Theory (Mental Illness) | Social Construction of Illness Theory,2
João Biehl,Medicine,Global Health & Postcolonial Medicine,A. Critical & Postcolonial Global Health,Pharmaceutical Anthropology Theory | Postcolonial Health Theory,2
Drew Leder,Medicine,"Body, Embodiment & Disability",B. Embodiment & Biocitizenship,Embodied Illness Theory | Lived Body (Medical Anthropology),2
Thomas Szasz,Medicine,Medical Sociology,A. Core Theories & Medicalization,Anti-Psychiatry Movement Theory | Deviance as Illness Theory,2
Anselm Strauss,Medicine,Medical Sociology,"C. Chronic Illness, Aging & Dying",Chronic Illness Trajectory Model | Illness Management Theory (Anthropological),2
Lawrence W. Green,Medicine,Public Health & Social Epidemiology,G. Health Promotion,Health Promotion Theory | PRECEDE-PROCEED Model (Health Promotion),2
George Foster,Medicine,Medical Anthropology & Cultural Models,"A. Culture, Healing & Explanatory Models",Ethnomedicine Theory | Spirituality and Health (Anthropological) Theory,2
Théophile Gautier,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Art for Art's Sake (L'art pour l'art),1
Oscar Wilde,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Art for Art's Sake (L'art pour l'art),1
Clive Bell,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Formalism,1
Clement Greenberg,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Formalism,1
Leo Tolstoy,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Expression Theory of Art,1
Benedetto Croce,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Expression Theory of Art,1
Arnold Hauser,ART,Art History & Historiography,A. Iconology & Social History of Art,Social History of Art,1
T.J. Clark,ART,Art History & Historiography,A. Iconology & Social History of Art,Social History of Art,1
John Burke,ART,Art History & Historiography,A. Iconology & Social History of Art,Cultural History of Art,1
Jules Prown,ART,Art History & Historiography,A. Iconology & Social History of Art,Material Culture,1
Bertolt Brecht,ART,Performance Studies & Theatre,A. Performance Theory & Ritual,Brechtian Alienation Effect (Verfremdungseffekt),1
Augusto Boal,ART,Performance Studies & Theatre,A. Performance Theory & Ritual,Theatre of the Oppressed,1
Fred Lerdahl,ART,Music & Sound Studies,A. Sociology & Politics of Music,Cognitive Musicology,1
Stephen Davies,ART,Music & Sound Studies,A. Sociology & Politics of Music,Theory of Musical Affect,1
Jay Coakley,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Sociology of Sport,1
Richard Gruneau,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Commodification of Sport,1
Shilling,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Sociology of the Body (Sport),1
Nicholas Mirzoeff,ART,Visual Culture & Media Studies,A. Visual Culture & Spectacle,Visual Culture Theory,1
Christiane Paul,ART,Visual Culture & Media Studies,A. Visual Culture & Spectacle,New Media Art Theory,1
Alfred Gell,ART,Anthropology & Sociology of Art,A. Anthropology of Art & Ritual,Art and Ritual (Anthropological),1
Eduardo Kac,ART,Posthumanism & Environmental Arts,A. Posthuman & Bio Art,Bio Art Theory,1
Griselda Pollock,ART,"Race, Gender & Postcolonial Critique of Art",C. Feminist & Queer Art,Feminist Art Criticism,1
Raymonde Moulin,ART,Anthropology & Sociology of Art,C. Art Markets & Institutions,Art Market Theory,1
Adrian Hill,ART,"Arts in Health, Therapy & Wellbeing",A. Art Therapy & Psychology of Art,Art Therapy Theory,1
Gustav Fechner,ART,"Arts in Health, Therapy & Wellbeing",A. Art Therapy & Psychology of Art,Psychology of Aesthetics,1
Daniel Berlyne,ART,"Arts in Health, Therapy & Wellbeing",A. Art Therapy & Psychology of Art,Psychology of Aesthetics,1
