theorist,part,major,sub,existing,n_existing
Caroline Jones,ART,Art History & Historiography,B. Critical & Feminist Art Historiography,Materiality of Art Theory,1
Frederick Herzberg,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Two-Factor Theory (Motivation-Hygiene Theory),1
Ralph Stogdill,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Trait Theory of Leadership,1
Ohio State Studies,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Behavioral Theories of Leadership,1
University of Michigan Studies,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Behavioral Theories of Leadership,1
Paul Hersey,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Situational Leadership Theory,1
Ken Blanchard,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Situational Leadership Theory,1
James MacGregor Burns,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Transformational Leadership Theory,1
Joan Woodward,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Contingency Theory of Organization,1
Paul Lawrence,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Contingency Theory of Organization,1
Jay Lorsch,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Contingency Theory of Organization,1
Frederick Winslow Taylor,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Scientific Management Theory,1
Elton Mayo,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Human Relations Movement,1
Bruce Tuckman,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Team Development Stages (Tuckman),1
Robert Quinn,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Competing Values Framework,1
Kim Cameron,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Competing Values Framework,1
Jay Barney,MANAGEMENT,Strategic Management & Competitive Advantage,A. Competitive Positioning & Resources,Resource-Based View (RBV),1
David Teece,MANAGEMENT,Strategic Management & Competitive Advantage,A. Competitive Positioning & Resources,Dynamic Capabilities Theory,1
