theorist,part,major,sub,existing,n_existing
Simon Schaffer,History,"Environmental, Science & Technology History",B. History of Science,History of Scientific Instruments | Social Construction of Science (Historical),2
Steven Shapin,History,"Environmental, Science & Technology History",B. History of Science,History of Experimentation | Social Construction of Science (Historical),2
Frederick Cooper,History,Postcolonial & Decolonial History,A. Empire & Imperialism,History of Empires | Trans-imperial History,2
Georges Vigarello,History,Annales & Microhistory,B. Microhistory & Everyday Life,History of Dirt / Cleanliness | History of the Body,2
Lynn Hunt,History,Annales & Microhistory,B. Microhistory & Everyday Life,History of Human Rights | New Cultural History,2
Douglass North,History,Historiography & Method,C. Quantitative & Cliometrics,Cliometrics | Institutional Evolution,2
Alfred Crosby,History,"Environmental, Science & Technology History",A. Environmental History,Ecological Imperialism | Environmental History,2
Sebastian Conrad,History,"Political, Legal & Global History",C. Global & Transnational,Connected Histories (Global) | Global History,2
Mike Davis,History,"Environmental, Science & Technology History",A. Environmental History,Disaster Culture Theory | History of Disasters,2
Thomas Kuhn,History,Intellectual History,A. History of Ideas,Paradigm Shift (Historical) | Scientific Revolution (Historical),2
Elizabeth Eisenstein,History,Cultural History,C. Art & Visual Culture,History of Print Culture | Print Culture Studies,2
E.A. Wrigley,History,Marxist & Social History,C. Social Structure & Class,Demographic History | Historical Demography,2
Roy Porter,History,"Environmental, Science & Technology History",B. History of Science,History of Medicine | Social History of Medicine,2
David R. Roediger,History,Postcolonial & Decolonial History,B. Race & Racism,Whiteness Studies | Whiteness Studies (Historical),2
Mary Ainsworth,Family,애착·심리역동 가족이론 (Attachment & Psychodynamic),A. 애착·내적작동모델 (Attachment & Internal Working Models),Attachment Theory | Attachment Theory (Individual),2
Judith Stacey,Family,가족사회학·구조 (Family Sociology & Structure),B. 사회구성주의·포스트모던 (Social Construction & Postmodern),Queer Family Theory | The Myth of the Traditional Family,2
Rhacel Salazar Parreñas,Family,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",A. 토착·탈식민 가족연구 (Indigenous & Decolonizing),Global Care Chains | Transnational Motherhood Theory,2
David H. Olson,Family,애착·심리역동 가족이론 (Attachment & Psychodynamic),C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion),Family Adaptability Theory | Family Cohesion Theory,2
Glen Elder Jr.,Family,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",A. 생태체계 (Ecological Systems),Life Course Perspective (Health) | Transitions and Trajectories,2
Froma Walsh,Family,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)",C. 가족 회복탄력성·강인성 (Family Resilience & Hardiness),Family Meaning-Making | Family Resilience and Disability,2
Mara Selvini Palazzoli,Family,가족치료 실천 모델 (Family Therapy Practice Models),A. 전략적·구조적 가족치료 (Strategic & Structural),Milan Systemic Family Therapy | Milan Systemic Family Therapy (Individual),2
Rollo May,Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,Existential Psychology | Existential Therapy,2
Frederic Bartlett,Psychology,Cognitive,A. Social-Cognitive Theory,Constructive Memory | Schema Theory (Cognition),2
Aaron Beck,Psychology,Cognitive,A. Social-Cognitive Theory,Cognitive Behavioral Therapy (CBT) | Schema Theory (Cognition),2
Fritz Heider,Psychology,Cognitive,A. Social-Cognitive Theory,Attribution Theory | Cognitive Consistency Theory,2
Jean Piaget,Psychology,Developmental,A. Cognitive & Moral Development,Cognitive Development Theory (Piaget) | Play Theory (Developmental),2
Irwin Altman,Psychology,Social Psychology,A. Identity & Intergroup,Place Attachment Theory | Social Penetration Theory,2
Bibb Latané,Psychology,Social Psychology,A. Identity & Intergroup,Bystander Effect | Social Impact Theory,2
Gordon Allport,Psychology,Personality,A. Trait Theories,Contact Hypothesis | Trait Theory (General),2
D.W. Winnicott,Psychology,Personality,A. Trait Theories,Object Relations Criticism | Object Relations Theory (Individual),2
Albert Ellis,Psychology,Clinical & Psychopathology,A. Models of Psychopathology,Cognitive Behavioral Therapy (CBT) | Rational Emotive Behavior Therapy (REBT),2
Marsha M. Linehan,Psychology,Clinical & Psychopathology,A. Models of Psychopathology,Biosocial Theory of Borderline Personality Disorder | Dialectical Behavior Therapy (DBT),2
Simon Baron-Cohen,Psychology,Cognitive Science & Neuroscience,A. Cognitive Science,Gaze Following (Human Ethology) | Theory of Mind,2
Godfrey Hochbaum,Psychology,"Critical, Cultural & Environmental",A. Critical & Health Belief,Health Belief Model | Health Belief Model (Public Health),2
Stephen Kegels,Psychology,"Critical, Cultural & Environmental",A. Critical & Health Belief,Health Belief Model | Health Belief Model (Public Health),2
Gary Berntson,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,Social Neuroscience | Social Neuroscience (General),2
Edward L. Deci,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,Self-Determination Theory | Self-Determination Theory (Health),2
Richard M. Ryan,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,Self-Determination Theory | Self-Determination Theory (Health),2
Insoo Kim Berg,Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,Solution-Building | Solution-Focused Brief Therapy (SFBT),2
