theorist,part,major,sub,existing,n_existing
Eszter Hargittai,Family,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Digital Divide,1
Gerald R. Leslie,Family,애착·심리역동 가족이론 (Attachment & Psychodynamic),C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion),Family Power Theory,1
Robert Sampson,Family,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",B. 사회자본·지지망 (Social Capital & Networks),Collective Efficacy,1
Kate Millett,Family,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",A. 가부장제·젠더 역할 (Patriarchy & Gender Roles),Patriarchy,1
Robert Pollak,Family,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)",B. 결혼 질·합리적 선택 (Marital Quality & Rational Choice),Bargaining Theory,1
Lewis Henry Morgan,Family,친족·인류학 (Kinship & Anthropology),A. 친족체계 (Kinship Systems),Kinship Systems Theory,1
Vern L. Bengtson,Family,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),C. 세대간 양가성·연대 (Intergenerational Ambivalence & Solidarity),Intergenerational Solidarity Theory,1
William A. Corsaro,Family,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",A. 아동중심·양육 (Child-Centered & Parenting),Sociology of Childhood,1
Ron Lesthaeghe,Family,"이혼·재구성가족·법 (Divorce, Stepfamily & Law)",A. 이혼·무책주의 이혼 (Divorce & No-Fault),Second Demographic Transition Theory,1
Dirk van de Kaa,Family,"이혼·재구성가족·법 (Divorce, Stepfamily & Law)",A. 이혼·무책주의 이혼 (Divorce & No-Fault),Second Demographic Transition Theory,1
Lenore J. Weitzman,Family,"이혼·재구성가족·법 (Divorce, Stepfamily & Law)",A. 이혼·무책주의 이혼 (Divorce & No-Fault),No-Fault Divorce Theory,1
Robyn Fivush,Family,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)",C. 가족 정체성·의례 (Family Identity & Rituals),Family Narratives,1
Confucius,Family,친족·인류학 (Kinship & Anthropology),C. 효·세대 문화 (Filial Piety & Generational Culture),Filial Piety,1
Terrie E. Moffitt,Family,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",C. 부모-자녀 상호작용·자율성 (Parent-Child Interaction & Autonomy),Family Risk Factors for Delinquency,1
Lisa F. Berkman,Family,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)",A. 가족 부담·정신건강 (Family Burden & Mental Health),Social Support and Family Health,1
Charlotte J. Patterson,Family,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",C. 퀴어·LGBTQ+ 가족 (Queer & LGBTQ+ Family),LGBTQ+ Parenting Theory,1
Sophie Lewis,Family,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Family Abolition (Critical Theory),1
Loretta Ross,Family,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Reproductive Justice,1
Joyce L. Epstein,Family,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",A. 아동중심·양육 (Child-Centered & Parenting),Parental Involvement Theory (Education),1
R.S. Schofield,Family,친족·인류학 (Kinship & Anthropology),C. 효·세대 문화 (Filial Piety & Generational Culture),Historical Demography,1
Deborah Gold,Family,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)",B. 가족 스트레스·만성 슬픔 (Family Stress & Chronic Sorrow),Chronic Sorrow,1
Suzanne C. Ouellette,Family,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)",C. 가족 회복탄력성·강인성 (Family Resilience & Hardiness),Hardiness,1
Jay Haley,Family,가족치료 실천 모델 (Family Therapy Practice Models),A. 전략적·구조적 가족치료 (Strategic & Structural),Strategic Family Therapy,1
Cloe Madanes,Family,가족치료 실천 모델 (Family Therapy Practice Models),A. 전략적·구조적 가족치료 (Strategic & Structural),Strategic Family Therapy,1
Maggie Schauer,Family,가족치료 실천 모델 (Family Therapy Practice Models),A. 전략적·구조적 가족치료 (Strategic & Structural),Narrative Exposure Therapy,1
Richard C. Schwartz,Family,애착·심리역동 가족이론 (Attachment & Psychodynamic),B. 대상관계·내적가족체계 (Object Relations & IFS),Internal Family Systems (IFS),1
Janet R. Finch,Family,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",B. 교차성·서사적 가족치료 (Intersectionality & Narrative),Critical Family Studies,1
Alfred D. Chandler Jr.,Family,가족사회학·구조 (Family Sociology & Structure),C. 가족제도·자본주의 (Family Institution & Capitalism),Familial Capitalism,1
Kath Weston,Family,친족·인류학 (Kinship & Anthropology),B. 신친족연구·선택가족 (New Kinship & Chosen Families),Chosen Families,1
Janet Carsten,Family,친족·인류학 (Kinship & Anthropology),B. 신친족연구·선택가족 (New Kinship & Chosen Families),New Kinship Studies,1
Evan Imber-Black,Family,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)",C. 가족 정체성·의례 (Family Identity & Rituals),Family Rituals,1
Mary Anne Fitzpatrick,Family,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),B. 의사소통·구조적 가족치료 (Communication & Structural Therapy),Family Communication Patterns Theory,1
E. Mavis Hetherington,Family,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),C. 항상성·하위체계 (Homeostasis & Subsystems),Interparental Conflict Theory,1
Gerald Patterson,Family,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",C. 부모-자녀 상호작용·자율성 (Parent-Child Interaction & Autonomy),Parent-Child Coercion Theory,1
Richard Gardner,Family,"이혼·재구성가족·법 (Divorce, Stepfamily & Law)",C. 부모 소외·재구성가족 (Parental Alienation & Reconstitution),Parental Alienation Theory,1
Karen Fingerman,Family,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),C. 세대간 양가성·연대 (Intergenerational Ambivalence & Solidarity),Intergenerational Ambivalence,1
Monica McGoldrick,Family,가족치료 실천 모델 (Family Therapy Practice Models),B. 서사·이야기 치료 (Narrative & Storytelling Therapy),Family Storytelling (Therapy),1
Fredrick M. Loomis,Family,디지털 시대 가족·여가 (Digital Age Family & Leisure),C. 가족 여가 (Family Leisure),Family Leisure Theory,1
Nick Stinnett,Family,가족치료 실천 모델 (Family Therapy Practice Models),C. 가족생활교육·강점 (Family Life Education & Strengths),Family Strengths Perspective,1
Alfred Adler,Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,Individual Psychology (Adler),1
Ivan Pavlov,Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,Classical Conditioning,1
Julian Rotter,Psychology,Cognitive,A. Social-Cognitive Theory,Locus of Control,1
Lee Ross,Psychology,Cognitive,A. Social-Cognitive Theory,Fundamental Attribution Error,1
Peter Wason,Psychology,Cognitive,A. Social-Cognitive Theory,Confirmation Bias,1
Mary Klinnert,Psychology,Developmental,A. Cognitive & Moral Development,Social Referencing,1
Solomon Asch,Psychology,Social Psychology,A. Identity & Intergroup,Conformity,1
Stanley Milgram,Psychology,Social Psychology,A. Identity & Intergroup,Obedience to Authority,1
Dalmas Taylor,Psychology,Social Psychology,A. Identity & Intergroup,Social Penetration Theory,1
Muzafer Sherif,Psychology,Social Psychology,A. Identity & Intergroup,Realistic Conflict Theory,1
John Darley,Psychology,Social Psychology,A. Identity & Intergroup,Bystander Effect,1
C. Daniel Batson,Psychology,Social Psychology,A. Identity & Intergroup,Empathy-Altruism Hypothesis,1
Costa,Psychology,Personality,A. Trait Theories,Five-Factor Model (Big Five),1
McCrae,Psychology,Personality,A. Trait Theories,Five-Factor Model (Big Five),1
Raymond Cattell,Psychology,Personality,A. Trait Theories,Trait Theory (General),1
Heinz Hartmann,Psychology,Personality,A. Trait Theories,Ego Psychology,1
Paul Meehl,Psychology,Clinical & Psychopathology,A. Models of Psychopathology,Diathesis-Stress Model,1
George L. Engel,Psychology,Clinical & Psychopathology,A. Models of Psychopathology,Biopsychosocial Model,1
Otto Kernberg,Psychology,Clinical & Psychopathology,A. Models of Psychopathology,Psychodynamic Therapy,1
Christopher Peterson,Psychology,Positive Psychology,A. Well-being Models,Character Strengths and Virtues,1
Jaak Panksepp,Psychology,Cognitive Science & Neuroscience,A. Cognitive Science,Affective Neuroscience,1
Sidney Jourard,Psychology,Relationship & Interpersonal,C. Communication & Maintenance,Self-Disclosure Theory,1
Elaine Hatfield,Psychology,Relationship & Interpersonal,A. Love & Attachment,Matching Hypothesis (Relationships),1
Thomas Teo,Psychology,"Critical, Cultural & Environmental",A. Critical & Health Belief,Critical Psychology,1
Peter Beresford,Psychology,"Critical, Cultural & Environmental",A. Critical & Health Belief,Mad Studies,1
Roger Barker,Psychology,"Critical, Cultural & Environmental",A. Critical & Health Belief,Environmental Psychology,1
Richard M. Lerner,Psychology,Emerging & Contemporary,B. Applied & Specialized,Positive Youth Development,1
Richard Shweder,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,Cultural Psychology,1
John Suler,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,Cyberpsychology,1
Barbara L. Fredrickson,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,Broaden-and-Build Theory of Positive Emotions,1
Otto F. Kernberg,Psychology,Psychoanalytic & Psychodynamic,C. Psychodynamic Therapy,Transference-Focused Psychotherapy (TFP),1
Stephen A. Mitchell,Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,Relational Psychoanalysis,1
Jeffrey Young,Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,Schema Therapy,1
Fritz Perls,Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,Gestalt Therapy,1
James Bugental,Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,Existential-Humanistic Therapy,1
Michael White,Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,Narrative Therapy,1
David Epston,Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,Narrative Therapy,1
Jack Brehm,Psychology,Social Psychology,B. Attitudes & Persuasion,Reactance Theory,1
William Swann Jr.,Psychology,Social Psychology,B. Attitudes & Persuasion,Self-Verification Theory,1
Hazel Markus,Psychology,Social Psychology,B. Attitudes & Persuasion,Possible Selves Theory,1
Paula Nurius,Psychology,Social Psychology,B. Attitudes & Persuasion,Possible Selves Theory,1
Alison Gopnik,Psychology,Developmental,A. Cognitive & Moral Development,Theory of Mind (Development),1
James Marcia,Psychology,Developmental,B. Lifespan Development,Identity Status Theory (Adolescence),1
Laura L. Carstensen,Psychology,Developmental,B. Lifespan Development,Socioemotional Selectivity Theory (Aging),1
Alan Baddeley,Psychology,Cognitive,B. Memory & Attention,Working Memory Model,1
