theorist,part,major,sub,existing,n_existing
Lloyd Ohlin,Society,Advanced & Applied Social Theories,General Social Theories,Subculture Theory,1
Herbert Blumer,Society,Advanced & Applied Social Theories,General Social Theories,Symbolic Interactionism (Broader Application),1
Harvey Sacks,Society,Advanced & Applied Social Theories,General Social Theories,Conversation Analysis (CA),1
Emanuel Schegloff,Society,Advanced & Applied Social Theories,General Social Theories,Conversation Analysis (CA),1
Gail Jefferson,Society,Advanced & Applied Social Theories,General Social Theories,Conversation Analysis (CA),1
Judy Wajcman,Society,Advanced & Applied Social Theories,General Social Theories,Time Poverty,1
Cicero,Politics,Classical & Pre-Modern Political Thought,B. Roman & Medieval Thought,Natural Law Theory,1
Pope Gelasius I,Politics,Classical & Pre-Modern Political Thought,B. Roman & Medieval Thought,Two Swords Theory (Political Theology),1
Montesquieu,Politics,Early Modern & Enlightenment Political Thought,B. Enlightenment & Liberalism,Separation of Powers,1
Joseph de Maistre,Politics,Early Modern & Enlightenment Political Thought,D. Conservatism & Counter-Enlightenment,Organic Society (Political Theory),1
Peter Kropotkin,Politics,Radical & Critical Traditions,B. Anarchism & Syndicalism,Mutual Aid (Anarchism),1
Carlo Cafiero,Politics,Radical & Critical Traditions,B. Anarchism & Syndicalism,Propaganda of the Deed,1
Errico Malatesta,Politics,Radical & Critical Traditions,B. Anarchism & Syndicalism,Propaganda of the Deed,1
Robert Michels,Politics,"Power, Elites & Classical Democratic Theory",A. Elitism & Realism,Iron Law of Oligarchy,1
Gaetano Mosca,Politics,"Power, Elites & Classical Democratic Theory",A. Elitism & Realism,The Ruling Class (Political Theory),1
Robert Dahl,Politics,"Power, Elites & Classical Democratic Theory",B. Early Democratic Theory,Pluralism (Political Theory),1
James S. Fishkin,Politics,Democratic Theory & Contemporary Contestation,A. Deliberative & Participatory Democracy,Deliberative Polling,1
Aldo Leopold,Politics,"Postcolonial, Feminist & Environmental Politics",C. Environmental Politics & Justice,Ecocentrism (Political Theory),1
Barry Buzan,Politics,International Relations & Security,B. Critical Security Studies,Securitization Theory,1
Ole Wæver,Politics,International Relations & Security,B. Critical Security Studies,Securitization Theory,1
Lene Hansen,Politics,International Relations & Security,B. Critical Security Studies,Securitization Theory,1
Mahbub ul Haq,Politics,International Relations & Security,B. Critical Security Studies,Human Security,1
Paul Q. Hirst,Politics,Democratic Theory & Contemporary Contestation,B. Democratic Theory (Advanced),Associative Democracy,1
David Easton,Politics,"Behavioral, Sociological & Policy Sciences",A. Political Psychology,Political Socialization Theory,1
Jack Dennis,Politics,"Behavioral, Sociological & Policy Sciences",A. Political Psychology,Political Socialization Theory,1
Woodrow Wilson,Politics,International Relations & Security,A. International Relations,Liberal Internationalism,1
Kenneth Waltz,Politics,International Relations & Security,A. International Relations,Realism (IR),1
Gearóid Ó Tuathail,Politics,International Relations & Security,A. International Relations,Critical Geopolitics,1
Simon Dalby,Politics,International Relations & Security,A. International Relations,Critical Geopolitics,1
Michel Aglietta,Politics,Political Economy & Comparative Politics,B. Political Economy (Advanced),Regulation Theory (Political Economy),1
Robert Boyer,Politics,Political Economy & Comparative Politics,B. Political Economy (Advanced),Regulation Theory (Political Economy),1
Peter A. Hall,Politics,Political Economy & Comparative Politics,B. Political Economy (Advanced),Varieties of Capitalism (VOC),1
David Soskice,Politics,Political Economy & Comparative Politics,B. Political Economy (Advanced),Varieties of Capitalism (VOC),1
