theorist,part,major,sub,existing,n_existing
Martha Minow,LAW,Critical Legal Studies & Critical Race Theory,C. Intersectional & Identity-Based Critique (Disability/Gender),Anti-Ableism in Law Theory,1
Patricia Ewick,LAW,Jurisprudence & Legal Philosophy,C. Post-Structuralist & Continental Legal Philosophy,Legal Consciousness Theory,1
Susan S. Silbey,LAW,Jurisprudence & Legal Philosophy,C. Post-Structuralist & Continental Legal Philosophy,Legal Consciousness Theory,1
Owen D. Jones,LAW,"Law, Psychology, Neuroscience & Emotion",B. NeuroLaw & Free Will,NeuroLaw Theory,1
Drucilla Cornell,LAW,Jurisprudence & Legal Philosophy,C. Post-Structuralist & Continental Legal Philosophy,Deconstruction (Legal),1
Mia Mingus,LAW,"Criminal Law, Punishment & Restorative Justice",B. Restorative & Transitional Justice,Transformative Justice (Legal),1
Terry L. Turnipseed,LAW,"Law, Psychology, Neuroscience & Emotion",C. Law & Emotion / Affective Jurisprudence,Affective Jurisprudence,1
Robert F. Schopp,LAW,Applied & Public-Welfare Law,"C. Migration, Childhood & Vulnerable Populations",Law and Childhood Development Theory,1
Thomas Berry,LAW,"Environmental, Climate & Anthropocene Law","C. Rights of Nature, Anthropocene & Animal Law",Rights of Nature Theory (Legal),1
Benedict Kingsbury,LAW,Constitutional Theory & Public Law,C. Administrative Law & Public Governance,Global Administrative Law Theory,1
Boaventura de Sousa Santos,LAW,Law and Society & Sociology of Law,"C. Legal Pluralism, Anthropology & Postcolonial Orders",Pluralistic Legal Orders (Postcolonial) Theory,1
Lucie E. White,LAW,Applied & Public-Welfare Law,"B. Poverty, Social Work & Therapeutic Jurisprudence",Poverty Law Theory,1
David B. Wexler,LAW,Applied & Public-Welfare Law,"B. Poverty, Social Work & Therapeutic Jurisprudence",Therapeutic Jurisprudence (Law),1
Bruce J. Winick,LAW,Applied & Public-Welfare Law,"B. Poverty, Social Work & Therapeutic Jurisprudence",Therapeutic Jurisprudence (Law),1
Paisley Currah,LAW,Critical Legal Studies & Critical Race Theory,C. Intersectional & Identity-Based Critique (Disability/Gender),Transgender Legal Theory,1
Roberto Esposito,LAW,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",Posthuman Law Theory,1
Jan Klabbers,LAW,International & Human Rights Law,"C. Global Justice, Constitutionalism & Development",Global Constitutionalism (Legal) Theory,1
David M. Trubek,LAW,International & Human Rights Law,"C. Global Justice, Constitutionalism & Development",Law and Development (Critical Theory),1
Ryan Calo,LAW,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",AI Ethics (Legal),1
J.B. Ruhl,LAW,"Law, Social Movements & Narrative",C. Legal Complexity & Systems,Law as a Complex System Theory,1
