theorist,part,major,sub,existing,n_existing
Walter Cannon,Nature,Behavioral Endocrinology & Stress Biology,B. Stress & HPA Axis,Fight-or-Flight Response (Biological),1
Steven Stearns,Nature,Evolutionary Theory & Human Origins,C. Life History & Demography,Life History Theory (Human),1
James M. Dabbs Jr.,Nature,Neuro-Evolutionary Affect,C. Aggression & Risk,Testosterone and Aggression Theory,1
Karl Grammer,Nature,Chronobiology & Sensory Biology,C. Olfaction & Chemical Communication,Human Pheromone Hypothesis,1
David Berliner,Nature,Chronobiology & Sensory Biology,C. Olfaction & Chemical Communication,Human Pheromone Hypothesis,1
Kenneth Blum,Nature,Neuro-Evolutionary Affect,"A. Reward, Addiction & Motivation",Reward Deficiency Syndrome Theory,1
Joseph Schildkraut,Nature,Biological Basis of Mind & Behavior,C. Mental Health & Psychopathology,Neurotransmitter Imbalance Theory (Mental Illness),1
Simon LeVay,Nature,Biological Basis of Mind & Behavior,"B. Consciousness, Self & Decision",Brain Sex Theory,1
Dick Swaab,Nature,Biological Basis of Mind & Behavior,"B. Consciousness, Self & Decision",Brain Sex Theory,1
Simon Fisher,Nature,"Biological Bases of Language, Cognition & Aesthetics",A. Language & Communication Biology,FOXP2 Gene Theory (Language),1
S. Boyd Eaton,Nature,Human Ecology & Evolutionary Medicine,B. Evolutionary Medicine & Pathogen Coevolution,Mismatch Theory (Evolutionary Medicine),1
J.J.C. Smart,Nature,Neuroeconomics & Neurophilosophy,B. Neurophilosophy & Mind-Brain,Identity Theory (Mind-Brain),1
U.T. Place,Nature,Neuroeconomics & Neurophilosophy,B. Neurophilosophy & Mind-Brain,Identity Theory (Mind-Brain),1
Esther M. Sternberg,Nature,Psychoneuroimmunology & Microbiome,A. Immune-Behavior Interface,Immune System and Behavior Theory,1
Marc Hauser,Nature,Neurobiology & Neuroscience,C. Social & Affective Neuroscience,Moral Grammar Theory (Biological),1
Richard Axel,Nature,Chronobiology & Sensory Biology,C. Olfaction & Chemical Communication,Olfactory Memory Theory (Biological),1
Linda Buck,Nature,Chronobiology & Sensory Biology,C. Olfaction & Chemical Communication,Olfactory Memory Theory (Biological),1
Jesper Hoffmeyer,Nature,Ethology & Human-Animal Studies,C. Human-Animal Bond & Biosemiotics,Biosemiotics (Human Interpretation),1
Thomas A. Sebeok,Nature,Ethology & Human-Animal Studies,C. Human-Animal Bond & Biosemiotics,Biosemiotics (Human Interpretation),1
Matthew Lieberman,Nature,Neurobiology & Neuroscience,C. Social & Affective Neuroscience,Social Pain Theory (Neurobiological),1
Jerome Kagan,Nature,Biological Basis of Mind & Behavior,A. Personality & Temperament,Temperament Theory (Biological),1
Mary K. Rothbart,Nature,Biological Basis of Mind & Behavior,A. Personality & Temperament,Temperament Theory (Biological),1
Stephen Maxson,Nature,Neuro-Evolutionary Affect,C. Aggression & Risk,Serotonin-Aggression Hypothesis,1
Timothy Bliss,Nature,Neurobiology & Neuroscience,B. Memory & Learning Neuroscience,Long-Term Potentiation (LTP) Theory,1
Terje Lømo,Nature,Neurobiology & Neuroscience,B. Memory & Learning Neuroscience,Long-Term Potentiation (LTP) Theory,1
Paul Broca,Nature,"Biological Bases of Language, Cognition & Aesthetics",A. Language & Communication Biology,Broca's Area and Wernicke's Area Theory,1
Carl Wernicke,Nature,"Biological Bases of Language, Cognition & Aesthetics",A. Language & Communication Biology,Broca's Area and Wernicke's Area Theory,1
