theorist,part,major,sub,existing,n_existing
Jeffrey Pfeffer,MANAGEMENT,Organizational Theory & Design,"C. Ecology, Resource Dependence & Evolution",Resource Dependence Theory,1
Gerald Salancik,MANAGEMENT,Organizational Theory & Design,"C. Ecology, Resource Dependence & Evolution",Resource Dependence Theory,1
Robert Kozinets,MANAGEMENT,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,Consumer Resistance Theory,1
John Meyer,MANAGEMENT,Human Resource Management,"B. Engagement, Commitment & Psychological Contract",Organizational Commitment Theory,1
William Mobley,MANAGEMENT,Human Resource Management,"B. Engagement, Commitment & Psychological Contract",Employee Turnover Theory (Behavioral),1
Terence Mitchell,MANAGEMENT,Human Resource Management,"B. Engagement, Commitment & Psychological Contract",Employee Turnover Theory (Behavioral),1
Eric von Hippel,MANAGEMENT,Innovation & Entrepreneurship,B. Ambidexterity & Open Innovation,User Innovation Theory,1
David J. Teece,MANAGEMENT,Strategic Management & Competitive Advantage,"B. Adaptive, Emergent & Real Options",Organizational Learning (Strategic Management),1
James Fitzsimmons,MANAGEMENT,"Operations, Quality & Supply Chain",C. Service Operations,Service Encounter Theory,1
Darla Deardorff,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,Cross-Cultural Competence Theory (IB),1
Gerald R. Ferris,MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",Political Skill Theory (OB),1
Larry C. Spears,MANAGEMENT,Leadership,"B. Servant, Shared & Ethical Leadership",Servant Leadership Theory,1
Richard L. Priem,MANAGEMENT,Strategic Management & Competitive Advantage,C. Behavioral & Cognitive Strategy,Behavioral Corporate Strategy Theory,1
Jeffrey G. Covin,MANAGEMENT,Strategic Management & Competitive Advantage,C. Behavioral & Cognitive Strategy,Behavioral Corporate Strategy Theory,1
M. Joseph Sirgy,MANAGEMENT,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,Self-Congruity Theory (Marketing),1
Peter Warr,MANAGEMENT,Human Resource Management,"C. Well-being, Work-Life & Job Design",Employee Well-being Theory (HRM),1
Paul Beamish,MANAGEMENT,International Business & Cross-Cultural Management,C. MNC Behavior & Cognition,Managerial Cognition in International Business,1
Allen Morrison,MANAGEMENT,International Business & Cross-Cultural Management,C. MNC Behavior & Cognition,Managerial Cognition in International Business,1
Bradley R. Agle,MANAGEMENT,"Business Ethics, CSR & Governance",B. Stakeholder Theory & Engagement,Stakeholder Salience Theory,1
Gerry Johnson,MANAGEMENT,Strategic Management & Competitive Advantage,C. Behavioral & Cognitive Strategy,Strategic Cognition Theory,1
Richard Hackman,MANAGEMENT,Human Resource Management,"C. Well-being, Work-Life & Job Design",Job Characteristics Model (JCM),1
Greg Oldham,MANAGEMENT,Human Resource Management,"C. Well-being, Work-Life & Job Design",Job Characteristics Model (JCM),1
David Maister,MANAGEMENT,"Operations, Quality & Supply Chain",A. Behavioral & Human Factors Operations,Behavioral Queuing Theory (Operations),1
Richard Nelson,MANAGEMENT,Innovation & Entrepreneurship,C. Ecosystems & Innovation Systems,Innovation Systems Theory (Business),1
Bengt-Åke Lundvall,MANAGEMENT,Innovation & Entrepreneurship,C. Ecosystems & Innovation Systems,Innovation Systems Theory (Business),1
Zaheer,MANAGEMENT,International Business & Cross-Cultural Management,B. Internationalization & Entry Mode,Liability of Foreignness Theory,1
Maureen O'Hara,MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,Behavioral Market Microstructure Theory,1
Johannes Siegrist,MANAGEMENT,Human Resource Management,A. Core HRM & Performance,Effort-Reward Imbalance Model (HRM),1
James F. Moore,MANAGEMENT,Innovation & Entrepreneurship,C. Ecosystems & Innovation Systems,Innovation Ecosystems Theory (Business),1
Joseph E. Garcia,MANAGEMENT,Leadership,C. Contingency & Followership,Cognitive Resource Theory of Leadership,1
Amy Wrzesniewski,MANAGEMENT,Human Resource Management,"C. Well-being, Work-Life & Job Design",Job Crafting Theory (HRM),1
Jane Dutton,MANAGEMENT,Human Resource Management,"C. Well-being, Work-Life & Job Design",Job Crafting Theory (HRM),1
James Reason,MANAGEMENT,"Operations, Quality & Supply Chain",A. Behavioral & Human Factors Operations,Human Error Theory (Operations),1
Ron Adner,MANAGEMENT,Innovation & Entrepreneurship,C. Ecosystems & Innovation Systems,Ecosystem Approach to Innovation (Business),1
Ellen Langer,MANAGEMENT,Organizational Behavior & Work Psychology,"C. Well-being, Engagement & Deviance",Mindfulness in OB Theory,1
K. Cameron,MANAGEMENT,Organizational Behavior & Work Psychology,"C. Well-being, Engagement & Deviance",Mindfulness in OB Theory,1
Robert Pindyck,MANAGEMENT,Strategic Management & Competitive Advantage,"B. Adaptive, Emergent & Real Options",Real Options Theory (Strategy),1
Taiichi Ohno,MANAGEMENT,"Operations, Quality & Supply Chain",A. Behavioral & Human Factors Operations,Lean Management (Human Factors) Theory,1
Oviatt,MANAGEMENT,International Business & Cross-Cultural Management,B. Internationalization & Entry Mode,Born Global Firms Theory,1
McDougall,MANAGEMENT,International Business & Cross-Cultural Management,B. Internationalization & Entry Mode,Born Global Firms Theory,1
Robert E. Kelley,MANAGEMENT,Leadership,C. Contingency & Followership,Followership Theory,1
John Finnis,LAW,Jurisprudence & Legal Philosophy,A. Natural Law & Normative Foundations,Natural Law Theory (Legal),1
St. Augustine,LAW,Jurisprudence & Legal Philosophy,B. Legal Positivism & Analytic Jurisprudence,Lex Iniusta Non Est Lex (Unjust Law is No Law),1
John Austin,LAW,Jurisprudence & Legal Philosophy,B. Legal Positivism & Analytic Jurisprudence,Legal Positivism,1
Oliver Wendell Holmes Jr.,LAW,Jurisprudence & Legal Philosophy,B. Legal Positivism & Analytic Jurisprudence,Legal Realism,1
Karl Llewellyn,LAW,Jurisprudence & Legal Philosophy,B. Legal Positivism & Analytic Jurisprudence,Legal Realism,1
Jerome Frank,LAW,Jurisprudence & Legal Philosophy,B. Legal Positivism & Analytic Jurisprudence,Legal Realism,1
Duncan Kennedy,LAW,Critical Legal Studies & Critical Race Theory,A. Critical Legal Studies (CLS) & Indeterminacy,Critical Legal Studies (CLS),1
Roberto Unger,LAW,Critical Legal Studies & Critical Race Theory,A. Critical Legal Studies (CLS) & Indeterminacy,Critical Legal Studies (CLS),1
Janet Halley,LAW,Critical Legal Studies & Critical Race Theory,A. Critical Legal Studies (CLS) & Indeterminacy,Queer Legal Theory,1
William N. Eskridge Jr.,LAW,Critical Legal Studies & Critical Race Theory,A. Critical Legal Studies (CLS) & Indeterminacy,Queer Legal Theory,1
