theorist,part,major,sub,existing,n_existing
Herbert A. Simon,Psychology,Cognitive,A. Competitive Positioning & Resources,Bounded Rationality | Bounded Rationality (Strategy) | Means-Ends Analysis,3
Martin Fishbein,Psychology,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,Theory of Reasoned Action (Marketing) | Theory of Reasoned Action (TRA) | Theory of Reasoned Action (TRA) (Health),3
Kevin Lane Keller,MANAGEMENT,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,Brand Equity Theory | Consumer-Based Brand Equity (CBBE) | Strategic Cognition Theory,3
James S. Coleman,Society,Human Resource Management,A. Core HRM & Performance,Methodological Individualism | Social Capital Theory | Social Capital Theory (HRM),3
Denise Rousseau,MANAGEMENT,Human Resource Management,A. Core HRM & Performance,Psychological Contract Breach | Psychological Contract Theory | Psychological Contracts,3
Paul DiMaggio,MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,Institutional Isomorphism | Institutional Isomorphism (Management) | Institutional Theory (Management),3
John W. Meyer,MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,Decoupling (Management) | World Culture Theory | World Society Theory,3
Kurt Lewin,MANAGEMENT,"Change, Crisis & Organizational Development",A. Change Management,Action Research (OD) | Lewin's Change Management Model | Resistance to Change Theory,3
James March,MANAGEMENT,Innovation & Entrepreneurship,B. Ambidexterity & Open Innovation,Exploitation vs. Exploration (Innovation) | Organizational Ambidexterity Theory | Organizational Slack Theory (IB),3
Mark Granovetter,Society,Contemporary Sociological Perspectives,C. Ecosystems & Innovation Systems,Social Network Analysis (SNA) | Social Networks in Innovation Theory | Strength of Weak Ties,3
Max H. Bazerman,MANAGEMENT,Organizational Behavior & Work Psychology,D. Decision Making & Behavioral Ethics,Behavioral Ethics (Organizational Behavior) | Behavioral Ethics in Law Theory | Ethical Decision Making (Behavioral Economics),3
