theorist,part,major,sub,existing,n_existing
Louis Montrose,Critics,Historical & Cultural Materialist,A. New Historicism & Cultural Poetics,New Historicism,1
Richard Hoggart,Critics,Historical & Cultural Materialist,A. New Historicism & Cultural Poetics,Cultural Studies,1
Georges Poulet,Critics,Phenomenological & Hermeneutic,A. Hermeneutics,Phenomenological Criticism,1
Maurice Merleau-Ponty,Critics,Phenomenological & Hermeneutic,A. Hermeneutics,Phenomenological Criticism,1
Cheryll Glotfelty,Critics,Ecological & Environmental,A. Ecocriticism,Ecocriticism,1
George Landow,Critics,Digital & Media-Specific,A. Digital Humanities & Hypertext,Hypertext Theory,1
Michael Joyce,Critics,Digital & Media-Specific,A. Digital Humanities & Hypertext,Hypertext Theory,1
Robert Stam,Critics,Intertextual & Comparative,A. Intertextuality,Adaptation Studies,1
David Herman,Critics,Cognitive & Evolutionary,A. Cognitive Literary Studies,Cognitive Literary Studies,1
Brian Boyd,Critics,Cognitive & Evolutionary,A. Cognitive Literary Studies,Evolutionary Literary Theory,1
Stacy Alaimo,Critics,Ecological & Environmental,A. Ecocriticism,Material Ecocriticism,1
Siegfried Zielinski,Critics,Digital & Media-Specific,A. Digital Humanities & Hypertext,Media Archaeology,1
Erkki Huhtamo,Critics,Digital & Media-Specific,A. Digital Humanities & Hypertext,Media Archaeology,1
Bill Brown,Critics,Interdisciplinary & Emerging,A. New Materialism & Thing Theory,Thing Theory,1
Karen Barad,Critics,Interdisciplinary & Emerging,A. New Materialism & Thing Theory,New Materialism,1
Peter Stockwell,Critics,Interdisciplinary & Emerging,A. New Materialism & Thing Theory,Cognitive Poetics,1
Murray Schafer,Critics,Digital & Media-Specific,C. Platform & Media Studies,Sound Studies,1
David Hume,Critics,Phenomenological & Hermeneutic,B. Aesthetics & Phenomenology of Reading,Aesthetic Value Theory,1
Jean Mandler,Critics,Cognitive & Evolutionary,A. Cognitive Literary Studies,Schema Theory,1
David E. Rumelhart,Critics,Cognitive & Evolutionary,A. Cognitive Literary Studies,Schema Theory,1
Matthew Jockers,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Text Mining,1
Claus Clüver,Critics,Digital & Media-Specific,C. Platform & Media Studies,Intermediality,1
Yuri Lotman,Critics,Formalist & Text-Centric,B. Structuralism & Semiotics,Semiotics of Culture,1
Norman Holland,Critics,Phenomenological & Hermeneutic,C. Reader-Response & Reception,Affective Response,1
Christine Delphy,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Materialist Feminism,1
Monique Wittig,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Materialist Feminism,1
Elizabeth Freeman,Critics,Identity-Based & Political,B. Queer Theory,Queer Temporalities,1
Gayle Rubin,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Sex/Gender System,1
Mark Solms,Critics,Psychoanalytic & Psychological,B. Object Relations & Post-Freudian,Neuropsychoanalysis,1
Lisa Gitelman,Critics,Digital & Media-Specific,C. Platform & Media Studies,Platform Studies,1
Robert McRuer,Critics,Identity-Based & Political,D. Disability Studies,Cripping Theory,1
Karen J. Warren,Critics,Ecological & Environmental,C. Ecofeminism & Environmental Justice,Ecofeminist Criticism,1
Roger Schank,Critics,Cognitive & Evolutionary,A. Cognitive Literary Studies,Narrative Comprehension Theory,1
Robert Abelson,Critics,Cognitive & Evolutionary,A. Cognitive Literary Studies,Narrative Comprehension Theory,1
Ernest Jones,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Psychoanalytic Criticism (Freudian Literary),1
Geoffrey Wagner,Critics,Intertextual & Comparative,A. Intertextuality,Fidelity Criticism,1
John Searle,Critics,Formalist & Text-Centric,C. Stylistics & Textual Criticism,Speech Act Theory,1
Jan Mukařovský,Critics,Formalist & Text-Centric,C. Stylistics & Textual Criticism,Foregrounding,1
Marie-Laure Ryan,Critics,Cognitive & Evolutionary,A. Cognitive Literary Studies,Possible Worlds Theory,1
Ursula K. Heise,Critics,Ecological & Environmental,A. Ecocriticism,Environmental Narrative,1
Robyn Warhol,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Feminist Narratology,1
Jean Stefancic,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Counter-Narratives,1
Sally Shuttleworth,Critics,Historical & Cultural Materialist,C. Memory & Book History,Neo-Victorian Studies,1
Ann Heilmann,Critics,Historical & Cultural Materialist,C. Memory & Book History,Neo-Victorian Studies,1
Jerome McGann,Critics,Historical & Cultural Materialist,C. Memory & Book History,Material Textuality,1
Petra Kuppers,Critics,Identity-Based & Political,D. Disability Studies,Crip Poetics,1
Jussi Parikka,Critics,Digital & Media-Specific,C. Platform & Media Studies,Media Ecologies,1
Alicia Ostriker,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Feminist Poetics,1
Richard Gerrig,Critics,Cognitive & Evolutionary,A. Cognitive Literary Studies,Narrative Transportation,1
Marvin Carlson,Critics,Intertextual & Comparative,C. Adaptation & Performance,Script vs. Performance,1
John Burrows,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Computational Stylistics,1
Michael Rothberg,Critics,Historical & Cultural Materialist,C. Memory & Book History,Cultural Memory of Trauma,1
Robert McDowell,Critics,Formalist & Text-Centric,C. Stylistics & Textual Criticism,New Formalism (Poetry),1
Christopher Stringer,Nature,Evolutionary Theory & Human Origins,B. Gene-Culture Coevolution & Human Origins,Out of Africa Theory (Human Origin),1
Richard Leakey,Nature,Evolutionary Theory & Human Origins,B. Gene-Culture Coevolution & Human Origins,Out of Africa Theory (Human Origin),1
Eric Alden Smith,Nature,Evolutionary Theory & Human Origins,B. Gene-Culture Coevolution & Human Origins,Human Behavioral Ecology,1
Bruce Winterhalder,Nature,Evolutionary Theory & Human Origins,B. Gene-Culture Coevolution & Human Origins,Human Behavioral Ecology,1
Marcus Feldman,Nature,Evolutionary Theory & Human Origins,B. Gene-Culture Coevolution & Human Origins,Gene-Culture Coevolution Theory,1
Jim Sidanius,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Social Dominance Theory (Evolutionary),1
Felicia Pratto,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Social Dominance Theory (Evolutionary),1
Robert Plutchik,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Emotion as Adaptation Theory (Evolutionary),1
James Olds,Nature,Neurobiology & Neuroscience,A. Neuroplasticity & Systems,Reward System Theory,1
Peter Milner,Nature,Neurobiology & Neuroscience,A. Neuroplasticity & Systems,Reward System Theory,1
Giacomo Rizzolatti,Nature,Neurobiology & Neuroscience,A. Neuroplasticity & Systems,Mirror Neuron System Theory,1
Tania Singer,Nature,Neurobiology & Neuroscience,A. Neuroplasticity & Systems,Empathy Circuitry Theory,1
Rosalind Picard,Nature,Neurobiology & Neuroscience,A. Neuroplasticity & Systems,Affective Computing,1
Sandra Scarr,Nature,Behavioral & Molecular Genetics,B. Gene-Environment Interplay,Gene-Environment Interaction Theory (GxE),1
Erik Turkheimer,Nature,Behavioral & Molecular Genetics,B. Gene-Environment Interplay,Gene-Environment Interaction Theory (GxE),1
Moshe Szyf,Nature,Behavioral & Molecular Genetics,A. Heritability & Epigenetics,Epigenetics (Human Behavior),1
Michael Meaney,Nature,Behavioral & Molecular Genetics,A. Heritability & Epigenetics,Epigenetics (Human Behavior),1
Irenäus Eibl-Eibesfeldt,Nature,Ethology & Human-Animal Studies,A. Human Ethology & Nonverbal Signals,Human Ethology,1
Niko Tinbergen,Nature,Ethology & Human-Animal Studies,A. Human Ethology & Nonverbal Signals,Innate Releasing Mechanisms (Human),1
Amos Hawley,Nature,Human Ecology & Evolutionary Medicine,A. Cultural & Disease Ecology,Human Ecological Theory,1
E.O. Wilson,Nature,Human Ecology & Evolutionary Medicine,A. Cultural & Disease Ecology,Sociobiology,1
Jane Goodall,Nature,Ethology & Human-Animal Studies,B. Primate & Comparative Behavior,Primate Social Behavior (Human Analogues),1
Daniel Povinelli,Nature,Ethology & Human-Animal Studies,B. Primate & Comparative Behavior,Theory of Mind in Primates (Human Roots),1
Franz Halberg,Nature,Chronobiology & Sensory Biology,A. Circadian Rhythms & Sleep,Circadian Rhythm Theory (Human),1
Jeffrey C. Hall,Nature,Chronobiology & Sensory Biology,A. Circadian Rhythms & Sleep,Circadian Rhythm Theory (Human),1
Michael Rosbash,Nature,Chronobiology & Sensory Biology,A. Circadian Rhythms & Sleep,Circadian Rhythm Theory (Human),1
Michael W. Young,Nature,Chronobiology & Sensory Biology,A. Circadian Rhythms & Sleep,Circadian Rhythm Theory (Human),1
Alexander Borbély,Nature,Chronobiology & Sensory Biology,A. Circadian Rhythms & Sleep,Sleep-Wake Regulation (Biological),1
A. Jean Ayres,Nature,Chronobiology & Sensory Biology,B. Sensory & Perceptual Biology,Sensory Processing Theory (Human),1
Patrick Wall,Nature,Chronobiology & Sensory Biology,B. Sensory & Perceptual Biology,Pain Gate Theory,1
Robin Dunbar,Nature,Neurobiology & Neuroscience,A. Neuroplasticity & Systems,Social Brain Hypothesis,1
John F. Cryan,Nature,Psychoneuroimmunology & Microbiome,B. Gut-Brain-Microbiome Axis,Gut-Brain Axis Theory (Human),1
Philippe Grandjean,Nature,Human Ecology & Evolutionary Medicine,C. Environmental Health & Nutrition,Environmental Toxins and Neurodevelopment,1
Philip J. Landrigan,Nature,Human Ecology & Evolutionary Medicine,C. Environmental Health & Nutrition,Environmental Toxins and Neurodevelopment,1
William Dement,Nature,Chronobiology & Sensory Biology,A. Circadian Rhythms & Sleep,Sleep Deprivation Theory (Human),1
Martha K. McClintock,Nature,Chronobiology & Sensory Biology,C. Olfaction & Chemical Communication,Olfactory Communication (Human),1
Alan Beck,Nature,Ethology & Human-Animal Studies,C. Human-Animal Bond & Biosemiotics,Human-Animal Bond Theory (Biological),1
Aaron Katcher,Nature,Ethology & Human-Animal Studies,C. Human-Animal Bond & Biosemiotics,Human-Animal Bond Theory (Biological),1
