theorist,part,major,sub,existing,n_existing
David Christian,History,"Political, Legal & Global History",C. Global & Transnational,Big History,1
William H. McNeill,History,"Political, Legal & Global History",C. Global & Transnational,World History,1
Sanjay Subrahmanyam,History,"Political, Legal & Global History",C. Global & Transnational,Connected Histories,1
Paul John Eakin,History,Memory & Oral History,B. Oral History & Testimony,Life Narratives (Historical),1
Alessandro Portelli,History,Memory & Oral History,B. Oral History & Testimony,Oral History,1
Peter Stearns,History,"Gender, Body & Emotions History",B. History of Emotions,Emotions and Historical Sources,1
Joel Tarr,History,"Environmental, Science & Technology History",A. Environmental History,History of Urban Environments,1
David Knight,History,"Environmental, Science & Technology History",B. History of Science,History of Scientific Institutions,1
Gary T. Marx,History,Specialized Social Histories,"B. Crime, Violence & Policing",History of Surveillance,1
Giovanni Arrighi,History,Marxist & Social History,B. Economic History,History of Financialization,1
Edward Ayers,History,Digital History,A. Digital Methods,Digital History,1
Gerda Lerner,History,"Gender, Body & Emotions History",A. Gender & Sexuality,Women's History,1
George Chauncey,History,"Gender, Body & Emotions History",A. Gender & Sexuality,Queer History,1
Steve Woolgar,History,"Environmental, Science & Technology History",B. History of Science,Laboratory Studies (Historical),1
Arthur O. Lovejoy,History,Intellectual History,A. History of Ideas,History of Ideas,1
Hastings Rashdall,History,Cultural History,"B. Book, Reading & Education",History of Universities,1
Harvey J. Graff,History,Cultural History,"B. Book, Reading & Education",History of Literacy,1
Lawrence Stone,History,Cultural History,"B. Book, Reading & Education",History of Education,1
Dori Laub,History,Memory & Oral History,C. Trauma & Post-Holocaust,Testimony (Historical),1
Samuel P. Hays,History,"Environmental, Science & Technology History",A. Environmental History,History of Conservation,1
David Rothman,History,Specialized Social Histories,"B. Crime, Violence & Policing",History of Prisons,1
Marshall Berman,History,Intellectual History,A. History of Ideas,History of Modernity,1
William Reddy,History,"Gender, Body & Emotions History",B. History of Emotions,Affective Regimes,1
Barbara Rosenwein,History,"Gender, Body & Emotions History",B. History of Emotions,Emotional Communities,1
Harold Innis,History,Cultural History,C. Art & Visual Culture,History of Communication,1
Jürgen Osterhammel,History,"Political, Legal & Global History",C. Global & Transnational,Entangled History (Verflechtungsgeschichte),1
Jan Lucassen,History,Digital History,B. Spatial & Network Analysis,Network Analysis,1
Anne Kelly Knowles,History,Digital History,B. Spatial & Network Analysis,Geospatial History,1
J.A. Hobson,History,Postcolonial & Decolonial History,A. Empire & Imperialism,Imperialism (Historical Theory),1
Emily Thompson,History,"Gender, Body & Emotions History","C. Body, Senses & Health",Auditory History,1
J.B. Harley,History,Digital History,B. Spatial & Network Analysis,History of Cartography,1
Matthew Edney,History,Digital History,B. Spatial & Network Analysis,History of Cartography,1
Richard White,History,Digital History,B. Spatial & Network Analysis,Spatial History,1
William Cronon,History,Digital History,B. Spatial & Network Analysis,Spatial History,1
Arnold Toynbee,History,Marxist & Social History,B. Economic History,Industrial Revolution (Historical),1
Daniel Roche,History,Marxist & Social History,B. Economic History,Consumer History,1
Lizabeth Cohen,History,Marxist & Social History,B. Economic History,Consumer History,1
Eric Hobsbawm,History,Marxist & Social History,B. Economic History,Labor History,1
Charles McIlwain,History,"Political, Legal & Global History",A. Political & State,Constitutional History,1
Frank Chalk,History,"Political, Legal & Global History",A. Political & State,History of Genocide,1
Paul W. Schroeder,History,"Political, Legal & Global History",A. Political & State,History of International Relations,1
John Keegan,History,"Political, Legal & Global History",A. Political & State,Military History,1
Peter Laslett,History,Marxist & Social History,C. Social Structure & Class,History of the Family,1
Lewis Mumford,History,Marxist & Social History,C. Social Structure & Class,Urban History,1
Heinrich Wölfflin,History,Cultural History,C. Art & Visual Culture,Formalism,1
Karen Armstrong,History,"Political, Legal & Global History",A. Political & State,History of Christianity,1
Marshall G.S. Hodgson,History,"Political, Legal & Global History",A. Political & State,History of Islam,1
William G. McLoughlin,History,"Political, Legal & Global History",A. Political & State,History of Religious Revival,1
Bertrand Russell,History,Intellectual History,A. History of Ideas,History of Western Philosophy,1
Leo Strauss,History,Intellectual History,A. History of Ideas,History of Political Philosophy,1
Sir John Baker,History,"Political, Legal & Global History",B. Legal & Human Rights,Legal History,1
Michel-Rolph Trouillot,History,Memory & Oral History,A. Collective & Cultural Memory,Structural Amnesia,1
Louis Gottschalk,History,Historiography & Method,A. Source Criticism & Method,Internal and External Criticism,1
Niall Ferguson,History,Historiography & Method,A. Source Criticism & Method,Counterfactual History,1
E.H. Carr,History,Historiography & Method,A. Source Criticism & Method,Historical Causation,1
R.W. Connell,History,Specialized Social Histories,A. Childhood & Family,History of Masculinities,1
