theorist,part,major,sub,existing,n_existing
Richard Thaler,Economics,Behavioral & Cognitive Economics,A. Behavioral Asset Pricing & Markets,Behavioral Law and Economics | Behavioral Pricing | Behavioral Pricing Theory | Capital Budgeting (Behavioral Finance) | Choice Architecture | Dual-Self Model | Efficient Market Hypothesis (Behavioral Critique) | Endowment Effect | Extrapolation Bias (Behavioral Finance) | Household Behavioral Finance | Household Finance (Behavioral) | Libertarian Paternalism | Mental Accounting (Finance) | Mental Accounting Theory | Myopic Loss Aversion (Finance) | Narrow Framing (Behavioral Finance) | Nudge Theory | Nudge Theory (Legal) | Nudge Theory in Public Health | Nudges in Public Policy | Representativeness Heuristic (Behavioral Finance) | Retirement Savings (Behavioral Economics) | Self-Control Problems | Sunk Cost Fallacy,24
Amos Tversky,Psychology,Cognitive,C. Decision-Making & Heuristics,Anchoring Bias | Availability Heuristic | Dual Process Theory (Cognition) | Dual Process Theory (Neuroscience) | Framing Effect | Heuristics in Consumer Decision-Making Theory | Loss Aversion | Managerial Biases (Strategy) | Overconfidence Bias | Planning Fallacy | Prospect Theory | Prospect Theory (Finance) | Prospect Theory (Neuroeconomics) | Prospect Theory (Strategic Management) | Reference-Dependent Preferences | Representativeness Heuristic,16
Émile Durkheim,Society,Advanced & Applied Social Theories,General Social Theories,Anomie | Collective Effervescence | Death in Society Theory | Deviance and Social Control (Legal) | Division of Labor in Society | Law as a Social Institution | Organic and Mechanical Solidarity | Sacred and Profane | Secularization Theory | Social Facts | Structural Functionalism,11
Albert Bandura,Psychology,애착·심리역동 가족이론 (Attachment & Psychodynamic),A. 애착·내적작동모델 (Attachment & Internal Working Models),Interactionism (Personality) | Self-Efficacy Theory | Self-Regulation Theory (Health Behavior) | Self-Regulation Theory (Health) | Social Cognitive Theory (Health) | Social Learning Theory | Social Learning Theory (HRM) | Social Learning Theory of Gender Development | Social Learning Theory of Prejudice | Vicarious Learning,10
Arthur Kleinman,Medicine,Medical Anthropology & Cultural Models,"B. Illness Experience, Meaning & Suffering","Embodied Suffering Theory | Experience of Suffering Theory (Medical Anthropology) | Explanatory Models of Illness | Global Health Ethics (Anthropological) | Illness Experience Theory | Illness Narratives Theory | Meaning of Illness Theory | Popular, Folk, and Professional Sectors of Healthcare | Social Construction of Illness | Social Suffering Theory (Global Health)",10
Ernst Fehr,Economics,Behavioral & Cognitive Economics,Social Preferences & Fairness,Behavioral Renegotiation (Law and Economics) | Conditional Cooperation (Behavioral Public Economics) | Fairness Theory | Inequality Aversion | Neurobiology of Trust | Neuroeconomics (General) | Prosocial Behavior in Public Goods (Behavioral) | Reciprocity | Reference-Dependent Labor Supply | Ultimatum Game (Neuroeconomics),10
George A. Akerlof,Economics,Political Economy & Public Choice,Identity Economics,Behavioral Macroeconomics | Identity Economics | Identity and Consumption | Identity and Educational Choices | Identity and Labor Supply Theory | Identity and Motivation (Work Economics) | Identity and Public Goods | Identity and Social Policy | Identity-Based Policy | Intrinsic vs. Extrinsic Motivation (Behavioral Economics),10
Immanuel Kant,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Aesthetic Value Theory | Cosmopolitanism (International Law) | Democratic Peace Theory | Deontology (Business Ethics) | Disinterest (Aesthetic in Literary Criticism) | Disinterest (Aesthetic) | Liberal Internationalism | Retributive Justice | The Sublime,9
Murray Bowen,Family,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),A. 분화·정서적 삼각관계 (Differentiation & Emotional Triangles),Differentiation of Self | Emotional Triangles | Family Projection Process | Family Systems Genogram | Family Systems Theory | Family Systems Therapy (Clinical) | Societal Emotional Process | Triangles | Undifferentiated Family Ego Mass,9
Hersh Shefrin,Economics,Behavioral Finance & Decision Making,Investor Psychology & Biases,Behavioral Portfolio Theory | Capital Budgeting (Behavioral Finance) | Confirmation Bias (Behavioral Finance) | Disposition Effect | Disposition Effect (Finance) | Dual-Self Model | Investor Biases (Behavioral Finance) | Self-Control Problems,8
Rachel E. Kranton,Economics,Political Economy & Public Choice,Identity Economics,Identity Economics | Identity and Consumption | Identity and Educational Choices | Identity and Labor Supply Theory | Identity and Motivation (Work Economics) | Identity and Public Goods | Identity and Social Policy | Identity-Based Policy,8
Icek Ajzen,Psychology,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,Theory of Planned Behavior | Theory of Planned Behavior (Marketing) | Theory of Planned Behavior (Public Health) | Theory of Planned Behavior (TPB) | Theory of Reasoned Action (Marketing) | Theory of Reasoned Action (TRA) | Theory of Reasoned Action (TRA) (Health),7
Charles Tilly,History,"Political, Legal & Global History",A. Political & State,Comparative Historical Analysis | History of State Building | History of the State | Microhistory vs. Macrohistory | Political Process Theory | Political Process Theory (Political Sociology) | Resource Mobilization Theory,7
Leda Cosmides,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Cheater Detection Module | Cheater Detection Module Theory | Coalitionary Psychology | Environment of Evolutionary Adaptedness (EEA) | Evolutionary Psychology | Evolutionary Psychology (General) | Massive Modularity Hypothesis,7
