Theorist,Concepts,New,Review
Kim Soyoung (김소영),Trans-Cinema · Postcolonial Phantom · Trans-Asia Screen Culture,Y,
Kuan-Hsing Chen (陳光興),Asia as Method · De-imperialization · Inter-Asia Cultural Studies,Y,
Kyla Schuller,The Biopolitics of Feeling · Impressibility · Counterhistory of Feminism,Y,
Laura U. Marks,Haptic Visuality · The Skin of the Film · Intercultural Cinema,Y,
Leah Lakshmi Piepzna-Samarasinha,Care Work · Disability Justice · Crip Emotional Intelligence,Y,
Leanne Betasamosake Simpson,Resurgence · Grounded Normativity · Land-Based Practice,Y,
Lisa Parks,Orbital Imaginaries · Satellite/Infrastructure Media · Footprints,Y,
María Lugones,Coloniality of Gender · Colonial/Modern Gender System · Decolonial Feminism,Y,
Marquis Bey,Black Trans Feminism · Fugitivity · Gender Radicality,Y,
Mary L. Gray,Ghost Work · On-Demand Labor · Invisible Human Computation,Y,
Meredith Whittaker,AI Now · Surveillance Business Model · Industrial Capture,Y,
Michel Chion,Audiovisual Contract · Synchresis · Acousmêtre,Y,
Nadia Bozak,The Cinematic Footprint · Resource Image · Energy/Media,Y,
Nelson Maldonado-Torres,Coloniality of Being · The Decolonial Turn · Coloniality of War,Y,
Neta Alexander,Buffering/Latency · Algorithmic Spectatorship · Interface Frictions,Y,
Paddy Scannell,"Dailiness · Public Service Broadcasting · Radio, Television and Modern Life",N,
Pascal Gielen,The Murmuring of the Artistic Multitude · Creativity · Institutional Critique,N,
Patrick W. Galbraith,Otaku · Moe · The Ethics of Affect,N,
Paul Ekman,Micro-expressions · Basic Emotions · Universal Facial Expressions,N,
Paul Gilroy,The Black Atlantic · Between Camps · Postcolonial Melancholia,N,
Paul Romer,Endogenous Growth Theory · Ideas as Capital · Charter Cities,N,
Paul Virilio,Dromology · Aesthetics of Disappearance · The Integral Accident,N,
Peter Singer,Animal Liberation · Effective Altruism · Preference Utilitarianism,N,
Peter Sloterdijk,Cynical Reason · Anthropotechnics · Spheres,N,
Philip Auslander,Liveness · Performance as Commodity · Mediatization,N,
Philippe Ariès,Centuries of Childhood · The Hour of Our Death · Private Life,N,
Pierre Bourdieu,Habitus · Cultural Capital · Distinction,N,
Pierre Nora,Lieux de mémoire · Collective Memory · Sites of Memory,N,
Pierre Ostiguy,The High and the Low · Populism · Political Appeals,N,
Pierre Rosanvallon,Counter-Democracy · Democratic Legitimacy · Society of Equals,N,
Quassim Cassam,Vices of the Mind · Epistemic Vice · Conspiracy Theories,N,
R. Murray Schafer,Soundscape · Acoustic Ecology · Schizophonia,N,
Raewyn Connell,Hegemonic Masculinity · Gender and Power · Southern Theory,N,
Ran Hirschl,Juristocracy · Constitutional Theocracy · City-State,N,
Randall Collins,Interaction Ritual Chains · Violence · Credential Society,N,
Raúl Pérez,The Souls of White Jokes · Racial Humor · Sociology of Humor,N,
Ray Kurzweil,The Singularity · Law of Accelerating Returns · Transhumanism,N,
Ray Surette,"Media, Crime, and Criminal Justice · Copycat Crime · Predatory Media",N,
Raymond Williams,Structure of Feeling · Cultural Materialism · Flow,N,
Rebecca Traister,All the Single Ladies · Good and Mad · Women in Politics,N,
Reece Peck,Fox Populism · Conservative Media · Stylistic Politics,N,
René Girard,Mimetic Desire · Scapegoat Mechanism · Mimetic Rivalry,N,
Rhonda Garelick,Fashion and Politics · Antigone in Vogue · Mademoiselle,N,
Richard Dawkins,The Selfish Gene · Meme · Extended Phenotype,N,
Richard Dyer,Stars · Heavenly Bodies · White,N,
Richard Peterson,Cultural Omnivore · Fabricating Authenticity · Production of Culture,N,
Richard Schechner,Performance Theory · Restored Behavior · Environmental Theater,N,
Richard Sennett,The Public Man · The Craftsman · Corrosion of Character,N,
Richard Shusterman,Somaesthetics · Pragmatist Aesthetics · Body Consciousness,N,
Robert Gilpin,Hegemonic Stability Theory · Economic Nationalism · Global Political Economy,N,
Robert K. Merton,Anomie · Self-Fulfilling Prophecy · Strain Theory,N,
Robert N. Butler,Ageism · Productive Aging · Life Review,N,
Robert Stebbins,Serious Leisure · Casual Leisure · Project-based Leisure,N,
Robert Sternberg,Triangular Theory of Love · Triarchic Theory of Intelligence · WICS Model,N,
Robert Whiting,You Gotta Have Wa · The Chrysanthemum and the Bat · Tokyo Underworld,N,
Robin James,Resilience and Melancholy · The Sonic Episteme · Sonic Feminism,N,
Robin R. Means Coleman,Horror Noire · African American Media · Race and Genre,N,
Roger Caillois,"Paidia and Ludus · Mimicry · Man, Play and Games",N,
Roger Fisher,Getting to Yes · Principled Negotiation · BATNA,N,
Roland Barthes,Mythologies · Death of the Author · S/Z,N,
Ronald Coase,Transaction Costs · The Coase Theorem · The Nature of the Firm,N,
Ronald Dworkin,Law as Integrity · Justice for Hedgehogs · Right Answer Thesis,N,
