Theorist,Concepts,New,Review
Sudhir Venkatesh,Off the Books · Gang Leader for a Day · Floating City,N,
Suk-Young Kim,K-pop Live · DMZ Crossing · Illusive Utopia,N,
Susan Bordo,Unbearable Weight · The Flight to Objectivity · Twilight Zones,N,
Susan Brownell,Training the Body · Beijing's Games · Chinese Body Culture,N,
Susan Sontag,Notes on 'Camp' · Illness as Metaphor · On Photography,N,
Susan Strange,Casino Capitalism · States and Markets · The Retreat of the State,N,
Svetlana Boym,The Future of Nostalgia · Restorative vs Reflective Nostalgia · Off-Modern,N,
Sylvia Walby,Theorizing Patriarchy · Patriarchy and Public Sphere · Gender Segregation,N,
T.L. Taylor,Esports · Game Live Streaming · Watch Me Play,N,
Ta-Nehisi Coates,Between the World and Me · The Case for Reparations · We Were Eight Years in Power,N,
Talal Asad,Genealogies of Religion · Formations of the Secular · On Suicide Bombing,N,
Tamar Jeffers McDonald,Romantic Comedy: Boy Meets Girl Meets Genre · Hollywood Catwalk · Movie Star Costume Studies,N,
Teddi Fishman,Academic Ethics · Plagiarism and Truth · Educational Integrity,N,
Tejaswini Ganti,Producing Bollywood · Token of Bollywood · Bollywood: A Guidebook,N,
Teresa Caldeira,City of Walls · City of Segregation · Brazil's Urban Order,N,
Theodor Adorno,Culture Industry · Negative Dialectics · The Authoritarian Personality,N,
Thomas Carter,The Quality of Home Runs · In Foreign Fields · Sport Migration,N,
Thomas Mann & Norman Ornstein,It's Even Worse Than It Looks · The Broken Branch · One Nation After Trump,N,
Thomas Piketty,Capital in the Twenty-First Century · Capital and Ideology · Brief History of Equality,N,
Thomas Sowell,Knowledge and Decisions · A Conflict of Visions · Disparities and Discrimination,N,
Thorstein Veblen,Conspicuous Consumption · Conspicuous Leisure · Theory of the Leisure Class,N,
Tia DeNora,Music in Everyday Life · Music as Technology of Self · After Adorno,N,
Tim Edensor,Geographies of Rhythm · National Identity and Popular Culture · Industrial Ruins,N,
Tim Ingold,Lines: A Brief History · The Life of Lines · Making: Anthropology,N,
Tim Wu,The Master Switch · The Attention Merchants · The Curse of Bigness,N,
Timothy Mitchell,Rule of Experts · Carbon Democracy · Colonising Egypt,N,
Timothy Morton,Dark Ecology · The Ecological Thought · Hyperobjects,N,
Timothy Snyder,The Road to Unfreedom · Bloodlands · On Tyranny,N,
Tiziana Terranova,Free Labor · Network Culture · Cyberculture,N,
Toby Miller,Cultural Citizenship · Global Hollywood · SportSex,N,
Toby Slade,Japanese Fashion · Introducing Japanese Fashion · Fashion of the Japanese,N,
Tom Ginsburg,How to Save a Constitutional Democracy · Judicial Review in New Democracies · Constitutions in Authoritarian Regimes,N,
Tom Nichols,The Death of Expertise · Our Own Worst Enemy · The Russian Presidency,N,
Tomomi Yamaguchi,Right-wing Women · Gender and Politics in Japan · Backlash,N,
Tony Walter,New Mourning · The Revival of Death · On Bereavement,N,
Tricia Rose,Black Noise · The Hip Hop Wars · Longing to Tell,N,
Patrick Wolfe,Settler Colonialism · Logic of Elimination · Invasion as Structure,Y,
Paul B. Preciado,Testo Junkie · Pharmacopornographic Regime · Counter-sexuality,Y,
Pheng Cheah,Heterotemporality · World Literature as World-Making · Postcolonial Time,Y,
Pooja Rangan,Immediations · Documentary Ethics · Mediating the Voiceless,Y,
Rita Segato,Pedagogy of Cruelty · Gender Violence · Communitarian Patriarchy,Y,
Roderick Ferguson,Queer of Color Critique · Aberrations in Black · Surplus Populations,Y,
Sabelo J. Ndlovu-Gatsheni,Coloniality in Africa · Epistemic Freedom · Myth of Decolonization,Y,
Safiya Umoja Noble,Algorithms of Oppression · Search Bias · Technological Redlining,Y,
Saidiya Hartman,Afterlife of Slavery · Critical Fabulation · Venus in Two Acts,Y,
Sami Schalk,Bodyminds Reimagined · Critical Disability Studies · Black Disability/Speculative Fiction,Y,
Sara Roy,De-development · Political Economy of Gaza · Occupation and Economy,Y,
Shane Denson,Discorrelated Images · Post-Cinema · Computational Images,Y,
Simone Browne,Dark Matters · Racializing Surveillance · Biometric Blackness,Y,
Souleymane Bachir Diagne,Philosophy as Translation · Islam and Open Society · Postcolonial Bergsonism,Y,
Steven Shaviro,The Cinematic Body · Post-Cinematic Affect · Visceral Spectatorship,Y,
Susan Stryker,My Words to Victor Frankenstein · Transgender Rage · Transgender Studies,Y,
Sylvia Tamale,Afro-Feminism · African Sexualities · Capitalist Patriarchy,Y,
Sylvia Wynter,Genres of the Human · Overrepresentation of Man · Colonial Modernity,Y,
Syed Hussein Alatas,The Captive Mind · Myth of the Lazy Native · Autonomous Social Science,Y,
Taina Bucher,If...Then · Programmed Sociality · Algorithmic Imaginary,Y,
Talia Mae Bettcher,Trans Philosophy · First-Person Authority · Reality Enforcement,Y,
Tarleton Gillespie,Content Moderation · Custodians of the Internet · Platform Governance,Y,
Thomas Elsaesser,Media Archaeology · Cinema as Time Machine · New Film History,Y,
Tiago de Luca,Slow Cinema · Sensory Realism · Contemplative Duration,Y,
Timnit Gebru,Stochastic Parrots · Data Documentation · AI Harm Audit,Y,
Tina Campt,Listening to Images · Black Feminist Futurity · Quiet Photography,Y,
Trevor Paglen,Invisible Images · Machine Vision · Operational Aesthetics,Y,
Ulrich Beck,Risk Society · Individualization · Cosmopolitan Vision,N,
Umberto Eco,The Myth of Superman · Hyperreality · Semiotics,N,
Vandana Shiva,Ecofeminism · Staying Alive · Biopiracy,N,
Victor Turner,Liminality · Communitas · Social Drama,N,
Viktor Mayer-Schönberger,Big Data · The Virtue of Forgetting · Datafication,N,
Vilfredo Pareto,Circulation of Elites · Pareto Efficiency · Residues and Derivations,N,
Viviana Zelizer,The Social Meaning of Money · Pricing the Priceless Child · Economic Lives,N,
W. J. T. Mitchell,Picture Theory · What Do Pictures Want? · Iconology,N,
Walter Bagehot,The English Constitution · The Dignified and the Efficient · Lombard Street,N,
Walter Benjamin,Aura · The Work of Art in the Age of Mechanical Reproduction · Flâneur,N,
Wendy Brown,Undoing the Demos · Nihilistic Times · States of Injury,N,
Wendy Doniger,"The Hindus · The Bedtrick · Dreams, Illusion, and Other Realities",N,
Whitney Phillips,The Ambivalent Internet · This Is Why We Can't Have Nice Things · Trolling,N,
Willem de Haan,The Politics of Redress · Penal Abolitionism · Violence as a Contested Concept,N,
William Ian Miller,The Anatomy of Disgust · Eye for an Eye · Humiliation,N,
William Nordhaus,Climate Economics · DICE Model · Social Cost of Carbon,N,
William W. Kelly,The Hanshin Tigers · Japanese Sport · Fanning the Flames,N,
Wolfgang Streeck,Buying Time · How Will Capitalism End? · Democratic Capitalism,N,
Yanis Varoufakis,Technofeudalism · The Global Minotaur · Adults in the Room,N,
Yasmin Ibrahim,Digital Icons · Politics of Gaze · Technological Gaze,N,
Yiannis Gabriel,The Unmanageable Consumer · Storytelling in Organizations · Organizational Narratives,N,
Yvonne Tasker,Spectacular Bodies · Action Cinema · Working Girls,N,
Zeke Faux,Number Go Up · Crypto-Grift · Tether Mystery,N,
Zeynep Tufekci,Twitter and Tear Gas · Attention Economy · Networked Publics,N,
Zygmunt Bauman,Liquid Modernity · Liquid Love · Wasted Lives,N,
Ulises A. Mejias,Data Colonialism · The Costs of Connection · Data Grab,Y,
Veena Dubal,Algorithmic Wage Discrimination · Gig Precarity · Variable Pay,Y,
Virginia Eubanks,Automating Inequality · Digital Poorhouse · Predictive Risk Models,Y,
Vivian Sobchack,The Address of the Eye · Cinesthetic Subject · Embodied Spectatorship,Y,
Walter Mignolo,Coloniality of Power · Border Thinking · Delinking,Y,
Wang Hui (汪暉),Alternative Modernity · China's New Left · Depoliticized Politics,Y,
Wendy Hui Kyong Chun,Discriminating Data · Homophily · Habitual New Media,Y,
