Theorist,Part,MajorNo,Major,Sub,Era,Region,SecondaryPart,Note
Kim Soyoung (김소영),Critics,V,Historical & Cultural Materialist,Cultural Studies,Contemporary,East Asia,Culture,"Korean trans-cinema and Trans-Asia screen culture, film/cultural studies"
Kuan-Hsing Chen (陳光興),Culture,8,Global & Transnational Culture,Indigenous & Decolonial Culture,Contemporary,East Asia,Politics,"Asia as Method, Inter-Asia decolonial cultural studies"
Kyla Schuller,Critics,III,Identity-Based & Political,Feminist & Gender Criticism,Contemporary,Western,History,"Biopolitics of feeling, feminist counterhistory and race"
Laura U. Marks,Critics,XII,Affect & Sensory,Embodied & Sensory Reading,Contemporary,Western,ART,"Haptic visuality, embodied film theory of intercultural cinema"
Leah Lakshmi Piepzna-Samarasinha,Critics,III,Identity-Based & Political,Disability Studies,Contemporary,Western,Culture,"Disability justice and care work, crip theory"
Leanne Betasamosake Simpson,Culture,8,Global & Transnational Culture,Indigenous & Decolonial Culture,Contemporary,Global,Politics,"Indigenous resurgence, grounded normativity, land-based practice"
Lisa Parks,Culture,7,Media & Communication,Media Archaeology & Materiality,Contemporary,Western,Critics,"Satellite/infrastructure media, orbital imaginaries"
María Lugones,Politics,6,"Postcolonial, Feminist & Environmental Politics",Postcolonial & Decolonial Politics,Contemporary,Latin America,Culture,"Coloniality of gender, decolonial feminism"
Marquis Bey,Critics,III,Identity-Based & Political,Queer Theory,Contemporary,Western,Culture,"Black trans feminism, fugitivity, gender radicality"
Mary L. Gray,Society,VI,Digital & Network Society,Social Technology & Data,Contemporary,Western,Culture,"Ghost work, invisible on-demand digital labor"
Meredith Whittaker,Society,VI,Digital & Network Society,Science & Technology Studies (STS),Contemporary,Western,Politics,"AI Now, surveillance business model, industrial capture critique"
Michel Chion,Critics,I,Formalist & Text-Centric,Stylistics & Textual Criticism,Modern,Western,ART,"Audiovisual contract, synchresis, film sound theory"
Nadia Bozak,Critics,IX,Ecological & Environmental,Ecocriticism,Contemporary,Western,ART,"Cinematic footprint, energy/media ecology of the image"
Nelson Maldonado-Torres,Politics,6,"Postcolonial, Feminist & Environmental Politics",Postcolonial & Decolonial Politics,Contemporary,Latin America,Culture,"Coloniality of being, the decolonial turn"
Neta Alexander,Culture,11,"Digital, Media & Algorithmic Culture",Algorithmic & Platform Culture,Contemporary,MENA,Critics,"Buffering/latency, algorithmic spectatorship, interface frictions"
Paddy Scannell,Culture,7,Media & Communication,Media Effects & Audiences,Modern,Western,,"Dailiness, public service broadcasting, radio/TV in modern life"
Pascal Gielen,ART,9,Anthropology & Sociology of Art,Cultural Industries & Production,Contemporary,Western,Culture,"Artistic multitude, creativity, institutional critique"
Patrick W. Galbraith,Culture,5,British Cultural Studies (Birmingham School),Subculture & Fandom,Contemporary,East Asia,ART,"Otaku, moe, ethics of affect in Japanese fan culture"
Paul Ekman,Psychology,15,Emotion & Motivation,Emotion Theory,Modern,Western,Nature,"Basic emotions, universal facial expressions, micro-expressions"
Paul Gilroy,Culture,8,Global & Transnational Culture,Diaspora & Deterritorialization,Contemporary,Western,Critics,"Black Atlantic, postcolonial melancholia, diaspora"
Paul Romer,Economics,I,Classical & Neoclassical Economics,Microeconomic Foundations,Contemporary,Western,,"Endogenous growth theory, ideas as capital, charter cities"
Paul Virilio,Culture,7,Media & Communication,Media Archaeology & Materiality,Modern,Western,ART,"Dromology, aesthetics of disappearance, speed/media"
Peter Singer,Politics,5,"Justice, Recognition & Community",Philosophy of Law & Justice,Contemporary,Western,Nature,"Animal liberation, effective altruism, preference utilitarianism"
Peter Sloterdijk,Culture,2,Philosophy & Aesthetics of Culture,Symbolic Forms & Praxis,Contemporary,Western,Politics,"Cynical reason, anthropotechnics, spheres"
Philip Auslander,ART,3,Performance Studies & Theatre,Performance Theory & Ritual,Contemporary,Western,Culture,"Liveness, mediatization, performance as commodity"
Philippe Ariès,History,XIII,Specialized Social Histories,Childhood & Family,Modern,Western,Family,"Centuries of childhood, history of death and private life"
Pierre Bourdieu,Society,IV,Contemporary Social Theories,Cultural Sociology (Bourdieu),Modern,Western,Culture,"Habitus, cultural capital, distinction"
Pierre Nora,History,VII,Memory & Oral History,Collective & Cultural Memory,Modern,Western,Culture,"Lieux de mémoire, sites of memory"
