Theorist,Concepts,New,Review
Laura Mulvey,Male Gaze · Visual Pleasure · To-be-looked-at-ness,N,
Lauren Berlant,Cruel Optimism · Intimate Publics · Affect Theory,N,
Lawrence Lessig,Remix Culture · Read/Write Culture · Code as Law,N,
Leah Plunkett,Sharenthood · Digital Privacy · Child Safety,N,
Lee Thompson,Japanese Sports · Muscular Christianity in Japan · Sumo History,N,
Lennard J. Davis,Enforcing Normalcy · Disability Studies · The Normate,N,
Leon Festinger,Cognitive Dissonance · When Prophecy Fails · Social Comparison,N,
Lev Manovich,The Language of New Media · Software Studies · Database,N,
Lewis Coser,Functions of Social Conflict · Greedy Institutions · Conflict Theory,N,
Lila Abu-Lughod,Dramas of Nationhood · Do Muslim Women Need Saving? · Veiled Sentiments,N,
Lilie Chouliaraki,Ironic Spectatorship · The Spectatorship of Suffering · Mediated Cosmopolitanism,N,
Limor Shifman,Memes in Digital Culture · Global Memes · Political Memes,N,
Lina Khan,Amazon's Antitrust Paradox · Big Tech Antitrust · Platform Competition,N,
Linda Williams,Body Genres · Hard Core · Playing the Race Card,N,
Linda Woodhead,Religion and Gender · That Was The Church That Was · Spiritual Revolution,N,
Lisa Messeri,Anthropology of Outer Space · Placing Outer Space · Planetary Science,N,
Lisa Nakamura,Cybertypes · Race After the Internet · Cyberfeminism,N,
Liz Giuffre,Music and Nostalgia · Popular Music · Media Studies,N,
Loïc Wacquant,Prisons of Poverty · Body & Soul · Territorial Stigmatization,N,
Luc Boltanski,Distant Suffering · The New Spirit of Capitalism · On Critique,N,
Ludwig von Mises,Praxeology · Economic Calculation Problem · Human Action,N,
Madhav Prasad,Ideology of the Hindi Film · Cinema of State · Bollywood,N,
Mae Ngai,Impossible Subjects · The Lucky Few · Migration History,N,
Malcolm Gladwell,Underdog Tactics · The Tipping Point · David and Goliath,N,
Manuel Castells,The Network Society · Space of Flows · Communication Power,N,
Marcel Mauss,The Gift · Techniques of the Body · Total Social Fact,N,
Margaret Gibson,Objects of the Dead · Mourning and Material Culture · Digital Graves,N,
Marijke de Valck,Film Festivals · Film Festival Network · Global Film Culture,N,
Marilyn Strathern,The Gender of the Gift · Partial Connections · Kinship,N,
Marina Warner,From the Beast to the Blonde · Fairy Tales · Myth,N,
Mark Andrejevic,Interactive Audience · Automated Surveillance · Digital Enclosure,N,
Mark Banks,Creative Justice · The Politics of Cultural Work · Creative Labour,N,
Mark D. West,"Secrets, Sex, and Spectacle · Japanese Law · Scandal",N,
Mark McLelland,Queer Japan · Male Homosexuality in Modern Japan · Digital Media in Japan,N,
Mark Seltzer,Serial Killers · Wound Culture · True Crime,N,
Marshall McLuhan,Global Village · The Medium is the Message · Understanding Media,N,
Martha Nussbaum,Capabilities Approach · Hiding from Humanity · Fragility of Goodness,N,
Martin Seligman,Learned Helplessness · Positive Psychology · Flourish,N,
Mary Beltrán,Latina/o Stars in U.S. Eyes · Mixed Race in Media · Latina/o Media Studies,N,
Masao Maruyama,System of Irresponsibility · Thought and Behaviour in Modern Japanese Politics · Modernization,N,
Matt Hills,Fan Cultures · Fan Studies · Cult Cinema,N,
Matthew Gentzkow,Polarization · Media Bias · Digital News,N,
Matthew Gutmann,The Meanings of Macho · Fixin' Men · Global Masculinities,N,
Matt Ridley,The Rational Optimist · Ideas Having Sex · Genome,N,
Maurice Duverger,Political Parties · Duverger's Law · Political Science,N,
Max Weber,Bureaucracy · Charismatic Authority · The Protestant Ethic,N,
McKenzie Wark,Gamer Theory · A Hacker Manifesto · General Intellect,N,
Mia Consalvo,Cheating in Videogames · Paratexts · Gaming Cultures,N,
Michael Billig,Banal Nationalism · Discursive Psychology · Arguing and Thinking,N,
Michael Kimmel,Guyland · Hegemonic Masculinity · Manhood in America,N,
Michael Messner,Taking the Field · The Gender Order · Men and Sport,N,
Michael Sandel,The Tyranny of Merit · What Money Can't Buy · Justice,N,
Michael Schudson,Discovering the News · The Sociology of News · Public Sphere,N,
