Theorist,Concepts,New,Review
David Runciman,How Democracy Ends · Political Hypocrisy,N,
Dean MacCannell,Staged Authenticity,N,
Dean Vuletic,Geopolitics · Eurovision Song Contest,N,
Deborah Lupton,The Quantified Self · Digital Food Cultures · Privacy,N,
Deena Weinstein,Heavy Metal Sociology,N,
Diane Negra,Post-Feminist Culture,N,
Diane Vaughan,Normalization of Deviance,N,
Dick Hebdige,Bricolage · Subculture: The Meaning of Style · Homology,N,
Didier Fassin,Enforcing Order · Police Power,N,
Dipesh Chakrabarty,The Climate of History · Provincializing Europe,N,
Donald Horton & R. Richard Wohl,Para-social Interaction,N,
Donna Haraway,Cyborg Manifesto · Companion Species · Primate Visions,N,
Edgar Morin,The Stars · Polycrisis,N,
Edward Luttwak,Geo-economics,N,
Edward Said,Orientalism · The Question of Palestine · On Late Style,N,
Elena Gorfinkel,Lewd Looks,N,
Elias Canetti,Crowds and Power · Crowd Madness,N,
Elijah Anderson,Code of the Street,N,
Elisabeth Badinter,The Conflict,N,
Elisabeth Beck-Gernsheim,Reinventing the Family,N,
Elisabeth Noelle-Neumann,Spiral of Silence,N,
Elizabeth Wilson,Adorned in Dreams,N,
Ellis Cashmore,Celebrity Culture · Making Sense of Sports · Black Sportsmen,N,
Emile Durkheim,Collective Effervescence · Mechanical Solidarity · Organic Solidarity,N,
Emma Dalton,Women in Japanese Politics,N,
Ernesto Laclau,Populist Reason · Hegemony and Socialist Strategy,N,
Erving Goffman,Impression Management · Backstage · Stigma Management,N,
Gøsta Esping-Andersen,The Three Worlds of Welfare Capitalism,N,
Ethan Scheiner,Democracy Without Competition,N,
Eugene Fama,Efficient Market Hypothesis · Three-Factor Model · Random Walk,N,
Eva Illouz,Emotional Capitalism · Cold Intimacies · Why Love Hurts,N,
Evan Stark,Coercive Control,N,
Eve Kosofsky Sedgwick,Epistemology of the Closet · Between Men,N,
bell hooks,Oppositional Gaze · Eating the Other · Black Female Subjectivity,N,
danah boyd,Context Collapse · It's Complicated,N,
Abeba Birhane,Relational Ethics · Algorithmic Injustice · Embodied Cognition,Y,
