Theorist,Part,MajorNo,Major,Sub,Era,Region,SecondaryPart,Note
David Runciman,Politics,7,Democratic Theory & Contemporary Contestation,B. Democratic Theory (Advanced),Contemporary,Western,,"How Democracy Ends - 민주주의 위기·정치이론"
Dean MacCannell,Culture,2,Philosophy & Aesthetics of Culture,C. Authenticity in Culture,Modern,Western,Society,"Staged Authenticity - 관광·진정성의 문화이론"
Dean Vuletic,Culture,8,Global & Transnational Culture,D. Global Cultural Industries & Diplomacy,Contemporary,Western,,"Eurovision 지정학 - 초국가 문화·디플로머시"
Deborah Lupton,Culture,11,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Global,Society,"Quantified Self - 디지털 신체·데이터 문화"
Deena Weinstein,Culture,5,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Modern,Western,ART,"Heavy Metal Sociology - 하위문화·팬덤"
Diane Negra,Culture,9,Identity & Difference,"A. Gender, Race & Sexuality",Contemporary,Western,Critics,"Post-Feminist Culture - 젠더·대중문화"
Diane Vaughan,Society,IV,Contemporary Social Theories,Social Constructionism,Contemporary,Western,,"Normalization of Deviance - 조직사회학·일탈"
Dick Hebdige,Culture,5,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Modern,Western,,"Subculture: The Meaning of Style - 버밍엄 하위문화 정전"
Didier Fassin,Society,IV,Contemporary Social Theories,Power and Control,Contemporary,Western,Politics,"Police Power - 국가권력·인류학적 사회학"
Dipesh Chakrabarty,History,VI,Postcolonial & Decolonial History,A. Empire & Imperialism,Contemporary,South Asia,Politics,"Provincializing Europe - 포스트식민 역사학"
Donald Horton & R. Richard Wohl,Culture,7,Media & Communication,A. Media Effects & Audiences,Modern,Western,Psychology,"Para-social Interaction - 미디어 수용자 효과"
Donna Haraway,Critics,XVI,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Contemporary,Western,Culture,"Cyborg Manifesto - 포스트휴먼·사이보그 이론"
Edgar Morin,Culture,7,Media & Communication,A. Media Effects & Audiences,Modern,Western,Critics,"The Stars - 영화 스타덤·복잡성 사상"
Edward Luttwak,Politics,10,International Relations & Security,A. International Relations,Modern,Western,Economics,"Geo-economics - 국제관계·전략 지정학"
Edward Said,Critics,III,Identity-Based & Political,C. Postcolonial & Critical Race,Modern,MENA,Politics,"Orientalism - 포스트식민 비평 정전"
Elena Gorfinkel,Critics,III,Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,Western,ART,"Lewd Looks - 페미니즘 영화비평·관능 표상"
Elias Canetti,Society,IV,Contemporary Social Theories,Power and Control,Modern,Western,Politics,"Crowds and Power - 군중·권력의 사회이론"
Elijah Anderson,Society,V,Advanced & Applied Social Theories,Race & Ethnicity,Contemporary,Western,,"Code of the Street - 도시 인종 민족지"
Elisabeth Badinter,Family,8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",B. 모성·부성 (Motherhood & Fatherhood),Modern,Western,Culture,"The Conflict - 모성 신화 비판"
Elisabeth Beck-Gernsheim,Family,1,가족사회학·구조 (Family Sociology & Structure),B. 사회구성주의·포스트모던 (Social Construction & Postmodern),Contemporary,Western,Society,"Reinventing the Family - 개인화·가족 변동"
Elisabeth Noelle-Neumann,Culture,7,Media & Communication,A. Media Effects & Audiences,Modern,Western,Politics,"Spiral of Silence - 여론·미디어 효과"
Elizabeth Wilson,ART,13,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Modern,Western,Culture,"Adorned in Dreams - 패션·정체성 이론"
Ellis Cashmore,ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Contemporary,Western,Culture,"Making Sense of Sports - 스포츠·셀러브리티 사회학"
Emile Durkheim,Society,I,Classical Sociological Traditions,,Classical,Western,,"Collective Effervescence - 고전 사회학 정전"
Emma Dalton,Politics,6,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Contemporary,East Asia,Society,"Women in Japanese Politics - 젠더·일본 정치"
Ernesto Laclau,Politics,3,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Modern,Latin America,Culture,"Populist Reason - 포스트마르크스주의 헤게모니"
Erving Goffman,Society,II,Contemporary Sociological Perspectives,,Modern,Western,Psychology,"Impression Management - 상호작용·연극론 사회학"
Gøsta Esping-Andersen,Society,V,Advanced & Applied Social Theories,Work & Organizations,Modern,Western,Politics,"Three Worlds of Welfare Capitalism - 복지국가 비교사회학"
Ethan Scheiner,Politics,9,Political Economy & Comparative Politics,C. Comparative Politics,Contemporary,Western,,"Democracy Without Competition - 비교정치·일본 정당"
Eugene Fama,Economics,VI,Behavioral Finance & Asset Markets,Market Anomalies & Bubbles,Modern,Western,,"Efficient Market Hypothesis - 금융경제학"
Eva Illouz,Culture,10,"Affect, Emotion & Embodiment",B. Emotions & Emotionology,Contemporary,Western,Society,"Emotional Capitalism - 감정·자본주의 문화사회학"
Evan Stark,Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",A. 가부장제·젠더 역할 (Patriarchy & Gender Roles),Contemporary,Western,Society,"Coercive Control - 친밀폭력·가부장 통제"
Eve Kosofsky Sedgwick,Critics,III,Identity-Based & Political,B. Queer Theory,Modern,Western,Culture,"Epistemology of the Closet - 퀴어 이론 정전"
bell hooks,Critics,III,Identity-Based & Political,C. Postcolonial & Critical Race,Modern,Western,Culture,"Oppositional Gaze - 흑인 페미니즘 영화비평"
danah boyd,Culture,11,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,Society,"Context Collapse - 소셜미디어·디지털 문화"
Abeba Birhane,Critics,X,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,Africa,ART,"Algorithmic Injustice - AI 윤리·관계적 윤리"
Adrian Mackenzie,Culture,11,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Western,Critics,"Machine Learners - 머신러닝·알고리즘 문화"
Alison Kafer,Critics,III,Identity-Based & Political,D. Disability Studies,Contemporary,Western,Culture,"Feminist Queer Crip - 장애·크립 이론"
Amanda D. Lotz,Culture,7,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,,"Internet-Distributed Television - 미디어 산업·포스트네트워크"
Aníbal Quijano,Politics,6,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,Latin America,Society,"Coloniality of Power - 탈식민 권력이론"
Ann Cvetkovich,Culture,10,"Affect, Emotion & Embodiment",A. Affect & Sensory Studies,Contemporary,Western,Critics,"Archive of Feelings - 정동·퀴어 문화이론"
Antonio Casilli,Culture,11,"Digital, Media & Algorithmic Culture",E. Prosumption & Convergence,Contemporary,Western,Society,"Digital Labor - 플랫폼 노동·디지털 문화"
Arturo Escobar,Politics,6,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Latin America,Culture,"Pluriverse - 탈식민·탈개발 정치"
Audra Simpson,Politics,6,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Western,Society,"Politics of Refusal - 토착·주권 정치"
Becca Lewis,Culture,11,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Western,Politics,"Alternative Influence Network - 플랫폼 급진화·유튜브"
Bill Nichols,Critics,VIII,Rhetorical & Discourse,A. Rhetorical Criticism & Dramatism,Modern,Western,ART,"Modes of Documentary - 다큐멘터리 영화이론"
Britt Paris,Critics,X,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Western,,"Deepfakes vs Cheap Fakes - 영상 조작·증거의 정치"
Brenda LeFrançois,Medicine,VI,Psychiatry & Mental Health,A. Sociocultural & Critical Psychiatry,Contemporary,Western,Society,"Mad Studies - 비판정신의학·정신화"
Cathy O'Neil,Critics,X,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,Western,Society,"Weapons of Math Destruction - 알고리즘 불투명성·비판"
Cho Hae-joang (조한혜정),Culture,8,Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,East Asia,Society,"식민화된 의식 - 한국 성찰적 근대성·문화"
C. Riley Snorton,Critics,III,Identity-Based & Political,B. Queer Theory,Contemporary,Western,Culture,"Black on Both Sides - 흑인 트랜스·퀴어 이론"
Christina Sharpe,Critics,III,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Western,Culture,"In the Wake - 반흑인성·비판인종 이론"
