Theorist,Part,MajorNo,Major,Sub,Era,Region,SecondaryPart,Note
Sudhir Venkatesh,Society,V,Advanced & Applied Social Theories,Work & Organizations,Contemporary,Western,,Urban ethnography of informal economy and gangs
Suk-Young Kim,Culture,8,Global & Transnational Culture,Global Cultural Industries & Diplomacy,Contemporary,East Asia,Critics,K-pop performance and transnational Korean media
Susan Bordo,Culture,9,Identity & Difference,Embodiment & Performativity,Contemporary,Western,ART,Feminist analysis of body weight and gender
Susan Brownell,ART,6,Sport & Physical Culture,Gender Race & Identity in Sport,Contemporary,Western,Society,Anthropology of Chinese body culture and sport
Susan Sontag,Critics,XII,Affect & Sensory,Embodied & Sensory Reading,Modern,Western,ART,Camp aesthetics photography and illness metaphor
Susan Strange,Politics,9,Political Economy & Comparative Politics,Political Economy (Advanced),Modern,Western,Economics,International political economy of finance and states
Svetlana Boym,Culture,14,"Memory, Time, Trauma & Resilience",Cultural & Public Memory,Contemporary,Western,Critics,Nostalgia memory and the off-modern
Sylvia Walby,Society,V,Advanced & Applied Social Theories,Gender & Sexuality,Modern,Western,Politics,Theorizing patriarchy and gender regimes
T.L. Taylor,Culture,11,"Digital, Media & Algorithmic Culture",Networked & Participatory Culture,Contemporary,Western,,Ethnography of esports and game livestreaming
Ta-Nehisi Coates,Critics,III,Identity-Based & Political,Postcolonial & Critical Race,Contemporary,Western,Politics,Black experience reparations and racial witness
Talal Asad,Society,V,Advanced & Applied Social Theories,Religion,Contemporary,MENA,History,Genealogy of religion and the secular
Tamar Jeffers McDonald,Critics,XI,Intertextual & Comparative,Comparative & Adaptation,Contemporary,Western,ART,Genre study of romantic comedy and star costume
Teddi Fishman,LAW,2,Critical Legal Studies & Critical Race Theory,Critical Legal Studies (CLS) & Indeterminacy,Contemporary,Western,Society,Academic integrity and plagiarism ethics
Tejaswini Ganti,Culture,8,Global & Transnational Culture,Global Cultural Industries & Diplomacy,Contemporary,South Asia,ART,Anthropology of Bollywood production
Teresa Caldeira,Society,V,Advanced & Applied Social Theories,General Social Theories,Contemporary,Latin America,Politics,Urban segregation walls and city order
Theodor Adorno,Critics,VI,Marxist & Materialist,Frankfurt School & Critical Theory,Modern,Western,Culture,Culture industry and negative dialectics
Thomas Carter,ART,6,Sport & Physical Culture,Sociology & Politics of Sport,Contemporary,Western,Society,Sport migration and politics of baseball
Thomas Mann & Norman Ornstein,Politics,7,Democratic Theory & Contemporary Contestation,Democratic Theory (Advanced),Contemporary,Western,,Analysis of dysfunctional democratic institutions
Thomas Piketty,Economics,XII,"Welfare, Happiness & Heterodox Economics",Marxist & Heterodox Traditions,Contemporary,Western,Politics,Capital inequality and wealth distribution
Thomas Sowell,Economics,I,Classical & Neoclassical Economics,Classical Political Economy,Modern,Western,Politics,Conflict of visions knowledge and markets
Thorstein Veblen,Economics,VII,Institutional & Evolutionary Economics,Institutional Economics,Modern,Western,Society,Conspicuous consumption and leisure class
Tia DeNora,ART,4,Music & Sound Studies,Sociology & Politics of Music,Contemporary,Western,Culture,Music in everyday life as technology of self
Tim Edensor,Culture,13,"Material, Spatial & Heritage Culture",Cultural Geography & Place,Contemporary,Western,,Rhythm national identity and industrial ruins
Tim Ingold,ART,9,Anthropology & Sociology of Art,Anthropology of Art & Ritual,Contemporary,Western,Culture,Anthropology of lines making and dwelling
Tim Wu,LAW,10,"Digital, Technology & AI Law",Cyberlaw & Technology Regulation,Contemporary,Western,Economics,Net neutrality attention merchants and antitrust
Timothy Mitchell,Politics,6,"Postcolonial, Feminist & Environmental Politics",Postcolonial & Decolonial Politics,Contemporary,Western,Society,Carbon democracy expertise and colonial Egypt
Timothy Morton,Critics,IX,Ecological & Environmental,Dark Ecology & Anthropocene,Contemporary,Western,ART,Hyperobjects dark ecology and the ecological thought
Timothy Snyder,History,XII,"Political, Legal & Global History",Political & State,Contemporary,Western,Politics,Tyranny bloodlands and historical authoritarianism
Tiziana Terranova,Culture,11,"Digital, Media & Algorithmic Culture",Networked & Participatory Culture,Contemporary,Western,Critics,Free labor and network culture political economy
Toby Miller,Culture,9,Identity & Difference,Cultural Citizenship & Politics,Contemporary,Western,ART,Cultural citizenship global Hollywood and sport
Toby Slade,ART,13,Fashion & Dress Studies,"Dress, Identity & Fashion Systems",Contemporary,East Asia,Culture,History of Japanese fashion systems
Tom Ginsburg,LAW,5,Constitutional Theory & Public Law,"Constitutionalism, Judicial Review & Rights",Contemporary,Western,Politics,Constitutional design and democratic backsliding
Tom Nichols,Society,V,Advanced & Applied Social Theories,Culture & Media,Contemporary,Western,Politics,Death of expertise and anti-intellectualism
Tomomi Yamaguchi,Society,V,Advanced & Applied Social Theories,Gender & Sexuality,Contemporary,East Asia,Politics,Right-wing women and gender politics in Japan
Tony Walter,Society,V,Advanced & Applied Social Theories,General Social Theories,Contemporary,Western,Culture,Sociology of death mourning and bereavement
Tricia Rose,ART,4,Music & Sound Studies,Sociology & Politics of Music,Contemporary,Western,Culture,Hip hop politics race and Black noise
Patrick Wolfe,History,VI,Postcolonial & Decolonial History,Empire & Imperialism,Contemporary,Western,Politics,Settler colonialism as structure of elimination
Paul B. Preciado,Culture,9,Identity & Difference,"Gender, Race & Sexuality",Contemporary,Western,ART,Pharmacopornographic regime and counter-sexuality
Pheng Cheah,Critics,XI,Intertextual & Comparative,Comparative & Adaptation,Contemporary,East Asia,Politics,World literature postcolonial time and world-making
Pooja Rangan,Critics,X,Digital & Media-Specific,Platform & Media Studies,Contemporary,South Asia,ART,Documentary ethics and mediating the voiceless
Rita Segato,Politics,6,"Postcolonial, Feminist & Environmental Politics",Feminism & Gender in Politics,Contemporary,Latin America,Society,Pedagogy of cruelty and gender violence
Roderick Ferguson,Critics,III,Identity-Based & Political,Queer Theory,Contemporary,Western,Society,Queer of color critique and surplus populations
Sabelo J. Ndlovu-Gatsheni,Politics,6,"Postcolonial, Feminist & Environmental Politics",Postcolonial & Decolonial Politics,Contemporary,Africa,History,Coloniality in Africa and epistemic freedom
Safiya Umoja Noble,Critics,X,Digital & Media-Specific,Platform & Media Studies,Contemporary,Western,Society,Algorithms of oppression and search bias
Saidiya Hartman,Critics,V,Historical & Cultural Materialist,Memory & Book History,Contemporary,Western,History,Afterlife of slavery and critical fabulation
