Theorist,Part,MajorNo,Major,Sub,Era,Region,SecondaryPart,Note
Achille Mbembe,Politics,6,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Africa,Society,Necropolitics and racial sovereignty in postcolonial state theory
Ackbar Abbas,Critics,V,Historical & Cultural Materialist,B. Cultural Studies,Contemporary,East Asia,Culture,Hong Kong cinema and culture of disappearance
Adam Smith,Economics,I,Classical & Neoclassical Economics,Classical Political Economy,Classical,Western,Politics,Founder of classical political economy (invisible hand)
Adam Tooze,Economics,XII,"Welfare, Happiness & Heterodox Economics",Marxist & Heterodox Traditions,Contemporary,Western,History,Global financial crisis and polycrisis economic history
Adrienne Massanari,Culture,11,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,Society,Toxic technocultures and platform participatory culture
Aihwa Ong,Society,V,Advanced & Applied Social Theories,Globalization & Development,Contemporary,East Asia,Culture,Flexible citizenship in transnational mobility
Alain Badiou,Politics,3,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Contemporary,Western,Critics,Event ontology and radical political philosophy
Albert O. Hirschman,Economics,VIII,Political Economy & Public Choice,Public Choice & Political Behavior,Modern,Western,Politics,"Exit, Voice and Loyalty in political economy"
Alexander Wendt,Politics,10,International Relations & Security,A. International Relations,Contemporary,Western,,Constructivist social theory of international politics
Alice E. Marwick,Culture,11,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,Society,Attention economy and micro-celebrity online
Alice Miller,Psychology,1,Psychoanalytic & Psychodynamic,B. Object Relations & Self,Modern,Western,Family,Childhood trauma and the gifted child psychodynamics
Anders Albrechtslund,Society,VI,Digital & Network Society,Social Technology & Data,Contemporary,Western,Culture,Participatory surveillance theory
K. Anders Ericsson,Psychology,2,Cognitive,B. Memory & Attention,Modern,Western,Management,Deliberate practice and expertise development
Andrea O'Reilly,Family,8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",B. 모성·부성 (Motherhood & Fatherhood),Contemporary,Western,Politics,Matricentric feminism and motherhood studies
Andreas Malm,Politics,6,"Postcolonial, Feminist & Environmental Politics",C. Environmental Politics & Justice,Contemporary,Western,Critics,Climate radicalism and fossil capital politics
Andrew Chadwick,Culture,7,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,Politics,Hybrid media system in political communication
André Bazin,Critics,VII,Phenomenological & Hermeneutic,B. Aesthetics & Phenomenology of Reading,Modern,Western,ART,Film realism and phenomenology of the cinematic image
André Leon Talley,ART,13,Fashion & Dress Studies,B. Fashion as Performance & Spectacle,Contemporary,Western,Culture,Fashion industry memoir and dress spectacle
Angela Davis,Politics,3,Radical & Critical Traditions,A. Marxism & Socialism,Contemporary,Western,Society,Prison abolition and Marxist-feminist critique
Angela Duckworth,Psychology,9,Positive Psychology,B. Strengths & Virtues,Contemporary,Western,Management,Grit as a character strength for achievement
Angela McRobbie,Culture,5,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Contemporary,Western,Critics,Post-feminism and precarious creative labour
Anne Allison,Society,V,Advanced & Applied Social Theories,Globalization & Development,Contemporary,East Asia,Culture,Precarity in contemporary Japanese society
Anne Helen Petersen,Culture,9,Identity & Difference,"A. Gender, Race & Sexuality",Contemporary,Western,Critics,Unruly women and gendered celebrity culture
Annette Hill,Culture,7,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,Critics,Reality TV audiences and media reception
Anthony Giddens,Society,II,Contemporary Sociological Perspectives,—,Modern,Western,Family,Reflexive modernity and transformation of intimacy
Antonio Gramsci,Politics,3,Radical & Critical Traditions,C. Critical Theory & Neo-Marxism,Modern,Western,Culture,Hegemony and organic intellectuals
Arjun Appadurai,Culture,8,Global & Transnational Culture,B. Diaspora & Deterritorialization,Contemporary,South Asia,Society,Mediascapes and global cultural flows
Arlie Russell Hochschild,Society,IV,Contemporary Social Theories,Emotion & Affect,Modern,Western,Management,Emotional labor and the managed heart
Arthur Frank,Medicine,IV,Critical Medical Humanities,A. Narrative Medicine & Illness Narratives,Contemporary,Western,Society,Illness narratives and the wounded storyteller
Arthur Koestler,Psychology,2,Cognitive,C. Decision-Making & Heuristics,Modern,Western,ART,Bisociation theory of creativity
Ashis Nandy,Politics,6,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,South Asia,Culture,Psychology of colonialism and the intimate enemy
Mikhail Bakhtin,Critics,XI,Intertextual & Comparative,A. Intertextuality,Modern,Western,ART,Carnival and dialogism in literary theory
Barbara Browning,ART,14,Dance & Embodiment Studies,"B. Dance, Politics & Society",Contemporary,Latin America,Culture,Samba as embodied resistance in motion
Jean Baudrillard,Culture,4,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,Modern,Western,Critics,Simulacra and hyperreality of consumer society
Beatriz Sarlo,Culture,8,Global & Transnational Culture,A. Hybridization & World Culture,Contemporary,Latin America,Critics,Postmodern cultural critique in Latin America
Bella DePaulo,Society,V,Advanced & Applied Social Theories,Family,Contemporary,Western,Psychology,Singlehood and stigma of being single
Ben Carrington,ART,6,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",Contemporary,Western,Society,Race politics in sport
Benedict Anderson,Politics,4,"Power, Elites & Classical Democratic Theory",B. Early Democratic Theory,Modern,Western,Culture,Imagined communities and nationalism
William L. Benoit,Management,13,"Change, Crisis & Organizational Development",B. Crisis Management & Communication,Contemporary,Western,Culture,Image restoration theory in crisis communication
Beverley Skeggs,Society,IV,Contemporary Social Theories,Cultural Sociology (Bourdieu),Contemporary,Western,Culture,Class formation through self and gender
Anita Biressi & Heather Nunn,Culture,5,British Cultural Studies (Birmingham School),C. Popular Culture & Politics,Contemporary,Western,Critics,Reality TV and class representation
Bishnupriya Ghosh,Culture,8,Global & Transnational Culture,D. Global Cultural Industries & Diplomacy,Contemporary,South Asia,Critics,Global icons and transnational media
Brené Brown,Psychology,9,Positive Psychology,B. Strengths & Virtues,Contemporary,Western,Management,Vulnerability and shame resilience
Brooke Erin Duffy,Culture,11,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,Society,Aspirational labor in the influencer economy
Bruno Latour,Society,VI,Digital & Network Society,Science & Technology Studies (STS),Modern,Western,Critics,Actor-network theory and STS
Bryan Stevenson,LAW,7,"Criminal Law, Punishment & Restorative Justice",B. Restorative & Transitional Justice,Contemporary,Western,Politics,Mercy and proximity in criminal justice reform
Bryan S. Turner,Society,IV,Contemporary Social Theories,Posthumanism & New Materialism,Modern,Western,Medicine,Sociology of the body and somatic society
Byung-Chul Han,Culture,2,Philosophy & Aesthetics of Culture,B. Cultural Aesthetics,Contemporary,East Asia,Society,Burnout society and psychopolitics
C. Lee Harrington,Culture,5,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Contemporary,Western,Society,Fandom and grief in soap opera audiences
C. Wright Mills,Society,I,Classical Sociological Traditions,—,Modern,Western,Politics,Power elite and the sociological imagination
C.L.R. James,ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Modern,Latin America,Politics,Cricket as colonial politics and culture
Carl Jung,Psychology,1,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,Modern,Western,ART,Archetypes and the collective unconscious
Carl Schmitt,Politics,4,"Power, Elites & Classical Democratic Theory",C. Totalitarianism & Authoritarianism,Modern,Western,LAW,Friend-enemy distinction and the political
Carol Gilligan,Psychology,4,Developmental,A. Cognitive & Moral Development,Modern,Western,Politics,Ethics of care and gendered moral development
Carol J. Clover,Critics,IV,Psychoanalytic & Psychological,A. Freudian & Lacanian,Contemporary,Western,ART,Final Girl and gender in horror film
Cary Wolfe,Critics,XVI,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Contemporary,Western,Culture,Posthumanism and animal studies
Cas Mudde,Politics,7,Democratic Theory & Contemporary Contestation,C. Populism & Post-Politics,Contemporary,Western,Society,Populism and the far right
Cass Sunstein,Politics,8,"Behavioral, Sociological & Policy Sciences",C. Public Policy & Administration,Contemporary,Western,Economics,Nudge and choice architecture in policy
Catharine MacKinnon,LAW,2,Critical Legal Studies & Critical Race Theory,C. Intersectional & Identity-Based Critique (Disability/Gender),Contemporary,Western,Politics,Feminist legal theory and sexual harassment law
Cathy Caruth,Critics,XII,Affect & Sensory,C. Trauma & Witnessing,Contemporary,Western,History,Trauma theory and unclaimed experience
