Theorist,Part,MajorNo,Major,Sub,Era,Region,SecondaryPart,Note
Henry Jenkins,Culture,11,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,Critics,Convergence and participatory media culture theorist
Hernando de Soto,Economics,VII,Institutional & Evolutionary Economics,Institutional Economics,Contemporary,Latin America,Politics,Property rights and informal economy institutionalist
Hilary Mantel,ART,5,Literature & Literary Theory,B. Historicism & Society,Contemporary,Western,,Historical novelist exploring power and the body
Hiroshi Aoyagi,Culture,8,Global & Transnational Culture,D. Global Cultural Industries & Diplomacy,Contemporary,East Asia,Society,Ethnographer of Japanese idol industry and pop culture
Homi K. Bhabha,Critics,III,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,South Asia,Culture,Postcolonial hybridity and third space theorist
Howard Gardner,Psychology,2,Cognitive,A. Social-Cognitive Theory,Modern,Western,,Multiple intelligences cognitive psychologist
Hélène Cixous,Critics,III,Identity-Based & Political,A. Feminist & Gender Criticism,Modern,Western,ART,Écriture féminine feminist literary theorist
Iain Borden,ART,12,Architecture & the Built Environment,"B. Architecture, Society & Power",Contemporary,Western,Culture,Skateboarding and critical urban spatial practice
Ian Condry,Culture,8,Global & Transnational Culture,A. Hybridization & World Culture,Contemporary,East Asia,Society,Ethnographer of Japanese hip-hop and anime media mix
Idelber Avelar,Critics,III,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Latin America,ART,Latin American postdictatorship literary and cultural critic
Ien Ang,Culture,5,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Contemporary,Global,Critics,Audience and television reception cultural studies scholar
Imogen Tyler,Society,IV,Contemporary Social Theories,Social Movements,Contemporary,Western,Culture,Sociologist of stigma social abjection and inequality
Israel Kirzner,Economics,VII,Institutional & Evolutionary Economics,Evolutionary Economics,Modern,Western,,Austrian entrepreneurial discovery economist
Jack Halberstam,Critics,III,Identity-Based & Political,B. Queer Theory,Contemporary,Western,Culture,Queer theory of failure time and masculinity
Jack Katz,Society,V,Advanced & Applied Social Theories,General Social Theories,Modern,Western,,Sociologist of crime emotions and moral experience
Jacques Attali,ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Modern,Western,Economics,Political economy of music and noise theorist
Jacques Derrida,Critics,II,Post-Structuralist & Deconstructive,A. Deconstruction,Modern,Western,Politics,Founder of deconstruction and différance
Jacques Rancière,ART,1,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Contemporary,Western,Politics,Politics of aesthetics and distribution of the sensible
Jair Bolsonaro,Politics,7,Democratic Theory & Contemporary Contestation,C. Populism & Post-Politics,Contemporary,Latin America,,Right-wing populist political figure and culture wars
James M. Buchanan,Economics,VIII,Political Economy & Public Choice,Public Choice & Political Behavior,Modern,Western,Politics,Founder of public choice and constitutional economics
James C. Scott,Politics,3,Radical & Critical Traditions,B. Anarchism & Syndicalism,Contemporary,Western,Society,Anarchist political scientist of resistance and the state
James Lovelock,Nature,1,Evolutionary Theory & Human Origins,B. Gene-Culture Coevolution & Human Origins,Modern,Western,Culture,Gaia hypothesis earth-systems scientist
James Naremore,Critics,XI,Intertextual & Comparative,B. Comparative & Adaptation,Contemporary,Western,ART,Film scholar of acting film noir and authorship
Jan-Werner Müller,Politics,7,Democratic Theory & Contemporary Contestation,C. Populism & Post-Politics,Contemporary,Western,,Political theorist of populism and democracy
Janice Radway,Culture,5,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Modern,Western,Critics,Reader-romance reception and audience cultural studies
Jay David Bolter,Critics,X,Digital & Media-Specific,A. Digital Humanities & Hypertext,Contemporary,Western,Culture,Remediation and digital media theory
Jayati Ghosh,Economics,IX,Development & Environmental Economics,Behavioral Development Economics,Contemporary,South Asia,Politics,Development economist of gender and global crisis
Jean Burgess,Culture,11,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Global,Critics,YouTube vernacular creativity and platform culture
Jean Murley,Culture,7,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,Critics,Scholar of true crime media narrative
Jean Twenge,Psychology,4,Developmental,B. Lifespan Development,Contemporary,Western,Society,Generational developmental psychologist
Jean and John Comaroff,Society,V,Advanced & Applied Social Theories,Globalization & Development,Contemporary,Africa,Culture,Anthropologists of occult economies and postcolony
Jean-Jacques Rousseau,Politics,2,Early Modern & Enlightenment Political Thought,A. Social Contract Theory,Classical,Western,,Social contract general will philosopher
Jean-Noël Kapferer,MANAGEMENT,4,Marketing & Consumer Behavior,"B. Branding, Relationship & Social Marketing",Modern,Western,,Brand management and rumor marketing scholar
Jeffrey Jones,Culture,7,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,Politics,Scholar of political entertainment and news parody
Jennifer Doyle,ART,10,"Race, Gender & Postcolonial Critique of Art",C. Feminist & Queer Art,Contemporary,Western,Critics,Feminist art critic of sex emotion and spectatorship
Jennifer Hargreaves,ART,6,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",Modern,Western,Society,Feminist sociologist of women in sport
Jennifer Robertson,Society,V,Advanced & Applied Social Theories,Gender & Sexuality,Contemporary,East Asia,Culture,Anthropologist of Japanese gender Takarazuka and robotics
Jesper Juul,Culture,11,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,ART,Game studies theorist of play and failure
Jian Lin,Culture,11,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,East Asia,Society,Scholar of platformized cultural production in China
Jill Walker Rettberg,Culture,11,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,Critics,Digital self-representation and blogging theorist
Joan Wallach Scott,History,XI,"Gender, Body & Emotions History",A. Gender & Sexuality,Modern,Western,Politics,Gender historian of difference and the veil
Joanne Entwistle,ART,13,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Contemporary,Western,Culture,Sociologist of the fashioned body and aesthetic economy
Johan Huizinga,Culture,1,Foundations & Classical Approaches,C. Everyday Life & Praxis,Classical,Western,History,Homo Ludens play and cultural history theorist
John B. Thompson,Culture,7,Media & Communication,A. Media Effects & Audiences,Modern,Western,Society,Media theorist of modernity ideology and scandal
John Bale,ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Modern,Western,Culture,Sports geographer of landscape and place
John J. Mearsheimer,Politics,10,International Relations & Security,A. International Relations,Contemporary,Western,,Offensive realist IR theorist
John Lie,Society,V,Advanced & Applied Social Theories,Race & Ethnicity,Contemporary,East Asia,Culture,Sociologist of multiethnic Japan and K-pop
John Rawls,Politics,5,"Justice, Recognition & Community",A. Liberalism & Justice,Modern,Western,,Justice as fairness liberal philosopher
John Street,Culture,5,British Cultural Studies (Birmingham School),C. Popular Culture & Politics,Contemporary,Western,Politics,Scholar of music celebrity and popular politics
John Urry,Society,IV,Contemporary Social Theories,Globalization & World-Systems,Modern,Western,Culture,Mobilities and tourist gaze sociologist
John von Neumann,Economics,IV,Behavioral Game Theory & Strategic Interaction,Behavioral Game Theory,Modern,Western,Nature,Founder of game theory and computing architecture
Jon Ronson,Culture,7,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,Society,Journalist of public shaming and online culture
Jonathan Haidt,Psychology,6,Social Psychology,A. Identity & Intergroup,Contemporary,Western,Politics,Moral foundations social psychologist
José Esteban Muñoz,Critics,III,Identity-Based & Political,B. Queer Theory,Contemporary,Latin America,Culture,Queer of color disidentification and utopia theorist
Joseph Campbell,Critics,XI,Intertextual & Comparative,A. Intertextuality,Modern,Western,Culture,Comparative mythologist of the hero's journey
Joseph Gusfield,Society,V,Advanced & Applied Social Theories,General Social Theories,Modern,Western,Culture,Sociologist of public problems and symbolic politics
Joseph Nye,Politics,10,International Relations & Security,A. International Relations,Contemporary,Western,,Soft power IR theorist
