theorist,part,major,sub,era,region,new,existing,n_existing
Janice Radway,Culture,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Modern,Western,N,A Feeling for Books | Reading the Romance | The End of American Studies,3
Jay David Bolter,Critics,Digital & Media-Specific,A. Digital Humanities & Hypertext,Contemporary,Western,N,Remediation | The Digital Plenitude | Writing Space,3
Jayati Ghosh,Economics,Development & Environmental Economics,Behavioral Development Economics,Contemporary,South Asia,N,After Re-Emergence | The Never-Ending Crisis | Women's Work,3
Jean Burgess,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Global,N,Convergence with Mainstream Media | Vernacular Creativity | YouTube,3
Jean Murley,Culture,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,N,Murder as Media | The American True Crime Narrative | The Rise of True Crime,3
Jean Twenge,Psychology,Developmental,B. Lifespan Development,Contemporary,Western,N,Generations | The Narcissism Epidemic | iGen,3
Jean and John Comaroff,Society,Advanced & Applied Social Theories,Globalization & Development,Contemporary,Africa,N,"Ethnicity, Inc. | Occult Economies | Of Revelation and Revolution",3
Jean-Jacques Rousseau,Politics,Early Modern & Enlightenment Political Thought,A. Social Contract Theory,Classical,Western,N,General Will | General Will (Political Theory) | Noble Savage | State of Nature | The Social Contract,5
Jean-Noël Kapferer,MANAGEMENT,Marketing & Consumer Behavior,"B. Branding, Relationship & Social Marketing",Modern,Western,N,New Strategic Brand Management | Rumors | Strategic Brand Management,3
Jeffrey Jones,Culture,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,N,Entertaining Politics | News Parody | Political Communication,3
Jennifer Doyle,ART,"Race, Gender & Postcolonial Critique of Art",C. Feminist & Queer Art,Contemporary,Western,N,Campus Security | Campus Sex | Hold It Against Me,3
Jennifer Hargreaves,ART,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",Modern,Western,N,"Heroines of Sport | Sport, Culture and Ideology | Sporting Females",3
Jennifer Robertson,Society,Advanced & Applied Social Theories,Gender & Sexuality,Contemporary,East Asia,N,Native and Newcomer | Robo Sapiens Japanicus | Takarazuka,3
Jesper Juul,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,N,A Casual Revolution | Half-Real | The Art of Failure,3
Jian Lin,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,East Asia,N,Cultural Industry | Digital Labour in China | Platformization of Cultural Production,3
Jill Walker Rettberg,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,N,Blogging | Seeing Ourselves Through Technology | Self-Representation in Digital Media,3
Joan Wallach Scott,History,"Gender, Body & Emotions History",A. Gender & Sexuality,Modern,Western,N,Gender History | Gender and Class | Gender and the Politics of History | Only Paradoxes to Offer | The Politics of the Veil,5
Joanne Entwistle,ART,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Contemporary,Western,N,Dress & Identity Theory | Fashion and the Body Theory | Fashion as Performance Theory | Fashioning Models | The Aesthetic Economy | The Fashioned Body,6
Johan Huizinga,Culture,Foundations & Classical Approaches,C. Everyday Life & Praxis,Classical,Western,N,Homo Ludens | In the Shadow of Tomorrow | The Autumn of the Middle Ages,3
John B. Thompson,Culture,Media & Communication,A. Media Effects & Audiences,Modern,Western,N,Ideology and Modern Culture | Political Scandal | The Media and Modernity,3
John Bale,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Modern,Western,N,Landscapes of Modern Sport | Sports Geography | The Global Sports Arena,3
John J. Mearsheimer,Politics,International Relations & Security,A. International Relations,Contemporary,Western,N,Offensive Realism | The Great Delusion | The Tragedy of Great Power Politics,3
John Lie,Society,Advanced & Applied Social Theories,Race & Ethnicity,Contemporary,East Asia,N,K-Pop | Multiethnic Japan | Zainichi Koreans,3
John Rawls,Politics,"Justice, Recognition & Community",A. Liberalism & Justice,Modern,Western,N,Justice as Fairness | Original Position | Original Position & Veil of Ignorance | Public Reason (Political) | Retributive Justice | Theory of Justice (Political Theory) | Veil of Ignorance,7
John Street,Culture,British Cultural Studies (Birmingham School),C. Popular Culture & Politics,Contemporary,Western,N,Celebrity Politics | Music and Politics | Politics and Popular Culture,3
John Urry,Society,Contemporary Social Theories,Globalization & World-Systems,Modern,Western,N,Climate Change and Society | Mobilities | The Tourist Gaze,3
John von Neumann,Economics,Behavioral Game Theory & Strategic Interaction,Behavioral Game Theory,Modern,Western,N,Cellular Automata | Game Theory | Von Neumann Architecture,3
Jon Ronson,Culture,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,N,Cancel Culture | Public Shaming | So You've Been Publicly Shamed,3
Jonathan Haidt,Psychology,Social Psychology,A. Identity & Intergroup,Contemporary,Western,N,The Coddling of the American Mind | The Happiness Hypothesis | The Righteous Mind,3
José Esteban Muñoz,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,Latin America,N,Cruising Utopia | Disidentifications | The Sense of Brown,3
Joseph Campbell,Critics,Intertextual & Comparative,A. Intertextuality,Modern,Western,N,Archetypal Criticism | Myth Criticism | The Hero with a Thousand Faces | The Hero's Journey | The Masks of God,5
Joseph Gusfield,Society,Advanced & Applied Social Theories,General Social Theories,Modern,Western,N,Drinking and Disorder | Symbolic Crusade | The Culture of Public Problems,3
Joseph Nye,Politics,International Relations & Security,A. International Relations,Contemporary,Western,N,Smart Power | Soft Power | The Future of Power,3
Joseph Schumpeter,Economics,Institutional & Evolutionary Economics,Evolutionary Economics,Modern,Western,N,Business Cycles | Creative Destruction | Entrepreneurship | Innovation and Evolution,4
Judith Butler,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,Western,N,Embodiment Theory (Performance) | Fashion as Performance Theory | Feminist Criticism | Gender Trouble | Gender as Performance | Performativity | Performativity (Performing Arts) | Performativity of Text | Precarious Life | Queer Literary Theory | Queer Theory,11
Judith Herman,Psychology,Clinical & Psychopathology,C. Trauma & Resilience,Modern,Western,N,Complex PTSD | Complex Trauma Theory | Father-Daughter Incest | Trauma and Recovery,4
Judith Shklar,Politics,"Justice, Recognition & Community",A. Liberalism & Justice,Modern,Western,N,Legalism | Ordinary Vices | The Faces of Injustice,3
Julia Kristeva,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,Western,N,Abjection | French Feminism | Intertextuality | Jouissance | Powers of Horror | Semiotic and Symbolic | Semiotics,7
Julian McDougall,Critics,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Western,N,Fake News | Media Literacy | Media Studies: The Basics,3
Julian Simon,Economics,Development & Environmental Economics,Environmental & Resource Economics,Modern,Western,N,Population Growth | Resource Abundance | The Ultimate Resource,3
Jürgen Habermas,Society,Contemporary Social Theories,Power and Control,Modern,Western,N,Colonization of the Lifeworld | Communicative Action | Critique of Modernity | Deliberative Democracy | Deliberative Democracy (Legal Theory) | Habermas's Theory of Legitimation Crisis | Historical Responsibility | History of Higher Education | History of Public Opinion | Public Sphere | The Public Sphere,11
Felwine Sarr,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Africa,Y,Afrotopia | Ateliers de la pensée | Restitution,3
Francesco Casetti,Critics,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Western,Y,Display/Hypertopia | Relocation of Cinema | The Lumière Galaxy,3
Frank B. Wilderson III,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Western,Y,Afropessimism | Cinematic Slavery | Social Death,3
Glen Coulthard,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Global,Y,Critique of Recognition | Grounded Normativity | Red Skin White Masks,3
Hamid Dabashi,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,MENA,Y,Anticolonial Modernity | Decolonial Imagination | Palestinian/Iranian Cinema,3
Hil Malatino,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,Western,Y,Trans Care | Trans Negativity | t4t,3
Hito Steyerl,ART,Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Western,Y,Circulationism | How Not to Be Seen | Poor Image,3
Jasbir K. Puar,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,South Asia,Y,Debility/Capacity | Homonationalism | The Right to Maim,3
Jennifer M. Barker,Critics,Affect & Sensory,B. Embodied & Sensory Reading,Contemporary,Western,Y,Cinematic Tactility | Skin/Musculature/Viscera | The Tactile Eye,3
Jennifer DeClue,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Western,Y,Black Feminist Spectatorship | Carceral/Sexual Violence | Visioning Black Women,3
Jennifer Fay,Critics,Ecological & Environmental,B. Dark Ecology & Anthropocene,Contemporary,Western,Y,Aesthetic World-Making | Cinema in the Anthropocene | Inhospitable World,3
Joan Donovan,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Western,Y,Cheap Fakes | Disinformation | Media Manipulation Lifecycle,3
Joanna Zylinska,ART,"Digital, New Media & AI Arts",C. AI & Computational Creativity,Contemporary,Western,Y,AI Art | Nonhuman Vision | The Perception Machine,3
Joseph Massad,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,MENA,Y,Desiring Arabs | Orientalism in Reverse | The Gay International,3
Joy Buolamwini,ART,"Digital, New Media & AI Arts",C. AI & Computational Creativity,Contemporary,Western,Y,Algorithmic Justice | Coded Gaze | Gender Shades,3
Jules Gill-Peterson,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,Western,Y,Histories of the Transgender Child | Medical Gatekeeping | Trans Misogyny,3
Juana María Rodríguez,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,Latin America,Y,Gesture/Embodiment | Queer Latinidad | Sexual Futures,3
Mark Fisher (K-Punk),Culture,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,Contemporary,Western,N,Acid Communism | Capitalist Realism | Hauntology,3
Kaori Hayashi,Culture,Media & Communication,A. Media Effects & Audiences,Contemporary,East Asia,N,Gendered Journalism | Mass Media Structure | Media and Gender in Japan,3
Karl Mannheim,Society,Classical Sociological Traditions,—,Classical,Western,N,Generational Consciousness | Ideology and Utopia | Sociology of Knowledge,3
Karl Marx,Politics,Radical & Critical Traditions,A. Marxism & Socialism,Classical,Western,N,Alienation of Labor | Base and Superstructure (Culture) | Base and Superstructure (Historical) | Class Conflict | Commodity Fetishism | Dictatorship of the Proletariat | Historical Materialism | Historical Materialism (Historical) | Ideology | Marxist Criticism | Modes of Production,11
Kate Manne,Politics,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Contemporary,Western,N,Down Girl | Himpathy | Misogyny,3
