theorist,part,major,sub,era,region,new,existing,n_existing
Tim Ingold,ART,Anthropology & Sociology of Art,Anthropology of Art & Ritual,Contemporary,Western,N,Lines: A Brief History | Making: Anthropology | The Life of Lines,3
Tim Wu,LAW,"Digital, Technology & AI Law",Cyberlaw & Technology Regulation,Contemporary,Western,N,The Attention Merchants | The Curse of Bigness | The Master Switch,3
Timothy Mitchell,Politics,"Postcolonial, Feminist & Environmental Politics",Postcolonial & Decolonial Politics,Contemporary,Western,N,Carbon Democracy | Colonising Egypt | Rule of Experts,3
Timothy Morton,Critics,Ecological & Environmental,Dark Ecology & Anthropocene,Contemporary,Western,N,Anthropocene Criticism | Anthropocene Criticism (Literature) | Dark Ecology | Hyperobjects | The Ecological Thought,5
Timothy Snyder,History,"Political, Legal & Global History",Political & State,Contemporary,Western,N,Bloodlands | On Tyranny | The Road to Unfreedom,3
Tiziana Terranova,Culture,"Digital, Media & Algorithmic Culture",Networked & Participatory Culture,Contemporary,Western,N,Cyberculture | Free Labor | Network Culture,3
Toby Miller,Culture,Identity & Difference,Cultural Citizenship & Politics,Contemporary,Western,N,Cultural Citizenship | Cultural Citizenship Theory | Cultural Policy Theory | Global Hollywood | SportSex,5
Toby Slade,ART,Fashion & Dress Studies,"Dress, Identity & Fashion Systems",Contemporary,East Asia,N,Fashion of the Japanese | Introducing Japanese Fashion | Japanese Fashion,3
Tom Ginsburg,LAW,Constitutional Theory & Public Law,"Constitutionalism, Judicial Review & Rights",Contemporary,Western,N,Constitutions in Authoritarian Regimes | How to Save a Constitutional Democracy | Judicial Review in New Democracies,3
Tom Nichols,Society,Advanced & Applied Social Theories,Culture & Media,Contemporary,Western,N,Our Own Worst Enemy | The Death of Expertise | The Russian Presidency,3
Tomomi Yamaguchi,Society,Advanced & Applied Social Theories,Gender & Sexuality,Contemporary,East Asia,N,Backlash | Gender and Politics in Japan | Right-wing Women,3
Tony Walter,Society,Advanced & Applied Social Theories,General Social Theories,Contemporary,Western,N,Dark Heritage | New Mourning | On Bereavement | The Revival of Death,4
Tricia Rose,ART,Music & Sound Studies,Sociology & Politics of Music,Contemporary,Western,N,Black Noise | Longing to Tell | The Hip Hop Wars,3
Patrick Wolfe,History,Postcolonial & Decolonial History,Empire & Imperialism,Contemporary,Western,Y,Invasion as Structure | Logic of Elimination | Settler Colonial Studies (Historical) | Settler Colonialism,4
Paul B. Preciado,Culture,Identity & Difference,"Gender, Race & Sexuality",Contemporary,Western,Y,Counter-sexuality | Pharmacopornographic Regime | Testo Junkie,3
Pheng Cheah,Critics,Intertextual & Comparative,Comparative & Adaptation,Contemporary,East Asia,Y,Heterotemporality | Postcolonial Time | World Literature as World-Making,3
Pooja Rangan,Critics,Digital & Media-Specific,Platform & Media Studies,Contemporary,South Asia,Y,Documentary Ethics | Immediations | Mediating the Voiceless,3
Rita Segato,Politics,"Postcolonial, Feminist & Environmental Politics",Feminism & Gender in Politics,Contemporary,Latin America,Y,Communitarian Patriarchy | Gender Violence | Pedagogy of Cruelty,3
Roderick Ferguson,Critics,Identity-Based & Political,Queer Theory,Contemporary,Western,Y,Aberrations in Black | Queer of Color Critique | Surplus Populations,3
Sabelo J. Ndlovu-Gatsheni,Politics,"Postcolonial, Feminist & Environmental Politics",Postcolonial & Decolonial Politics,Contemporary,Africa,Y,Coloniality in Africa | Epistemic Freedom | Myth of Decolonization,3
Safiya Umoja Noble,Critics,Digital & Media-Specific,Platform & Media Studies,Contemporary,Western,Y,Algorithms of Oppression | Search Bias | Technological Redlining,3
Saidiya Hartman,Critics,Historical & Cultural Materialist,Memory & Book History,Contemporary,Western,Y,Afterlife of Slavery | Critical Fabulation | Venus in Two Acts,3
Sami Schalk,Critics,Identity-Based & Political,Disability Studies,Contemporary,Western,Y,Black Disability/Speculative Fiction | Bodyminds Reimagined | Critical Disability Studies,3
Sara Roy,Politics,Political Economy & Comparative Politics,Political Economy (Advanced),Contemporary,MENA,Y,De-development | Occupation and Economy | Political Economy of Gaza,3
Shane Denson,Critics,Digital & Media-Specific,Platform & Media Studies,Contemporary,Western,Y,Computational Images | Discorrelated Images | Post-Cinema,3
Simone Browne,Critics,Identity-Based & Political,Postcolonial & Critical Race,Contemporary,Western,Y,Biometric Blackness | Dark Matters | Racializing Surveillance,3
Souleymane Bachir Diagne,Politics,"Postcolonial, Feminist & Environmental Politics",Postcolonial & Decolonial Politics,Contemporary,Africa,Y,Islam and Open Society | Philosophy as Translation | Postcolonial Bergsonism,3
Steven Shaviro,Critics,Affect & Sensory,Embodied & Sensory Reading,Contemporary,Western,Y,Post-Cinematic Affect | Reading Affects | The Cinematic Body | Visceral Spectatorship,4
Susan Stryker,Critics,Identity-Based & Political,Queer Theory,Contemporary,Western,Y,My Words to Victor Frankenstein | Transgender Rage | Transgender Studies,3
Sylvia Tamale,Politics,"Postcolonial, Feminist & Environmental Politics",Feminism & Gender in Politics,Contemporary,Africa,Y,African Sexualities | Afro-Feminism | Capitalist Patriarchy,3
Sylvia Wynter,Critics,Identity-Based & Political,Postcolonial & Critical Race,Contemporary,Latin America,Y,Colonial Modernity | Genres of the Human | Overrepresentation of Man,3
Syed Hussein Alatas,Society,Contemporary Social Theories,Social Constructionism,Modern,South Asia,Y,Autonomous Social Science | Myth of the Lazy Native | The Captive Mind,3
Taina Bucher,Culture,"Digital, Media & Algorithmic Culture",Algorithmic & Platform Culture,Contemporary,Western,Y,Algorithmic Imaginary | If...Then | Programmed Sociality,3
Talia Mae Bettcher,Critics,Identity-Based & Political,Queer Theory,Contemporary,Western,Y,First-Person Authority | Reality Enforcement | Trans Philosophy,3
Tarleton Gillespie,Culture,"Digital, Media & Algorithmic Culture",Algorithmic & Platform Culture,Contemporary,Western,Y,Algorithmic Culture | Content Moderation | Custodians of the Internet | Platform Governance | Platform Studies,5
Thomas Elsaesser,Critics,Digital & Media-Specific,Platform & Media Studies,Contemporary,Western,Y,Cinema as Time Machine | Media Archaeology | New Film History,3
Tiago de Luca,Critics,Formalist & Text-Centric,Stylistics & Textual Criticism,Contemporary,Latin America,Y,Contemplative Duration | Sensory Realism | Slow Cinema,3
Timnit Gebru,ART,"Digital, New Media & AI Arts",AI & Computational Creativity,Contemporary,Africa,Y,AI Harm Audit | Data Documentation | Stochastic Parrots,3
Tina Campt,Critics,Affect & Sensory,Embodied & Sensory Reading,Contemporary,Western,Y,Black Feminist Futurity | Listening to Images | Quiet Photography,3
Trevor Paglen,ART,"Digital, New Media & AI Arts",AI & Computational Creativity,Contemporary,Western,Y,Invisible Images | Machine Vision | Operational Aesthetics,3
Ulrich Beck,Society,Contemporary Social Theories,Globalization & World-Systems,Modern,Western,N,Cosmopolitan Vision | Cosmopolitanism | Individualization | Postmodern Family Theory | Reflexive Modernization | Risk Society | The Second Modernity | World Risk Society,8
Umberto Eco,Critics,Formalist & Text-Centric,Structuralism & Semiotics,Modern,Western,N,Cultural Codes Theory | Hyperreality | Semiotics | Semiotics of Culture | The Myth of Superman,5
Vandana Shiva,Politics,"Postcolonial, Feminist & Environmental Politics",Environmental Politics & Justice,Contemporary,South Asia,N,Biopiracy | Ecofeminism | Staying Alive,3
Victor Turner,ART,Performance Studies & Theatre,Performance Theory & Ritual,Modern,Western,N,Communitas | Liminality | Ritual Theory (Performing Arts) | Ritual and Healing Theory | Ritual and Literature | Social Drama,6
Viktor Mayer-Schönberger,Society,Digital & Network Society,Social Technology & Data,Contemporary,Western,N,Big Data | Data Governance Theory (Legal) | Datafication | The Virtue of Forgetting,4
Vilfredo Pareto,Politics,"Power, Elites & Classical Democratic Theory",Elitism & Realism,Classical,Western,N,Circulation of Elites | Pareto Efficiency | Residues and Derivations,3
Viviana Zelizer,Society,Advanced & Applied Social Theories,General Social Theories,Contemporary,Western,N,Economic Lives | Pricing the Priceless Child | The Social Meaning of Money,3
W. J. T. Mitchell,ART,Visual Culture & Media Studies,Visual Culture & Spectacle,Contemporary,Western,N,Iconology | Picture Theory | What Do Pictures Want?,3
Walter Bagehot,Politics,"Power, Elites & Classical Democratic Theory",Early Democratic Theory,Classical,Western,N,Lombard Street | The Dignified and the Efficient | The English Constitution,3
Walter Benjamin,Critics,Marxist & Materialist,Frankfurt School & Critical Theory,Modern,Western,N,Aura | Flâneur | History of Photography | The Work of Art in the Age of Mechanical Reproduction,4
Wendy Brown,Politics,Radical & Critical Traditions,Critical Theory & Neo-Marxism,Contemporary,Western,N,Nihilistic Times | States of Injury | Undoing the Demos,3
Wendy Doniger,Society,Advanced & Applied Social Theories,Religion,Contemporary,Western,N,"Dreams, Illusion, and Other Realities | The Bedtrick | The Hindus",3
Whitney Phillips,Culture,"Digital, Media & Algorithmic Culture",Networked & Participatory Culture,Contemporary,Western,N,The Ambivalent Internet | This Is Why We Can't Have Nice Things | Trolling,3
Willem de Haan,LAW,"Criminal Law, Punishment & Restorative Justice",Restorative & Transitional Justice,Modern,Western,N,Penal Abolitionism | The Politics of Redress | Violence as a Contested Concept,3
