theorist,part,major,sub,era,region,new,existing,n_existing
Laura Clancy,Society,Advanced & Applied Social Theories,General Social Theories,Contemporary,Western,N,Corporate Monarchy | Running the Family Firm | Wealth Inequality,3
Laura Mulvey,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,Western,N,Male Gaze | Photographic Gaze Theory | Spectatorship Theory | The Gaze | To-be-looked-at-ness | Visual Pleasure,6
Lauren Berlant,Critics,Affect & Sensory,A. Affect Theory,Contemporary,Western,N,Affect Theory | Cruel Optimism | Intimate Publics,3
Lawrence Lessig,Critics,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Western,N,Code as Law | Cyberlaw Theory | Read/Write Culture | Remix Culture,4
Leah Plunkett,Society,Digital & Network Society,Social Technology & Data,Contemporary,Western,N,Child Safety | Digital Privacy | Sharenthood,3
Lee Thompson,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Contemporary,East Asia,N,Japanese Sports | Muscular Christianity in Japan | Sumo History,3
Lennard J. Davis,Critics,Identity-Based & Political,D. Disability Studies,Contemporary,Western,N,Disability Studies | Enforcing Normalcy | The Normate,3
Leon Festinger,Psychology,Social Psychology,C. Social Cognition & Influence,Modern,Western,N,Cognitive Dissonance | Cognitive Dissonance (Marketing) | Cognitive Dissonance Theory | Deindividuation Theory | Group Cohesion Theory | Proximity Effect (Attraction) | Social Comparison | Social Comparison Theory | When Prophecy Fails,9
Lev Manovich,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,Western,N,Cultural Analytics | Database | Digital Art Theory | Digital Humanities Criticism | Software Studies | The Language of New Media,6
Lewis Coser,Society,Classical Sociological Traditions,,Modern,Western,N,Conflict Theory | Functions of Social Conflict | Greedy Institutions,3
Lila Abu-Lughod,Society,Advanced & Applied Social Theories,Race & Ethnicity,Contemporary,MENA,N,Do Muslim Women Need Saving? | Dramas of Nationhood | Veiled Sentiments,3
Lilie Chouliaraki,Culture,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,N,Ironic Spectatorship | Mediated Cosmopolitanism | The Spectatorship of Suffering,3
Limor Shifman,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,MENA,N,Digital Folklore Theory | Global Memes | Memes in Digital Culture | Political Memes,4
Lina Khan,Politics,Political Economy & Comparative Politics,A. Political Economy & Neoliberalism,Contemporary,Western,N,Amazon's Antitrust Paradox | Big Tech Antitrust | Platform Competition,3
Linda Williams,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Contemporary,Western,N,Body Genres | Hard Core | Playing the Race Card,3
Linda Woodhead,Society,Advanced & Applied Social Theories,Religion,Contemporary,Western,N,Religion and Gender | Spiritual Revolution | That Was The Church That Was,3
Lisa Messeri,Society,Digital & Network Society,Science & Technology Studies (STS),Contemporary,Western,N,Anthropology of Outer Space | Placing Outer Space | Planetary Science,3
Lisa Nakamura,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Western,N,Cyberfeminism | Cybertypes | Race After the Internet,3
Liz Giuffre,ART,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,Western,N,Media Studies | Music and Nostalgia | Popular Music,3
Loïc Wacquant,Society,Contemporary Social Theories,Cultural Sociology (Bourdieu),Contemporary,Western,N,Body & Soul | Prisons of Poverty | Territorial Stigmatization,3
Luc Boltanski,Society,Contemporary Social Theories,Cultural Sociology (Bourdieu),Contemporary,Western,N,"Distant Suffering | On Critique | The ""New Spirit of Capitalism"" | The New Spirit of Capitalism",4
Ludwig von Mises,Economics,"Welfare, Happiness & Heterodox Economics",Marxist & Heterodox Traditions,Modern,Western,N,Economic Calculation Problem | Human Action | Praxeology,3
Madhav Prasad,Critics,Historical & Cultural Materialist,B. Cultural Studies,Contemporary,South Asia,N,Bollywood | Cinema of State | Ideology of the Hindi Film,3
Mae Ngai,History,"Political, Legal & Global History",C. Global & Transnational,Contemporary,Western,N,Impossible Subjects | Migration History | The Lucky Few,3
Malcolm Gladwell,Society,Contemporary Sociological Perspectives,,Contemporary,Western,N,David and Goliath | The Tipping Point | Underdog Tactics,3
Manuel Castells,Society,Digital & Network Society,Social Technology & Data,Contemporary,Western,N,Communication Power | History of the Internet | Space of Flows | Technological Culture Theory | The Information Society | The Network Society,6
Marcel Mauss,Society,Classical Sociological Traditions,,Classical,Western,N,Culturally Shaped Body Theory | Techniques of the Body | The Gift | Total Social Fact,4
Margaret Gibson,Culture,"Material, Spatial & Heritage Culture",A. Material Culture & Objects,Contemporary,Western,N,Digital Graves | Mourning and Material Culture | Objects of the Dead,3
Marijke de Valck,ART,Anthropology & Sociology of Art,C. Art Markets & Institutions,Contemporary,Western,N,Film Festival Network | Film Festivals | Global Film Culture,3
Marilyn Strathern,Society,Advanced & Applied Social Theories,Gender & Sexuality,Contemporary,Western,N,Kinship | Partial Connections | The Gender of the Gift,3
Marina Warner,ART,Literature & Literary Theory,B. Historicism & Society,Contemporary,Western,N,Fairy Tales | From the Beast to the Blonde | Myth,3
Mark Andrejevic,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Western,N,Automated Surveillance | Digital Enclosure | Interactive Audience,3
Mark Banks,Culture,Cultural Economy & Production,A. Creative & Cultural Industries,Contemporary,Western,N,Creative Justice | Creative Labour | The Politics of Cultural Work,3
Mark D. West,LAW,Law and Society & Sociology of Law,"B. Social Control, Deviance & Legal Culture",Contemporary,East Asia,N,"Japanese Law | Scandal | Secrets, Sex, and Spectacle",3
Mark McLelland,Culture,Identity & Difference,"A. Gender, Race & Sexuality",Contemporary,East Asia,N,Digital Media in Japan | Male Homosexuality in Modern Japan | Queer Japan,3
Mark Seltzer,Critics,Affect & Sensory,C. Trauma & Witnessing,Contemporary,Western,N,Serial Killers | True Crime | Wound Culture,3
