theorist,part,major,sub,era,region,new,existing,n_existing
Neil Postman,Culture,Media & Communication,A. Media Effects & Audiences,Modern,Western,N,Amusing Ourselves to Death | Media Ecology Theory | Technopoly | The Disappearance of Childhood,4
Niccolò Machiavelli,Politics,Early Modern & Enlightenment Political Thought,C. Republicanism & Civic Humanism,Classical,Western,N,Appearance vs Reality | Civic Virtue (Political Theory) | The Prince | Virtù,4
Nicholas Tavuchis,Society,Contemporary Sociological Perspectives,,Modern,Western,N,Mea Culpa | Public Apology | Sociology of Apology,3
Nick Bostrom,Critics,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Contemporary,Western,N,Existential Risk | Simulation Hypothesis | Superintelligence,3
Nick Couldry,Culture,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,N,Digital Sociology | Media Events | Media Rituals | The Myth of the Mediated Centre,4
Nick Dyer-Witheford,Critics,Marxist & Materialist,C. Commodity & Political Economy,Contemporary,Western,N,Cyber-Marx | Cyber-Proletariat | Cyber-War,3
Nicole Constable,Society,Advanced & Applied Social Theories,Gender & Sexuality,Contemporary,East Asia,N,Cross-Border Marriage | Maid to Order | Romance on a Global Stage,3
Nicole R. Fleetwood,ART,"Race, Gender & Postcolonial Critique of Art",A. Critical Race & Representation,Contemporary,Western,N,Carceral Aesthetics | Marking Time | Troubling Vision,3
Nikhil Pahwa,Politics,Democratic Theory & Contemporary Contestation,D. Digital Politics & Governance,Contemporary,South Asia,N,Internet Freedom | MediaNama | Net Neutrality,3
Niklas Luhmann,Society,Contemporary Social Theories,Posthumanism & New Materialism,Modern,Western,N,Autopoiesis | Second-Order Observation | Social Systems | System Theory | Systems Theory,5
Nikolas Rose,Society,Contemporary Social Theories,Power and Control,Contemporary,Western,N,Biocitizenship | Governing the Soul | Neuro: The New Brain Sciences | Social Implications of Genomics Theory | The Politics of Life Itself,5
Nils Christie,LAW,"Criminal Law, Punishment & Restorative Justice",B. Restorative & Transitional Justice,Modern,Western,N,A Suitable Victim | Conflicts as Property | Limits to Pain,3
Nira Yuval-Davis,Politics,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Contemporary,Western,N,Gender and Nation | Intersectionality | The Politics of Belonging,3
