theorist,part,major,sub,era,region,new,existing,n_existing
Clifford Geertz,Culture,Foundations & Classical Approaches,B. Anthropology of Culture,Modern,Western,N,Culture as Meaning Systems Theory | Deep Play | Thick Description | Thick Description (Historical),4
Colin Crouch,Politics,Democratic Theory & Contemporary Contestation,C. Populism & Post-Politics,Contemporary,Western,N,Post-Democracy,1
Colin Dickey,Culture,"Material, Spatial & Heritage Culture",E. Cultural Geography & Place,Contemporary,Western,N,The Unidentified,1
Corey Robin,Politics,Early Modern & Enlightenment Political Thought,D. Conservatism & Counter-Enlightenment,Contemporary,Western,N,The Reactionary Mind,1
Crystal Abidin,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,East Asia,N,Calibrated Amateurism | Influencer Cultures | Internet Celebrity,3
Cynthia Enloe,Politics,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Contemporary,Western,N,"Bananas, Beaches and Bases | Maneuvers | Militarized Lives",3
Daisuke Miyao,ART,Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,East Asia,N,The Aesthetics of Shadow,1
Dal Yong Jin,Culture,Global & Transnational Culture,D. Global Cultural Industries & Diplomacy,Contemporary,East Asia,N,Transnational Hallyu,1
Daron Acemoglu,Economics,Institutional & Evolutionary Economics,Institutional Economics,Contemporary,Western,N,Automation and Behavioral Response (Labor) | Directed Technical Change | Inclusive Institutions | Why Nations Fail,4
Daniel Boorstin,Culture,Media & Communication,A. Media Effects & Audiences,Modern,Western,N,Pseudo-event | The Image,2
Daniel J. Solove,LAW,"Digital, Technology & AI Law","C. Privacy, Data Governance & Platform Regulation",Contemporary,Western,N,Privacy | The Future of Reputation,2
Daniel Kahneman,Psychology,Cognitive,C. Decision-Making & Heuristics,Modern,Western,N,"Anchoring Bias | Availability Heuristic | Behavioral Strategy Theory | Cognitive Biases in Law Theory | Consumer Choice Theory (Behavioral) | Dictator Game (Behavioral Economics) | Dual Process Theory (Cognition) | Dual Process Theory (Neuroscience) | Dual System Theory (Neuroeconomics) | Endowment Effect | Framing Effect | Happiness Economics | Hedonic Well-being | Heuristics in Consumer Decision-Making Theory | Loss Aversion | Managerial Biases (Strategy) | Narrow Framing (Behavioral Finance) | Overconfidence Bias | Planning Fallacy | Prospect Theory | Prospect Theory (Finance) | Prospect Theory (Neuroeconomics) | Prospect Theory (Strategic Management) | Reference-Dependent Preferences | Representativeness Heuristic | Thinking, Fast and Slow | Voter Heuristics and Biases",27
