theorist,part,major,sub,era,region,new,existing,n_existing
Richard Shusterman,ART,Aesthetics & Philosophy of Art,Classical & Philosophical Aesthetics,Contemporary,Western,N,Body Consciousness | Pragmatist Aesthetics | Somaesthetics,3
Robert Gilpin,Politics,International Relations & Security,International Relations,Modern,Western,N,Economic Nationalism | Global Political Economy | Hegemonic Stability Theory,3
Robert K. Merton,Society,Classical Sociological Traditions,,Modern,Western,N,Anomie | Hidden Curriculum (Medical Education) | Manifest and Latent Functions | Self-Fulfilling Prophecy | Strain Theory,5
Robert N. Butler,Medicine,Medical Sociology,"Chronic Illness, Aging & Dying",Modern,Western,N,Ageism | Life Review | Productive Aging,3
Robert Stebbins,Society,Advanced & Applied Social Theories,Culture & Media,Contemporary,Western,N,Casual Leisure | Project-based Leisure | Serious Leisure,3
Robert Sternberg,Psychology,Relationship & Interpersonal,Love & Attachment,Modern,Western,N,Triangular Theory of Love | Triarchic Theory of Intelligence | WICS Model,3
Robert Whiting,Culture,Global & Transnational Culture,Hybridization & World Culture,Contemporary,Western,N,The Chrysanthemum and the Bat | Tokyo Underworld | You Gotta Have Wa,3
Robin James,ART,Music & Sound Studies,Sociology & Politics of Music,Contemporary,Western,N,Resilience and Melancholy | Sonic Feminism | The Sonic Episteme,3
Robin R. Means Coleman,Critics,Identity-Based & Political,Postcolonial & Critical Race,Contemporary,Western,N,African American Media | Horror Noire | Race and Genre,3
Roger Caillois,ART,Performance Studies & Theatre,Performance Theory & Ritual,Modern,Western,N,"Man, Play and Games | Mimicry | Paidia and Ludus",3
Roger Fisher,MANAGEMENT,"Change, Crisis & Organizational Development",Crisis Management & Communication,Modern,Western,N,BATNA | Getting to Yes | Principled Negotiation,3
Roland Barthes,Critics,Formalist & Text-Centric,Structuralism & Semiotics,Modern,Western,N,Death of the Author | Death of the Author (Historical) | Fashion System Theory | Fashion Theory | Fashion and Identity Theory | Intertextuality | Mythologies | S/Z | Semiotics | Structuralism | Theory of Photography,11
Ronald Coase,Economics,Institutional & Evolutionary Economics,Institutional Economics,Modern,Western,N,The Coase Theorem | The Nature of the Firm | Transaction Costs,3
Ronald Dworkin,LAW,Jurisprudence & Legal Philosophy,Natural Law & Normative Foundations,Modern,Western,N,Justice for Hedgehogs | Law as Integrity | Right Answer Thesis,3
Rosalind Gill,Culture,Identity & Difference,"Gender, Race & Sexuality",Contemporary,Western,N,Aesthetic Labour | Confidence Cult | Postfeminist Sensibility,3
Rosemarie Garland-Thomson,Critics,Identity-Based & Political,Disability Studies,Contemporary,Western,N,Ableism in Medicine Theory | Body Norms and Disability Theory | Disability Studies | Disability as Culture (Medical Humanities) | Extraordinary Bodies | Freakery | Staring,7
Ruha Benjamin,Society,Digital & Network Society,Social Technology & Data,Contemporary,Western,N,New Jim Code | Race After Technology | Viral Justice,3
Rutger Bregman,History,Intellectual History,History of Ideas,Contemporary,Western,N,Humankind | Poverty and IQ | Utopia for Realists,3
Ruth Benedict,Culture,Foundations & Classical Approaches,Anthropology of Culture,Classical,Western,N,Cultural Relativism | Patterns of Culture | Shame vs Guilt Culture | The Chrysanthemum and the Sword,4
Ryan Milner,Culture,"Digital, Media & Algorithmic Culture",Networked & Participatory Culture,Contemporary,Western,N,Polyvocal Internet | The Ambivalent Internet | The World Made Meme,3
Samuel Huntington,Politics,International Relations & Security,International Relations,Modern,Western,N,Clash of Civilizations | Political Order in Changing Societies | The Third Wave,3
Sander Gilman,Medicine,Critical Medical Humanities,Cultural History of Disease,Modern,Western,N,Difference and Pathology | Fat: A Cultural History | Jewish Self-Hatred,3
Sanjib Baruah,Politics,Political Economy & Comparative Politics,Comparative Politics,Contemporary,South Asia,N,Assam | Beyond Counter-Insurgency | Durable Disorder,3
Sara Ahmed,Culture,"Affect, Emotion & Embodiment",Affect & Sensory Studies,Contemporary,Western,N,Affect Theory | Affective Economies | Affective Queer Theory | Cultural Politics of Emotion | Feminist Killjoy,5
Sarah Banet-Weiser,Culture,Cultural Economy & Production,Experience Economy & Consumption,Contemporary,Western,N,Authentic™ | Brand Culture | Empowered,3
Sarah Blaffer Hrdy,Nature,Evolutionary Psychology & Adaptive Mind,"Mating, Reproduction & Sexual Strategy",Modern,Western,N,Infanticide | Mother Nature | Mothers and Others,3
Saskia Sassen,Society,Advanced & Applied Social Theories,Globalization & Development,Contemporary,Western,N,Denationalization | Expulsions | Global Cities Theory | The Global City,4
Scott McCloud,ART,Visual Culture & Media Studies,Photography & the Image,Contemporary,Western,N,Blood in the Gutter | Making Comics | Understanding Comics,3
Sharon Hays,Family,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",B. 모성·부성 (Motherhood & Fatherhood),Contemporary,Western,N,Cultural Contradictions of Motherhood | Flat Broke with Children | Intensive Mothering,3
Sharon Kinsella,Culture,British Cultural Studies (Birmingham School),Subculture & Fandom,Contemporary,East Asia,N,Adult Manga | Cuties in Japan | Schoolgirls,3
Sheri Berman,Politics,Political Economy & Comparative Politics,Comparative Politics,Contemporary,Western,N,Democracy and Dictatorship | Social Democracy | The Primacy of Politics,3
Sherry Turkle,Society,Digital & Network Society,Science & Technology Studies (STS),Contemporary,Western,N,Alone Together | Life on the Screen | Reclaiming Conversation,3
