keyword,theorist,concept_purpose,paper_title,paper_authors,journal,volume_issue,year,paper_url,paper_argument,access
"Decolonising the Mind","Ngũgĩ wa Thiong'o","Argues language is the carrier of culture and colonial language imposition colonizes consciousness, so reclaiming Indigenous languages is essential to decolonization","African films and languages (Editorial)","Gilbert Motsaathebe and Abiodun Salawu","Journal of African Cinemas","17(3) African Language Films",2025,https://doi.org/10.1386/jac_00155_2,"Frames the African-language-films issue through Ngũgĩ, arguing African-language films are vital tools of self-representation and cultural export that embody cultural knowledge, identity and history and contribute to the African Renaissance and decolonization","OA"
"Decolonising the African Mind","Ngũgĩ wa Thiong'o","Language as the embodiment of culture; translation/subtitling choices either decolonize or recolonize the Indigenous-language film for non-native audiences","Issues of subtitling in Biyi Bandele's Elesin Oba","Israel Ayinla Fadipe and Imoh Sunday Obot","Journal of African Cinemas","17(3) African Language Films",2025,https://doi.org/10.1386/jac_00150_1,"Analyses subtitling lapses in Elesin Oba (2022, adapted from Soyinka's Death and the King's Horseman) through Ngũgĩ's Decolonising the African Mind, arguing translation for non-native audiences risks distorting the film's culturally embedded meaning","OA"
"Third Cinema","Solanas & Getino / Teshome Gabriel","A militant, anti-imperialist cinema of marginalized peoples that resists cultural relegation and Western mainstream aesthetics","Preserving Indigenous Ovaherero cultural heritage in the digital age: Analysis of the film Tjipangandjara","William Heuva","Journal of African Cinemas","17(3) African Language Films",2025,https://intellectdiscover.com/content/journals/jac/browse,"Places the Namibian short Tjipangandjara in the Third Cinema tradition as resistance to cultural relegation and argues new filmless digital technology can promote Indigenous Ovaherero language and heritage, contra claims that modernization causes their extinction","OA"
"Necropolitics / the postcolony","Achille Mbembe","Explains how postcolonial sovereign power in Africa operates through commandment, spectacle and the management of who may live and who is left to die","Jean-Pierre Bekolo's Le président: Documenting the absence","Matthias De Groof (Bekolo special issue)","Journal of African Cinemas","16(1) Aesthetics of the Future",2024,https://doi.org/10.1386/jac_00107_1,"Reads Bekolo's banned mockumentary Le président through Mbembe's postcolony and necropolitics, arguing the film mocks documentary's visible evidence to expose presidents-for-life autocracy and provoke political dissent","OA"
"Afrofuturism","Afrofuturism lineage (via Mbembe's postcolony)","A speculative aesthetic projecting African/Black futures to critique present subjugation and counter Afro-pessimist framings of the continent","Science fiction and masquerade in Jean-Pierre Bekolo's Les Saignantes (2005): A cinematic way out of Africa's declining future","Matthias De Groof","Journal of African Cinemas","16(1) Aesthetics of the Future",2024,https://doi.org/10.1386/jac_00106_1,"Argues Les Saignantes deploys Afrofuturist aesthetics and a Mevungu-ritual female-gaze masquerade to critique Africa's postcolonial commandment power and the ethnologizing phallocentric gaze, using a dying future-universe as a warning mirror","OA"
"The colonial library","V. Y. Mudimbe (with Foucault)","Names the colonial discourse that invented Africa as an object of Western knowledge, showing knowledge production is inseparable from colonial power","The colonial library and productive futurity in Jean-Pierre Bekolo's Mudimbe's Things and Words (2015)","Olivier J. Tchouaffe","Journal of African Cinemas","16(1) Aesthetics of the Future",2024,https://doi.org/10.1386/jac_00108_1,"Argues Bekolo and Mudimbe deconstruct Foucault to show how the colonial library weaponizes the imposed colonial past as a precondition of ongoing power and violence in Africa","OA"
"Négritude","Aimé Césaire","An anticolonial cultural-political movement affirming Black identity and African cultural value as resistance to colonial denigration","Death and negritude: Bekolo's Miraculous Weapons","Rita Keresztesi","Journal of African Cinemas","16(1) Aesthetics of the Future",2024,https://doi.org/10.1386/jac_00109_1,"Reads Bekolo's Miraculous Weapons (citing Césaire's Les Armes miraculeuses) as a meditation on art, life and death in which négritude becomes the movement that refuses to die under postcolonial tension","OA"
"The idea of Africa","Achille Mbembe (with Mudimbe)","Interrogates Africa not as a fixed entity but as a constructed idea whose meaning is continually produced, here through cinema as knowledge-practice","Artistic epistemologies: Black cinema and the idea of Africa","Addamms Mututa","Journal of African Cinemas","16(2-3) Artistic Epistemologies",2024,https://doi.org/10.1386/jac_00122_2,"Frames the special issue around what knowledge of contemporary Africa is deducible through its cinemas, citing Mbembe to link the idea of Africa with cultural ontologies and new possibilities for theorizing Africa cinematically","OA"
"Dialectic of omission / hegemony","Postcolonial canon critique (Gramscian hegemony lineage)","Explains how a global film culture is constructed hegemonically by Western institutions that structurally omit African cinemas from history, criticism and industry","Global silences on African cinemas: Dialectic of omission in western canons","Paulo Cunha","Journal of African Cinemas","15(2-3)",2023,https://doi.org/10.1386/jac_00102_1,"Argues African cinemas are systematically omitted across the three fronts of Western-led global film canons and that even as world cinemas advance, African cinemas have not impacted global canon directions, reproducing a hegemonic film culture","OA"
"Transnational entanglement","Transnational cinema theory (Nollywood studies)","Reframes Nollywood's global circulation as mutual entanglement rather than one-way domination, contesting binary core/periphery oppositions","Nollywood internationalism: Filmic entanglements on Nigerian terrain","Noah Tsika","Journal of African Cinemas","16(2-3) Artistic Epistemologies",2024,https://doi.org/10.1386/jac_00119_1,"Argues Nollywood's global diffusion depends on both US streaming corporations and Afro-diasporic informal circulation, generating multiple contested images of Africa, and calls for resisting Nollywood/Hollywood binaries","OA"
