keyword,theorist,concept_purpose,paper_title,paper_authors,journal,volume_issue,year,paper_url,paper_argument,access
"semiotic guerrilla / semiotic tactics","Umberto Eco","Eco's 'semiological guerrilla warfare' theorizes tactical, decoding-side resistance to dominant media messages from below.","Ambushing the Indian Screen: Vernacularisation, Semiotic Tactics and Magical Realism","Prithu Halder; Bibhuti Mary Kachhap","BioScope: South Asian Screen Studies","16(2)","2025","https://doi.org/10.1177/09749276251381289","Reads Om Dar-B-Dar and Ghode Ko Jalebi Khilane Le Ja Riya Hu as avant-garde/prayoga films that deploy vernacular 'semiotic guerrilla tactics' to ambush dominant cinematic codes and circulate a localized magic realism.","abstract-only"
"magical realism","Fredric Jameson","Jameson theorized magic realism as a formal mode registering the collision of pre-capitalist and modern modes of production in (semi-)peripheral societies.","Ambushing the Indian Screen: Vernacularisation, Semiotic Tactics and Magical Realism","Prithu Halder; Bibhuti Mary Kachhap","BioScope: South Asian Screen Studies","16(2)","2025","https://doi.org/10.1177/09749276251381289","Recovers an obscure vernacular history of magic realism's circulation in India, arguing it constituted the affective communities and avant-garde milieu the two films draw on.","abstract-only"
"vernacular visual culture","Christopher Pinney","Pinney's work on vernacular/'corpothetic' visual culture explains how Indian popular images are made and used outside elite art-historical frames.","Ambushing the Indian Screen: Vernacularisation, Semiotic Tactics and Magical Realism","Prithu Halder; Bibhuti Mary Kachhap","BioScope: South Asian Screen Studies","16(2)","2025","https://doi.org/10.1177/09749276251381289","Uses Pinney's vernacular-image framework to anchor the films' postcolonial vernacularisation of magic realism in Indian popular visual practice.","abstract-only"
"hauntology / spectrality","Jacques Derrida","Derrida's hauntology names how the past (and the unresolved) returns to disrupt the present as a spectral, never-settled presence.","Gender Hauntings at the Border: Qissa's Narration of Partition Through the Trans Body","Usha Iyer","BioScope: South Asian Screen Studies","16(2)","2025","https://doi.org/10.1177/09749276251380901","Argues that Qissa's spiral, ghost-possession structure stages the Partition's unresolved trauma as gendered hauntings, with male ghosts possessing female bodies to figure the transitivity of gender, nation and genre.","abstract-only"
"transgender / trans embodiment","Susan Stryker (trans studies)","Trans studies theorizes the trans body as a site that destabilizes naturalized gender, exposing the violence of imposed binary regimes.","Gender Hauntings at the Border: Qissa's Narration of Partition Through the Trans Body","Usha Iyer","BioScope: South Asian Screen Studies","16(2)","2025","https://doi.org/10.1177/09749276251380901","Reads the patriarch's imposition of masculinity on his daughter and the film's gender shape-shifting as a folkloric, fluid trans embodiment responding to Partition's border violence.","abstract-only"
"media event","Daniel Dayan & Elie Katz (reworked toward affect)","The 'media event' concept theorizes how broadcast ceremonies/ruptures are constructed and ritually staged to constitute publics.","Anatomy of a Media Event: Disinformation and Event Making in Television and Social Media","Ram Bhat","BioScope: South Asian Screen Studies","16(1)","2025","https://doi.org/10.1177/09749276251335057","Argues that disinformation is not separate information but is distributed affectively as part of media events; using the Praveen Nettar assassination he shows how television and social media 'event-making forms' produce communal affective politics in India.","OA"
"affect / affective politics","Affect theory (Brian Massumi lineage)","Affect theory explains how pre-cognitive intensities circulate through media to mobilize bodies and political feeling.","Anatomy of a Media Event: Disinformation and Event Making in Television and Social Media","Ram Bhat","BioScope: South Asian Screen Studies","16(1)","2025","https://doi.org/10.1177/09749276251335057","Treats media events as affective spaces whose event-making forms signify politics to audiences, locating disinformation within a network of affective rather than purely informational circulation.","OA"
"material memory / archival absence","Concept developed by Dootson & Gaur (engaging media materiality / trace)","Reorients colour-film historiography from extant images toward material traces (music, ephemera, oral history) to write histories of lost films.","A History of Colour Cinema That Can Account for Indian Cinema: The Bombay Film Laboratory, Kashmir's Climate and Gevacolor's Pamposh","Kirsty Sinclair Dootson; Poorvi Gaur","BioScope: South Asian Screen Studies","16(1)","2025","https://doi.org/10.1177/09749276251321449","Argues the lost film Pamposh survives in non-filmic traces that reveal how the assimilation of Gevacolor into Bombay cinema became a paradigm for the political assimilation of Kashmir into India.","OA"
"national narrative / national identity","Benedict Anderson (imagined community lineage)","Theorizes the nation as an imagined community continuously codified through cultural production, monuments and anniversaries.","A Looking Glass War: Bangladesh's Pendulum-swing Liberation War Cinema","Naeem Mohaiemen","BioScope: South Asian Screen Studies","16(1)","2025","https://doi.org/10.1177/09749276251338868","Reads two Liberation War films made 40 years apart (Ora Egaro Jon, Meherjaan) to trace a 'pendulum-swing' centring, decentring and return of the 1971 war as the singular event grounding Bangladeshi national identity.","OA"
"female stardom / star text","Richard Dyer (star theory)","Dyer's star theory analyzes the star as an ideologically constructed text that negotiates social tensions around identity and desire.","At the Crossroads of Erotic and Mainstream: The Two-phase Celebrity Stardom of Silk Smitha in Malayalam Cinema","Sony Jalarajan Raj","BioScope: South Asian Screen Studies","16(2)","2025","https://doi.org/10.1177/09749276251382174","Argues Silk Smitha's two-phase erotic-mainstream star text subverts, substantiates and reinstates the cultural myth of the ideal Malayali feminine, reconfiguring glamour, sexuality and female stardom in Kerala.","OA"
