keyword,theorist,concept_purpose,paper_title,paper_authors,journal,volume_issue,year,paper_url,paper_argument,access
attachment theory / internal working models,John Bowlby,"Bowlby coined 'attachment' and 'internal working models' to explain how the infant-caregiver bond forms enduring mental templates governing later emotional and social development","Attachment Theory and Mentalization in Richard Linklater's Boyhood",Maya Balakirsky Katz,American Imago,"Vol. 82, No. 1",2025,https://doi.org/10.1353/aim.2025.a962856,"Argues that Boyhood's classroom scenes overtly stage Bowlby's developmental paradigm, using attachment research's empirical apparatus to dramatize cinematic character development across the lifespan",OA
mentalization,Peter Fonagy,"Fonagy developed 'mentalization' (reflective functioning) to describe the capacity to understand oneself and others in terms of mental states, rooted in secure attachment","Attachment Theory and Mentalization in Richard Linklater's Boyhood",Maya Balakirsky Katz,American Imago,"Vol. 82, No. 1",2025,https://doi.org/10.1353/aim.2025.a962856,"Contends that Linklater implicitly and perhaps unconsciously leans on Fonagy's mentalization model in the transitions between scenes to convey interior development",OA
transitional space / transitional object,Donald Winnicott,"Winnicott coined the 'transitional object' and 'transitional space' to theorize the intermediate area of experience between inner reality and the external world, the seat of play and culture","The Representation of Holocaust Trauma in The Song of Terezin by Franz Waxman: A Psychoanalytic Listening",Susanna Valimaki and Wojciech Stepien,American Imago,"Vol. 82, No. 1",2025,https://doi.org/10.1353/aim.2025.a962857,"Uses transitional space to argue that Waxman's musical memorial opens an ethical, intermediate zone where listeners can encounter the trauma of the Other through attentive (psychoanalytic) listening",OA
cultural trauma,"Cathy Caruth / cultural trauma studies","Cultural trauma theory explains how collective catastrophes are non-verbally and belatedly registered and transmitted, exceeding ordinary representation","The Representation of Holocaust Trauma in The Song of Terezin by Franz Waxman: A Psychoanalytic Listening",Susanna Valimaki and Wojciech Stepien,American Imago,"Vol. 82, No. 1",2025,https://doi.org/10.1353/aim.2025.a962857,"Argues that music, through its affective and bodily means, constructs a discourse of Holocaust trauma and mourning that words cannot, making The Song of Terezin a sonic mechanism of cultural memory",OA
the uncanny,Sigmund Freud,"Freud's 'the uncanny' (das Unheimliche) names the disturbing return of the familiar made strange, tied to repression and the death drive","Whistler's Mothers: Painters, Models, and Uncanny Arrangements",Max Cavitch,American Imago,"Vol. 82, No. 1",2025,https://doi.org/10.1353/aim.2025.a962855,"Reads Whistler's maternal portraiture through the Freudian uncanny to analyze the unsettling psychic arrangements between painter, model and viewer",OA
spectacular silence / sonic economy of moviegoing,"Carlo Cenciarelli (building on cinema sound studies)","The notion of 'spectacular silence' is advanced to explain a shift in how silence (vs. loudness) is marketed as the unique value of the cinematic listening experience","Spectacular Silence and the Ends of Moviegoing: The Cinema as A Quiet Place (c. 2021)",Carlo Cenciarelli,"Music, Sound, and the Moving Image","Vol. 19, No. 1",2025,https://doi.org/10.3828/msmi.2025.1,"Argues that the A Quiet Place franchise's reversed sonic economy, foregrounding silence over spectacular sound, marks a broader transformation in the meanings and values of cinema as a place for listening after COVID-19 closures",OA
liminality,Victor Turner (after Arnold van Gennep),"Turner adapted van Gennep's rites-of-passage 'liminality' to theorize the ambiguous, in-between, threshold state that suspends ordinary social structure","Ambiguity and Liminality as Sonic Strategies in The Bridge",Kaapo Huttunen,"Music, Sound, and the Moving Image","Vol. 19, No. 1",2025,https://doi.org/10.3828/msmi.2025.2,"Argues that The Bridge's soundtrack consciously breaks conventional boundaries of music and sound design to create a liminal, ambiguous atmosphere mirroring the series' border setting and the 'gaps' between people",abstract-only
abjection / Powers of Horror,Julia Kristeva,"Kristeva theorized 'abjection' as the visceral horror at the breakdown of meaning and the self-other boundary, explaining attraction-repulsion toward the impure","Blood as a Fashion Statement: On the Trend of 'Abjection Chic' in Contemporary Horror Cinema",Milo Farragher-Hanks,Frames Cinema Journal,"Issue 21",2023,https://doi.org/10.15664/fcj.v21.i0.2706,"Coins 'abjection chic' to argue that films like Last Night in Soho and Men evoke abject cult-horror conventions only to disembody and aestheticize them, neutralizing the subversive potential of cinematic abjection",OA
body genres / film excess,Linda Williams,"Williams coined the 'body genres' (horror, melodrama, pornography) to explain how excessive bodily affect is culturally dismissed yet central to these forms' appeal","Blood as a Fashion Statement: On the Trend of 'Abjection Chic' in Contemporary Horror Cinema",Milo Farragher-Hanks,Frames Cinema Journal,"Issue 21",2023,https://doi.org/10.15664/fcj.v21.i0.2706,"Draws on Williams's body genres to situate horror's sensory excess as the very quality that 'abjection chic' suppresses in pursuit of mainstream respectability and cultural capital",OA
the voice in cinema / voco-centrism,Michel Chion,"Chion theorized the cinematic voice and 'voco-centrism' to explain how the human voice instantly establishes a hierarchy of perception in the soundtrack","The Voice of Meiko Kaji in 1970s Japanese Exploitation Cinema",Ash Johann Curry-Machado,Frames Cinema Journal,"Issue 21",2023,https://doi.org/10.15664/fcj.v21.i0.2701,"Uses Chion's voco-centrism to argue that Kaji's sung theme songs dominate the soundscape and carry her characters' feminist vengeance, transforming silence and song into a vehicle of agency in exploitation cinema",OA
