keyword,theorist,concept_purpose,paper_title,paper_authors,journal,volume_issue,year,paper_url,paper_argument,access
"banality of evil","Hannah Arendt","Concept devised after the Eichmann trial to explain how ordinary, thoughtless bureaucratic functioning enables mass atrocity without monstrous intent","Shot Composition as Philosophy: The Zone of Interest Illustrates the Banality of Evil","Thomas E. Wartenberg","Film and Philosophy","Vol. 30 (online first)","2025","https://doi.org/10.5840/filmphil202512241","Argues that the foreground/background contrast within the film shot operates like verbal irony, and that The Zone of Interest visualizes Arendt's banality of evil by placing the Hoss family's happy domestic life in the foreground while Auschwitz looms in the background","OA"
"anti-work of art","Theodor Adorno","Critical-theory notion that genuine art resists the commodifying, pacifying logic of the culture industry by refusing satisfaction and turning toward suffering","Surrender to the Silence Following a Question: Benjamin, Adorno, Wittgenstein, and Apichatpong Weerasethakul's Memoria","Eleanor Furness","Film and Philosophy","Vol. 30 (online first)","2025","https://doi.org/10.5840/filmphil202512242","Reads Apichatpong's Memoria as Adorno's anti-work of art: the film inhibits viewer identification, quells the drive for explanation, and cultivates open questions, embodying Frankfurt School and Wittgensteinian ideas in form and content","OA"
"orchid in the land of technology","Walter Benjamin","Benjamin's figure for the survival of aura and natural beauty within technological reproduction and the culture industry","Surrender to the Silence Following a Question: Benjamin, Adorno, Wittgenstein, and Apichatpong Weerasethakul's Memoria","Eleanor Furness","Film and Philosophy","Vol. 30 (online first)","2025","https://doi.org/10.5840/filmphil202512242","Uses Benjamin's phrase to argue that Memoria's resistance to the culture industry glimpses an enduring natural/auratic remainder, communicated through editing, dialogue and metaphor","OA"
"representative value of choice","T.M. Scanlon","Scanlon's contractualist concept of how persons assert agency through self-representing choices, here repurposed to theorize filmic characterization","On the Documented Subject: An Analysis of the Filmic Presentation of Human Beings","Tyler Olds","Film and Philosophy","Vol. 30 (online first)","2025","https://doi.org/10.5840/filmphil2025111140","Refines Arthur Danto's fiction/non-fiction distinction by arguing that documentary subjects are filmmakers' characterizations, drawing on Scanlon to explain how filmic characterization manipulates subjects' capacity for action-based self-representation","OA"
"moving pictures ontology","Arthur Danto","Danto's distinction between fictional films (centering characters) and non-fictional films (featuring real people)","On the Documented Subject: An Analysis of the Filmic Presentation of Human Beings","Tyler Olds","Film and Philosophy","Vol. 30 (online first)","2025","https://doi.org/10.5840/filmphil2025111140","Contends Danto's distinction is too coarse: non-fictional subjects are presented through the filmmaker's characterization, not as bare real-world persons, introducing a notion of fictionalization for non-fictional subjects in fictional settings","OA"
"purposiveness without a purpose","Immanuel Kant","Kantian formalist concept of aesthetic judgment in which we perceive design without an actual purpose, here linked to human hubris","Electric Light (o)","Sydney Harvey","Film and Philosophy","Vol. 30 (online first)","2025","https://doi.org/10.5840/filmphil2025111039","Argues conspicuous electric light in film (chiaroscuro, overexposure, lens flare) induces a Kantian false purposiveness that mirrors human hubris in anthropogenic narratives, supported by cognitive-science findings on attention to light","OA"
"bad faith","Jean-Paul Sartre","Sartre's existentialist concept of self-deception by which we flee the anxiety of freedom and an uncontrollable future","The Beast and Betise: Bad Faith, Stupidity, and Paradoxes of Faith in the Age of AI","Heewon Seo","Film and Philosophy","Vol. 30 (online first)","2025","https://doi.org/10.5840/filmphil2025111038","Reads Bonello's The Beast (2023) through Sartrean bad faith and Derridean paradox of belief to argue that what distinguishes humans from AI is not intelligence but stupidity (betise), the capacity to believe the impossible","OA"
"paradox of belief","Jacques Derrida","Derrida's account of belief as inherently impossible yet enabling a leap toward the Other and the future","The Beast and Betise: Bad Faith, Stupidity, and Paradoxes of Faith in the Age of AI","Heewon Seo","Film and Philosophy","Vol. 30 (online first)","2025","https://doi.org/10.5840/filmphil2025111038","Mobilizes Derrida's paradox of belief alongside Sartre to read The Beast's vision of technologically sanitized interiority, arguing belief learned through failure makes possible the leap toward the impossible Other","OA"
"heroic and divine virtue","Aristotle","Aristotle's underdeveloped Nicomachean Ethics notion of a superhuman, godlike virtue that transforms a person into a godly being","When Virtue, Freedom, and Fortitude Are 'Heroic and Divine': The Case Studies of Dragon Ball, One Piece, and Naruto","Marco Vorcelli","Film and Philosophy","Vol. 30 (online first)","2025","https://doi.org/10.5840/filmphil202511736","Applies Aristotelian heroic virtue and magnanimity as a flexible interpretive lens to read shonen anime protagonists in Dragon Ball, One Piece and Naruto","OA"
"philosophy of nostalgia","Enrico Terrone","Philosophical account of nostalgia's intentional structure as a bittersweet fusion of memory, imagination, and desire","It's Not Called the Wheel, It's Called the Carousel: Mad Men and the Philosophy of Nostalgia","Enrico Terrone","Film and Philosophy","Vol. 30 (online first)","2025","https://doi.org/10.5840/filmphil202511635","Argues the Kodak Carousel pitch in Mad Men is television-philosophy that exemplifies nostalgia's intentional structure and its dual role in identity (self-continuity and esteem versus masking existential fracture)","OA"
"white privilege","Shannon Sullivan","Critical philosophy of race concept analyzing the unconscious habits of middle-class white anti-racism that reproduce racial privilege","Shannon Sullivan's White Privilege and Antisemitism in James Gray's Armageddon Time","Seth Vannatta","Film and Philosophy","Vol. 29 (online first)","2024","https://doi.org/10.5840/filmphil202410332","Uses Sullivan's account of white privilege to read Armageddon Time, arguing that the Jewish Graff family complicates Sullivan's largely binary white/non-white matrix and that antisemitism poses a problem for her framework","OA"
"taxonomy of envy","Sara Protasi","Philosophy-of-emotion taxonomy distinguishing kinds of envy and their political valence","'You and me, same!': Political Envy in Do The Right Thing","Logan Canada-Johnson, Sara Protasi","Film and Philosophy","Vol. 29 (online first)","2024","https://doi.org/10.5840/filmphil202410229","Builds on Protasi's taxonomy of envy to argue political envy is central to the racial dynamics of Spike Lee's Do The Right Thing, analyzing how envy can both impede and promote political action","OA"
"caring attention","Iris Murdoch","Murdoch's moral-philosophical idea that sustained loving attention toward another yields a more just perception and moral improvement","Murdoch's Caring Gaze and 'My Octopus Teacher'","Thomas E. Wartenberg","Film and Philosophy","Vol. 28 (online first)","2023","https://doi.org/10.5840/filmphil202310926","Argues My Octopus Teacher illustrates and corrects Murdoch's account of attention, showing a human's sustained attention to a cephalopod is morally transformative and overcoming the anthropocentric bias in her view","OA"
"knight of faith","Soren Kierkegaard","Kierkegaard's existentialist figure who, in fear and trembling, sustains faith amid finitude, paradox and the absurd","The Tragedy of the Knight of Faith: The Kierkegaardian Tension of Scorsese's Cinema","Francesco Sticchi, Silvia Liliana Angeli","Film and Philosophy","Vol. 28 (online first)","2023","https://doi.org/10.5840/filmphil202382124","Reads Scorsese's storyworlds (Raging Bull, Silence) as conceptual personae embodying Kierkegaardian knights of faith, generating existential tension between desire for wholeness and mortality through affective film experience","OA"
"becoming-animal","Gilles Deleuze and Felix Guattari","Deleuzo-Guattarian concept of subjectivity formed through nonhuman becomings that decenter the human subject","Toward a Non-Anthropocentric Italian Cinema: Pietro Marcello's Lost and Beautiful","Laura Di Bianco","Film and Philosophy","Vol. 27 (online first)","2023","https://doi.org/10.5840/filmphil2022103118","Adopts ecocritical and posthuman perspectives (Deleuze and Guattari's becoming-animal) to argue Lost and Beautiful decenters the human and grants subjectivity to a nonhuman protagonist, gesturing toward a non-anthropocentric cinema","OA"
"theory of solidarity","Noel Carroll","Carroll's cognitive account of how films generate character allegiance and audience solidarity, critiqued here from critical race theory","Racialized Disgust and the Depiction of Native Americans in the Ranown Cycle Westerns","Dan Flory","Film and Philosophy","Vol. 28 (online first)","2023","https://doi.org/10.5840/filmphil20238723","Synthesizes critical philosophy of race, cognitive film theory and philosophy of emotion to argue the Ranown Westerns elicit embodied, implicit racialized disgust toward Native Americans, with ideological implications Carroll's solidarity theory underweights","OA"
"Heideggerian phenomenology of film","Martin Heidegger","Heidegger's phenomenology of being-in-the-world, mood (Stimmung) and world-disclosure, adapted to theorize the film experience","Introduction: Heidegger and the Phenomenology of Film","Robert Sinnerbrink","Film-Philosophy","Vol. 28, No. 1","2024","https://doi.org/10.3366/film.2024.0251","Introduces a special issue mapping a Heideggerian strand of film phenomenology, situating it among Merleau-Pontian, Husserlian and Deleuzian-affect approaches to embodied spectatorship and world-disclosure","OA"
"plasticity / destructive plasticity","Catherine Malabou","Malabou's concept of plasticity as the giving, receiving and destroying of form, including the destructive plasticity of trauma that forges unrecognisable new identities","Introduction: Catherine Malabou, Plasticity and Film","Benjamin Dalton, Ben Tyrer","Film-Philosophy","Vol. 28, No. 3","2024","https://doi.org/10.3366/film.2024.0278","Makes the case for an emerging Malabouian film-philosophy, surveying her references to cinema and the uptake of plasticity (especially destructive plasticity and trauma) within screen studies","OA"
"new materialism","Jane Bennett / new materialist criticism","New materialist framework theorizing distributed agency emerging from human entanglements with other lifeforms, matter and cosmic time","New Materialist Freedom in Chloe Zhao's Nomadland","Randy Laist","Film-Philosophy","Vol. 28, No. 2","2024","https://doi.org/10.3366/film.2024.0265","Argues Nomadland redirects the iconography of masculine American cinematic freedom into a new materialist vision in which Fern's refusal of a fixed home reconceives identity, agency and freedom as planetary entanglement","OA"
"eternal recurrence / death of God","Friedrich Nietzsche","Nietzschean concepts of eternal recurrence, the death of God and nihilism, used to read circularity, repetition and endurance under bleakness","Nietzschean Themes in Bela Tarr's The Turin Horse","Paolo Stellino","Film-Philosophy","Vol. 28, No. 2","2024","https://doi.org/10.3366/film.2024.0267","Reads Bela Tarr's The Turin Horse (which opens with the 1889 Turin anecdote about Nietzsche) through eternal recurrence in its circular repetition, the death of God in the neighbor's monologue, and pervasive nihilism","OA"
"Deleuzian time and death","Gilles Deleuze","Deleuze's philosophy of time and the time-image, mobilized to think the relation between moving images, death and the nature of time","Death as Film-Philosophy's Muse: Deleuzian Observations on Moving Images and the Nature of Time","Garin Dowd","Film-Philosophy","Vol. 27, No. 3","2023","https://doi.org/10.3366/film.2023.0227","Offers Deleuzian observations on how moving images figure death and temporality, positioning death as a generative problem for film-philosophy's thinking of time","OA"
"stratigraphic image / in-between space","Gilles Deleuze (stratigraphy) and spatial montage theory","Deleuzian stratigraphy and spatial theory used to analyze the layering of images/sounds and the inter-space between semantic orders","Strata, Narrative, and Space in Ici et ailleurs","Kamil Lipinski","Film-Philosophy","Vol. 27, No. 2","2023","https://doi.org/10.3366/film.2023.0225","Examines Godard and Mieville's Ici et ailleurs as a stratification of images and sounds, arguing its narrative relies on an in-between method that juxtaposes static Western family life with Palestinian Fedayeen, defining an inter-space between semantic orders","OA"
"twofoldness of the moving image","Richard Wollheim (extended to film)","Wollheim's notion of seeing-in / twofoldness, extended to the perceptual and neuroscientific experience of filmic images","Psychology and Neurobiology of Horror Movies","Lauri Nummenmaa","Projections: The Journal for Movies and Mind","Vol. 18, No. 2","2024","https://doi.org/10.3167/proj.2024.180203","Explains the appeal of horror films via the brain's reality-check and emotion-regulation systems: vicarious simulation, threat proximity and unpredictability engage fear safely, mixing fear and excitement and enabling safe learning about danger","abstract-only"
"parasocial contact hypothesis","Edward Schiappa","Cognitive-communication hypothesis that mediated (parasocial) contact with outgroup characters reduces prejudice much as real intergroup contact does","Reducing Prejudice through Mediated Exposure: The Parasocial Contact Hypothesis","Edward Schiappa","Projections: The Journal for Movies and Mind","Vol. 18, No. 1","2024","https://doi.org/10.3167/proj.2024.180103","Traces the parasocial contact hypothesis from early film-effects and cultivation research to its current tenets, arguing film and television representation can reduce prejudice through mediated exposure to outgroup characters","abstract-only"
"biocultural approach","biocultural criticism (Hogan/Boyd lineage)","Biocultural framework integrating cognitive/neuroscientific findings with cultural analysis of embodied minds, here for disability representation","Moving, Thinking, and Representing the Autistic Mind/Body: Disability Representation in Extraordinary Attorney Woo","Kuansong Victor Zhuang, Sze-Hwee Jace Tay, Gerard Goggin","Projections: The Journal for Movies and Mind","Vol. 18, No. 1","2024","https://doi.org/10.3167/proj.2024.180105","Uses a biocultural approach to analyze the embodied autistic mind/body in Extraordinary Attorney Woo, arguing deep-rooted neuro-stereotypes still shape progressive disability representation and must be acknowledged for equitable portrayal","abstract-only"
