keyword,theorist,concept_purpose,paper_title,paper_authors,journal,volume_issue,year,paper_url,paper_argument,access
world-systems theory (core/periphery),Immanuel Wallerstein,"He devised the core-periphery model to explain how the modern capitalist world-economy structurally enriches an industrial Western 'core' by extracting value from a dependent 'periphery.'","Sex, Drugs, and Neocolonial Leisure: An Intermedial History and Analysis of Dieter Schidor's Kalt in Kolumbien (1985)",Juan Camilo Velásquez,Alphaville: Journal of Film and Screen Media,No. 29-30,2025,https://doi.org/10.33178/alpha.2930.01,"Reads the German-Colombian coproduction Kalt in Kolumbien through a core/periphery lens to show how the film documents Latin America as a romanticised, exploitable periphery serving a Western cultural and economic core.",OA
dependency theory / unequal exchange,Raúl Prebisch,"Prebisch developed dependency and unequal-exchange theory to explain why peripheral economies that export raw materials remain structurally poor relative to the industrialised centre.","Sex, Drugs, and Neocolonial Leisure: An Intermedial History and Analysis of Dieter Schidor's Kalt in Kolumbien (1985)",Juan Camilo Velásquez,Alphaville: Journal of Film and Screen Media,No. 29-30,2025,https://doi.org/10.33178/alpha.2930.01,"Uses dependency theory to frame the unequal German-Colombian labour and leisure relations both within the film's plot and in its actual production in 1980s Cartagena.",OA
transnational cinema taxonomy,Mette Hjort,"Hjort created a typology of cinematic transnationalisms (opportunistic, cosmopolitan, etc.) to distinguish the differing political and economic motivations behind cross-border film production.","Sex, Drugs, and Neocolonial Leisure: An Intermedial History and Analysis of Dieter Schidor's Kalt in Kolumbien (1985)",Juan Camilo Velásquez,Alphaville: Journal of Film and Screen Media,No. 29-30,2025,https://doi.org/10.33178/alpha.2930.01,"Classifies Kalt in Kolumbien as a case of 'opportunistic'/'cosmopolitan' transnationalism, a financially motivated coproduction by well-travelled cosmopolitans rather than a politically neutral collaboration.",OA
hauntology,Jacques Derrida,"Derrida coined hauntology in Specters of Marx to describe how the past and its lost futures persistently 'haunt' the present, displacing a positivist, linear sense of history.","From Thailand to Colombia: Soundscapes of a Violent Past in Apichatpong Weerasethakul's Memoria (2021)",Javier Pérez-Osorio,Alphaville: Journal of Film and Screen Media,No. 29-30,2025,https://doi.org/10.33178/alpha.2930.11,"Argues that Memoria's sound design makes Colombia's buried colonial and civil-war traumas reverberate in the present, turning protagonist Jessica into an 'antenna' for the ghosts of historical violence.",OA
soundscape,R. Murray Schafer,"Schafer coined 'soundscape' to theorise the sonic environment as a culturally constructed world, arguing that 'hearing is a way of touching at a distance.'","From Thailand to Colombia: Soundscapes of a Violent Past in Apichatpong Weerasethakul's Memoria (2021)",Javier Pérez-Osorio,Alphaville: Journal of Film and Screen Media,No. 29-30,2025,https://doi.org/10.33178/alpha.2930.11,"Analyses Memoria's meticulous sound editing as a soundscape that lets the spectator 'touch at a distance' the memories of Colombia's violent past.",OA
triangular exchange of Latin American cinema,Paul Schroeder Rodríguez,"Schroeder Rodríguez framed Latin American cinema as the product of an ongoing triangular exchange between Hollywood, Europe, and Latin America to capture its hybrid aesthetic formation.","From Thailand to Colombia: Soundscapes of a Violent Past in Apichatpong Weerasethakul's Memoria (2021)",Javier Pérez-Osorio,Alphaville: Journal of Film and Screen Media,No. 29-30,2025,https://doi.org/10.33178/alpha.2930.11,"Extends the triangular-exchange model to show how a Thai auteur's outsider gaze sidelines Hollywood/European influence and forges South-South cinematic solidarity.",OA
South-South solidarities,Macarena Gómez-Barris,"Gómez-Barris theorised South-South solidarities to move beyond nation-centred frameworks and reposition the Global South as an active maker of transnational representational politics.","From Thailand to Colombia: Soundscapes of a Violent Past in Apichatpong Weerasethakul's Memoria (2021)",Javier Pérez-Osorio,Alphaville: Journal of Film and Screen Media,No. 29-30,2025,https://doi.org/10.33178/alpha.2930.11,"Reads Memoria as forging a Thailand-Colombia South-South solidarity built on shared experiences of unresolved state violence.",OA
phantasmagorical realism,Cecília Mello,"Mello coined 'phantasmagorical realism' to name a contemporary realist cinema that incorporates ghosts and the unexplainable to address trauma and political violence.","From Thailand to Colombia: Soundscapes of a Violent Past in Apichatpong Weerasethakul's Memoria (2021)",Javier Pérez-Osorio,Alphaville: Journal of Film and Screen Media,No. 29-30,2025,https://doi.org/10.33178/alpha.2930.11,"Situates Memoria within a genealogy of phantasmagorical realism shared by East/Southeast Asian and Latin American cinemas that grapple with historical trauma through spectral aesthetics.",OA
representations of HIV/AIDS / moral panic,Gustavo Subero,"Subero studied media representations of HIV/AIDS in Latin America to expose how 'othering' discourses construct the disease as foreign and morally threatening.","Foreign Body: AIDS, Moral Panic, and Otherness in Via Appia (1989)",Henrique Rodrigues Marques,Alphaville: Journal of Film and Screen Media,No. 29-30,2025,https://doi.org/10.33178/alpha.2930.02,"Argues that the German film Via Appia reinforces foreign imaginaries of the Brazilian AIDS crisis, constructing the infected body and Brazil itself as exoticised sites of moral panic and otherness.",OA
dialogism,Mikhail Bakhtin,"Bakhtin developed dialogism to argue that meaning is never closed or monologic but always produced through an open-ended exchange of voices in a social context.","Unfinished Thinking and the Unfinished Film: Feminist Filmmaking in Cuba, Catalunya, and Scotland",David Archibald and Núria Araüna Baró,Alphaville: Journal of Film and Screen Media,No. 29-30,2025,https://doi.org/10.33178/alpha.2930.09,"Builds a 'dialogical cinema' methodology from Bakhtin to structure no-budget feminist filmmaking that fosters translocal solidarity between activists in the Global North and South.",OA
