keyword,theorist,concept_purpose,paper_title,paper_authors,journal,volume_issue,year,paper_url,paper_argument,access
zany,Sianne Ngai,"Aesthetic category theorizing how performative labor and frantic affect under post-Fordist capitalism becomes a comic style; 'zany' names the precarious worker stretched across too many roles","A Precarious and Zany Youth: The Feminist Comedy of Malena Pichot",Joaquín Serpe,The Velvet Light Trap,"No. 94, Fall 2024",2024,https://muse.jhu.edu/pub/15/article/945346,"Reads Malena Pichot's web series Cualca through Ngai's zaniness to show how feminist comedy registers the generalized precarity and misogyny of the Argentine media-labor context, pushing against postfeminist representation",abstract-only
precarity,Lauren Berlant,"Affective condition of living in chronic instability under neoliberalism, where the promise of the good life frays into ongoing crisis ordinariness","A Precarious and Zany Youth: The Feminist Comedy of Malena Pichot",Joaquín Serpe,The Velvet Light Trap,"No. 94, Fall 2024",2024,https://muse.jhu.edu/pub/15/article/945346,"Uses precarity to argue that Pichot's comedy both depicts and is produced within precarious labor structures, making feminist politics inseparable from the economics of online cultural production",abstract-only
emotional labor,Arlie Russell Hochschild,"Concept describing the commodified management of feelings demanded of workers, especially women, as part of the job under service capitalism","Post-#MeToo Reflections on Pre-#MeToo TV Production: Female Actors' Precarity, Agency, and Emotional Labor",Kristina Brüning,The Velvet Light Trap,"No. 94, Fall 2024",2024,https://muse.jhu.edu/pub/15/article/945352,"Argues that female TV actors performed extensive emotional labor and navigated precarity and constrained agency within pre-#MeToo production cultures, reframing on-set abuse as a structural labor problem",abstract-only
platformization,"David Nieborg & Thomas Poell","Concept for how platform infrastructures, data and business models reorganize the production and circulation of cultural goods and creative labor","Losing Color Consciousness: Platformization and Precarious Practices in Premiere Pro","Brendan McCauley, J. D. Swerzenski",The Velvet Light Trap,"No. 94, Fall 2024",2024,https://muse.jhu.edu/pub/15/article/945347,"Argues that the platformization of editing software like Adobe Premiere Pro embeds precarious, deskilled color-grading practices, eroding craft knowledge ('color consciousness') among media workers",abstract-only
synthetic performance,Sarah Thomas,"Framework for the 'somebodies/nobodies' divide produced as generative AI manufactures digital performers, restructuring consent, identity and labor value of human performers","'Somebodies' and 'Nobodies': Generative AI and Audiovisual Performer Labor",Sarah Thomas,The Velvet Light Trap,"No. 94, Fall 2024",2024,https://muse.jhu.edu/pub/15/article/945343,"Argues generative AI splits performers into valued 'somebodies' and disposable 'nobodies', intensifying precarity and raising ethical questions of consent and identity manipulation in synthetic media labor",abstract-only
black capitalism,Robert E. Weems / Robert L. Allen,"Critical concept analyzing the postwar incorporation of Black economic advancement into corporate and consumer capitalism as a containment of radical Black politics","Help (1970): Afram and Black Capitalism",Will Hair,The Velvet Light Trap,"No. 94, Fall 2024",2024,https://muse.jhu.edu/pub/15/article/945349,"Reads the corporate-sponsored film Help (1970) and the Afram organization as artifacts of black capitalism, showing how media promoted entrepreneurial uplift as a response to civil-rights-era demands",abstract-only
(post)cinematic assembly,Judith Butler,"Performative theory of assembly: bodies gathering in public enact a plural, embodied politics that exceeds speech, grounding claims to appear and to live a livable life","Crowd Choreographies: Spike Lee's BlacKkKlansman (2018) and the Politics of (Post)Cinematic Assembly",Claudia Breger,Discourse,"Vol. 46, No. 2, Spring 2024",2024,https://doi.org/10.1353/dis.2024.a959523,"Reads BlacKkKlansman's crowd scenes through Butler's performative assembly to theorize how cinema choreographs collective bodies, articulating a politics of (post)cinematic assembly across affect and montage",abstract-only
collective laughter,Henri Bergson,"Theory of laughter (Le rire) as a social corrective: laughter is inherently collective, an élan that disciplines mechanical rigidity and binds the group","'The Most Revolutionary Affect of the Masses': Collective Laughter",Maggie Hennefeld,Discourse,"Vol. 46, No. 2, Spring 2024",2024,https://doi.org/10.1353/dis.2024.a959524,"Mobilizes Bergson on contagious laughter to argue that hysterical collective laughter is a revolutionary mass affect blurring anxiety and enjoyment, theorizing bodily contagion as political potential",abstract-only
masses,Walter Benjamin,"Theory of the masses and distraction: the modern collective body absorbs technological media reception, opening laughter and shock as politicized mass experience","'The Most Revolutionary Affect of the Masses': Collective Laughter",Maggie Hennefeld,Discourse,"Vol. 46, No. 2, Spring 2024",2024,https://doi.org/10.1353/dis.2024.a959524,"Draws on Benjamin's account of the masses to read viral and historical instances of collective laughter as a revolutionary affect of the technologically mediated crowd",abstract-only
fabulation,Gilles Deleuze,"Concept of fabulation / 'the people to come': minor cinema invents a missing people through legending rather than representing an existing collective","Fabulation, Magical Transformation, and Montage: Reconsidering the Complex Correspondences between Cinema and the People",Jamie Chambers,Discourse,"Vol. 46, No. 3, Fall 2024",2024,https://doi.org/10.1353/dis.2024.a967981,"Reconsiders Deleuze's fabulation and the people-to-come to rethink how montage and magical transformation in cinema relate to 'the people', proposing a richer model of cinema-collectivity correspondence",abstract-only
