keyword,theorist,concept_purpose,paper_title,paper_authors,journal,volume_issue,year,paper_url,paper_argument,access
any-space-whatever,Gilles Deleuze,"Deleuze's term (from Cinema 1) for a deconnected, emptied-out cinematic space that detaches affect from sensory-motor action, describing a postwar crisis of perception","Antonioni's cinema of any-space-whatever: Antonioni, posthumanism, material interconnectedness",Hisup Shin,Studies in European Cinema,vol 23 (online first),2026,https://doi.org/10.1080/17411548.2026.2657198,"Reads Antonioni's modernist landscapes as Deleuzian any-spaces that dissolve the human subject into a field of material relations, reframing his alienation films as ecological visions of human-nonhuman entanglement",abstract-only
new materialism / posthumanism,Stacy Alaimo,"Concept of trans-corporeality and material interconnectedness theorising the porous co-constitution of human bodies and the more-than-human environment","Antonioni's cinema of any-space-whatever: Antonioni, posthumanism, material interconnectedness",Hisup Shin,Studies in European Cinema,vol 23 (online first),2026,https://doi.org/10.1080/17411548.2026.2657198,"Mobilises new-materialist posthumanism (Alaimo, Latour, Morton) to argue that Antonioni's emptied spaces register the Anthropocene entanglement of bodies and matter rather than mere existential malaise",abstract-only
hyperobjects,Timothy Morton,"Object-oriented concept for entities (climate, pollution) massively distributed in time and space that exceed human perception, explaining ecological awareness in the Anthropocene","Antonioni's cinema of any-space-whatever: Antonioni, posthumanism, material interconnectedness",Hisup Shin,Studies in European Cinema,vol 23 (online first),2026,https://doi.org/10.1080/17411548.2026.2657198,"Uses Morton's hyperobjects and ecological thought to read Antonioni's deserts and industrial wastelands as figurations of planetary-scale ecological crisis exceeding the human frame",abstract-only
history-Event,Gilles Deleuze,"Deleuzian conception (Logique du sens; Nietzsche) of the pure event and untimely history that breaks linear chronology to release becoming and counter-actualisation","Cinema and history-Event: a Deleuzian perspective on two metafictional historical films depicting Portugal's political history and mythical constructs",Miguel Mesquita Duarte,Studies in European Cinema,vol 23 (online first),2025,https://doi.org/10.1080/17411548.2025.2570517,"Argues that two Portuguese metafictional historical films enact a Deleuzian 'history-Event' that destabilises national myth and official chronology, opening history to becoming rather than commemoration",abstract-only
the differend,Jean-Francois Lyotard,"Lyotard's concept for an irresolvable dispute lacking a shared idiom, exposing how dominant discourse silences incommensurable claims","Cinema and history-Event: a Deleuzian perspective on two metafictional historical films depicting Portugal's political history and mythical constructs",Miguel Mesquita Duarte,Studies in European Cinema,vol 23 (online first),2025,https://doi.org/10.1080/17411548.2025.2570517,"Draws on Lyotard's differend alongside Deleuze and Nietzsche to show how the films stage the unrepresentable conflicts of Portugal's colonial and revolutionary past",abstract-only
epistemic injustice,Miranda Fricker,"Fricker's concept for the wrong done to someone in their capacity as a knower (testimonial and hermeneutical injustice), explaining how marginalised subjects are denied credibility","Resisting epistemic injustice: the unknown knowns of the protagonist of Cristi Puiu's Aurora (2010)",Michael Keerdo-Dawson,Studies in European Cinema,vol 23 (online first),2025,https://doi.org/10.1080/17411548.2025.2568311,"Argues that Puiu's radically unknowable protagonist, via reversed dramatic irony and unbroken long takes, resists the marginalisation produced by epistemic injustice, modelling a survivor's opacity",abstract-only
necropolitics,Achille Mbembe,"Mbembe's theory of sovereignty as the power to dictate who may live and who must die, describing colonial and racialised regimes of disposability","Architectures of power and decay: colonial necropolitics and imperial debris in Coup de Torchon/clean slate (Bertrand Tavernier, 1981)",Laura Ceia,Studies in European Cinema,vol 23 no 2,2025,https://doi.org/10.1080/17411548.2025.2555741,"Reads Tavernier's colonial spaces (latrine, police post, cemetery) as necropolitical sites where authority collapses into abandonment, erasure and racialised disposability rather than stable control",abstract-only
imperial debris / ruination,Ann Laura Stoler,"Stoler's concept of imperial debris and the ongoing processes of ruination through which colonial power persists in degraded material and social forms","Architectures of power and decay: colonial necropolitics and imperial debris in Coup de Torchon/clean slate (Bertrand Tavernier, 1981)",Laura Ceia,Studies in European Cinema,vol 23 no 2,2025,https://doi.org/10.1080/17411548.2025.2555741,"Uses Stoler's imperial debris (with Foucault on disciplinary power) to argue the film stages a spatial politics of ruin in which colonial sovereignty decays into absurdity and violence",abstract-only
hegemonic centrism / mastery of nature,Val Plumwood,"Plumwood's ecofeminist critique of the dualisms (human/nature, reason/body) that license the 'mastery' and othering of the nonhuman","Othering nature: an ecocritical reading of Jessica Hausner's Little Joe (2019)",Jose-Santiago Fernandez-Vazquez,Studies in European Cinema,vol 23 (online first),2025,https://doi.org/10.1080/17411548.2025.2570530,"Applies Plumwood's hegemonic centrism and the plant-horror tradition to argue Little Joe stages anxieties about the human mastery and othering of vegetal nature in an ecological-crisis register",abstract-only
philosemitism / antisemitism theory,Martin H. Schwartz,"Critical theorisation of postwar West German philosemitism as a taboo that invests 'the Jew' with a damaging psychosexual power within the German subject","Trans misery and Jewish danger: Fassbinder's in einem Jahr mit 13 Monden (in a year of 13 Moons)",Martin H. Schwartz,Studies in European Cinema,vol 23 (online first),2025,https://doi.org/10.1080/17411548.2025.2570534,"Argues Fassbinder's film attacks philosemitic taboo through erotics, dramatising how the abstraction of Jewishness becomes psychosexually fatal to the postwar German subject while attending to trans suffering",abstract-only
women's cinema / agency,Elif Akcali; Ozlem Guclu,"Reframing women's cinema through agency and companionship rather than the scopophilic/voyeuristic gaze that fixes women as passive objects","Glaring and out loud! Thinking women's cinema in Turkey through agency and companionship",Elif Akcali and Ozlem Guclu,Studies in European Cinema,vol 23 no 2,2025,https://doi.org/10.1080/17411548.2025.2528324,"Argues post-2005 women's cinema in Turkey, energised by a rising feminist movement, disrupts dominant narrative codes and scopophilic looking through depictions of female agency and companionship",abstract-only
female subjectivity / cinematic time,Agnes Varda,"Varda's cinecriture and the dialectic of subjective vs objective time used to construct an embodied, wandering female subject against objectifying looking","Between Paris and Cleo: soundtrack, temporality and female subjectivity in Cleo from 5 to 7",Zijin Ke,Studies in European Cinema,vol 23 (online first),2025,https://doi.org/10.1080/17411548.2025.2605742,"Reads Cleo's soundtrack and temporal structure as constructing female subjectivity through sensory wandering and the dialectic of subjective and objective time, countering the silencing of women characters",abstract-only
the fold,Gilles Deleuze,"Deleuze's concept of the fold (le pli) describing continuous enfolding of matter, body and world without fixed boundaries","The heart and the sea: on the lifeblood and elemental folds of Reparer les vivants",Sarah Cooper,French Screen Studies,vol 24 no 4,2023,https://doi.org/10.1080/26438941.2023.2247811,"Uses Deleuze's writings on the fold to argue that Quillevere's heart-transplant film enfolds narrative into elemental bonds of air, water, blood and seawater, theorising an archaic connectivity of the human and the elements",abstract-only
rape-revenge genre,Kathleen McHugh,"Genre-critical and affect framework dissecting how the rape-revenge form's final violent sexual acts confound moral and sensory legibility for spectators","Anger/sex/genre: de(con)structing rape-revenge in Baise-moi and Descent",Kathleen McHugh,French Screen Studies,vol 26 (online first),2026,https://doi.org/10.1080/26438941.2026.2644795,"Argues both films deconstruct rape-revenge conventions by rendering their climactic violence illegible, exposing the genre's entanglement of anger, sex and spectatorial complicity",abstract-only
politique des auteurs,Andre Bazin / Cahiers du cinema,"The auteur-theory politique des auteurs that canonised directors as the central creative authority, here interrogated for the Tradition of Quality","Mise en scene and authorship in the Tradition of Quality (1945-1960)",Barry Nevin,French Screen Studies,vol 25 no 1-2,2025,https://doi.org/10.1080/26438941.2025.2454180,"Revisits the politique des auteurs and mise en scene to reassess the maligned Tradition of Quality, arguing for a more nuanced account of authorship and craft in postwar French cinema",abstract-only
modes of play,Roger Caillois,"Caillois's taxonomy of play (agon, alea, mimicry, ilinx) used to analyse competing logics of competition and surrender embodied by characters","Play and Performance, Perfection and Pessimism: A Reassessment of (the Politics of) Point Break",Tim Beasley-Murray,Journal of Popular Film and Television,vol 53 no 1-2,2025,https://doi.org/10.1080/01956051.2025.2508695,"Uses Caillois's categories of play to read Point Break as a conflict between agonistic pursuit and ecstatic surrender, yielding a pessimistic verdict on the cynical 'game' of culture-industry entertainment",abstract-only
queer utopia / straight time,Jose Esteban Munoz,"Munoz's concepts of queer futurity and queer utopia as a horizon of hope opposed to 'straight time' and pragmatic heteronormative temporality","Straight Time and Queer Utopia: Anthony Bridgerton and Kate Sharma's Disorientating Desire in the Regency",Emily M. Baker,Journal of Popular Film and Television,vol 54 no 1,2025,https://doi.org/10.1080/01956051.2025.2554924,"Argues Anthony and Kate's romance momentarily inhabits queer utopia against straight time, but the series reabsorbs them into heteronormative 'happy endings,' stripping their queer potential",abstract-only
