theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Claudia Tate,Domestic Allegories of Political Desire,Domestic Allegories of Political Desire,"How black women's home stories encode demands for citizenship and public virtue.",Critics,III. Identity-Based & Political,C. Postcolonial & Critical Race,1990s,Web,high
Claudia Tate,Protocols of Race,Protocols of Race,"Unspoken racial rules shaping what black desire and texts may express.",Critics,IV. Psychoanalytic & Psychological,A. Freudian & Lacanian,1990s,Web,high
Claudia Tate,Psychoanalysis of Black Textuality,Psychoanalysis and Black Novels,"Reading black fiction's hidden desire and alienation through Freudian and Lacanian frames.",Critics,IV. Psychoanalytic & Psychological,A. Freudian & Lacanian,1990s,Web,high
Claudia Tate,Black Heroine's Text,The Black Heroine's Text,"Post-Reconstruction novels using idealized heroines to model dignity and aspiration.",Critics,III. Identity-Based & Political,A. Feminist & Gender Criticism,1990s,Web,high
Claudia Tate,Aspiration as Genteel Performance,Genteel Performance,"How striving for respectability dramatizes excluded groups' claim to full personhood.",Critics,III. Identity-Based & Political,C. Postcolonial & Critical Race,1990s,Web,med
Dagmar Brunow,Remediating Transcultural Memory,Remediating Transcultural Memory,"How documentary remakes archives to reshape who a society collectively remembers.",Culture,7. Media & Communication,B. Media Archaeology & Materiality,2010s,Web,high
Dagmar Brunow,Archival Intervention,Archival Intervention,"Filmmakers actively reworking heritage footage to contest official cultural memory.",Culture,14. Memory Time Trauma & Resilience,A. Cultural & Public Memory,2010s,Web,high
Dagmar Brunow,Audiovisual Cultural Heritage,Audiovisual Cultural Heritage,"Moving images treated as living heritage rather than neutral stored records.",Culture,13. Material Spatial & Heritage Culture,F. Heritage & Preservation,2010s,Web,high
Dagmar Brunow,Queer-Feminist Counter-Archive,Queer-Feminist Counter-Archive,"Marginalized communities building alternative film archives against mainstream erasure.",Critics,III. Identity-Based & Political,B. Queer Theory,2010s,Web,med
Dan Smyer Yu,Mindscaping the Landscape,Mindscaping the Landscape,"How Tibetans imbue physical terrain with sacred memory and ecological meaning.",Culture,15. Environment Nature & Multispecies,C. Cultural Ecology & Adaptation,2010s,Web,med
Dan Smyer Yu,Eco-aesthetics of Place,Eco-aesthetics,"Beauty and reverence binding people to sacred environments and place-making.",Culture,13. Material Spatial & Heritage Culture,E. Cultural Geography & Place,2010s,Web,med
Dan Smyer Yu,Commercialization of Religious Charisma,Charisma Money Enlightenment,"How market forces commodify spiritual authority in revitalized Tibetan Buddhism.",Society,V. Advanced & Applied Social Theories,Religion,2010s,Web,med
Daniel Dayan,Media Events,Media Events,"Live broadcast ceremonies that halt routine and unite viewers in shared ritual.",Culture,7. Media & Communication,A. Media Effects & Audiences,1990s,Web,high
Daniel Dayan,Ceremonial Television,Ceremonial Television,"Coronations and funerals televised as integrative rites reaffirming collective values.",Culture,7. Media & Communication,C. Visual & Sound Culture,1990s,Web,high
Daniel Dayan,Conquest Contest Coronation,Conquest Contest Coronation,"Three scripts (conquest, contest, coronation) organizing how history is broadcast.",Culture,7. Media & Communication,A. Media Effects & Audiences,1990s,Web,high
Daniel Dayan,Monstration,Monstration,"The act of showing that frames attention and confers public visibility.",Critics,I. Formalist & Text-Centric,B. Structuralism & Semiotics,2000s,Web,med
Daniel Dayan,Almost Public Sphere,Almost Public Sphere,"Media-formed near-publics that simulate but never fully constitute civic community.",Culture,10. Affect Emotion & Embodiment,C. Affective Publics,2000s,Web,med
David Nieborg,Platformization of Cultural Production,Platformization of Cultural Production,"How app platforms reshape who makes, distributes, and monetizes culture.",Culture,11. Digital Media & Algorithmic Culture,C. Algorithmic & Platform Culture,2010s,Web,high
David Nieborg,Contingent Cultural Commodity,Contingent Cultural Commodity,"Digital cultural goods endlessly revised to fit shifting platform demands.",Economics,XIII. Platform Digital & Data Economy,Platform & Network Economics,2010s,Web,high
David Nieborg,Multisided Platform Configuration,Multisided Platform Configuration,"Markets restructured so platforms mediate many dependent parties at once.",Economics,XIII. Platform Digital & Data Economy,Platform & Network Economics,2010s,Web,high
David Nieborg,Apps of Empire,Apps of Empire,"How global capitalism's app economy entrenches a few dominant tech giants.",Culture,12. Cultural Economy & Production,A. Creative & Cultural Industries,2010s,Web,med
Deborah Nelson,Unsentimentality,Unsentimentality,"An ethic of facing painful reality without comforting empathy or pity.",Culture,10. Affect Emotion & Embodiment,B. Emotions & Emotionology,2010s,Web,high
Deborah Nelson,Tough Mode of Attention,Tough Enough,"A bracing, unflinching aesthetic stance toward suffering shared by postwar women thinkers.",Critics,XII. Affect & Sensory,A. Affect Theory,2010s,Web,high
Deborah Nelson,Cold War Privacy Discourse,Pursuing Privacy,"How postwar anxiety made private life a public legal and poetic battleground.",History,XI. Gender Body & Emotions History,B. History of Emotions,2000s,Web,high
Deborah Nelson,Confessional Privacy Paradox,Confessional Poetry and Privacy,"Confessional poetry exposing private life while privacy itself becomes politically contested.",Critics,IV. Psychoanalytic & Psychological,A. Freudian & Lacanian,2000s,Web,med
Deborah Poole,Visual Economy,Visual Economy,"How images circulate, accrue value, and organize seeing across racialized societies.",Culture,7. Media & Communication,C. Visual & Sound Culture,1990s,Web,high
Deborah Poole,Andean Image World,Andean Image World,"A circulating archive of pictures producing modern ideas of racial difference.",Culture,7. Media & Communication,C. Visual & Sound Culture,1990s,Web,high
Deborah Poole,Typological Vision,Typological Vision,"Scientific image-making that sorts bodies into fixed racial physical types.",History,VI. Postcolonial & Decolonial History,B. Race & Racism,1990s,Web,high
Deborah Poole,Image as Modern Technology of Race,Vision Race and Modernity,"Photography and engraving spreading and generalizing racial ideas in modernity.",Culture,2. Philosophy & Aesthetics of Culture,B. Cultural Aesthetics,1990s,Web,med
Denise Khor,Transpacific Film Culture,Transpacific Convergences,"How Japanese Americans built cinema circulating people and images across the Pacific.",ART,2. Art History & Historiography,C. Global & Postcolonial Art History,2020s,Web,high
