theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Barbara Loden,De-dramatized realism,de-dramatized realism,Stripping cinematic gloss to show working-class women's unromanticized everyday drift,ART,5. Literature & Literary Theory,A. Critical & Materialist Criticism,1970s,Web,med
Barbara Loden,Feminist counter-cinema,feminist counter-cinema,Female-authored film refusing Hollywood's patriarchal narrative and spectacle conventions,Critics,III. Identity-Based & Political,A. Feminist & Gender Criticism,1970s,Web,med
Barbara Loden,Politics of refusal,politics of refusal,Heroine's passivity reframed as quiet resistance to limited social options,Culture,5. British Cultural Studies (Birmingham School),D. Cultural Resistance,1970s,Web,med
Barbara Loden,Decolonized road movie,decolonized road movie,Replacing the lone male wanderer with a drifting working-class woman,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,1970s,Web,med
Barbara Zecchi,Gynocine,gynocine,Reframing women-directed cinema beyond limiting feminine or feminist film labels,Critics,III. Identity-Based & Political,A. Feminist & Gender Criticism,2010s,Web,high
Barbara Zecchi,Sexed screen,la pantalla sexuada,How film grammar inscribes and naturalizes gendered ways of looking,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,2010s,Web,high
Barbara Zecchi,Out-of-focus genealogy,desenfocadas,Recovering forgotten generations of women directors blurred from film history,Critics,V. Historical & Cultural Materialist,B. Cultural Studies,2010s,Web,med
Barbara Zecchi,Cinema and aging,cinema y envejecimiento,How screen culture renders and disciplines women's aging bodies,Culture,9. Identity & Difference,"A. Gender, Race & Sexuality",2020s,Web,med
Başak Ertür,Performative theory of trials,performative theory of trials,"Political trials gain force through staging and gesture, not legal instrumentality",LAW,"13. Law, Social Movements & Narrative",A. Law as a Tool/Site of Struggle,2020s,Web,high
Başak Ertür,Spectral law,spectral law,Ghosts of past violence haunt and shape present courtroom proceedings,LAW,9. Legal History & Historical Jurisprudence,B. Legal Exceptionalism & Law-in-History,2020s,Web,high
Başak Ertür,Theater of law,theatre of law,Courtroom as staged scene where sovereignty is performed and contested,LAW,"13. Law, Social Movements & Narrative",B. Law & Literature / Legal Storytelling,2020s,Web,med
Başak Ertür,Scenes of sovereignty,scenes of sovereignty,Trials enact the state's authority through choreographed public spectacle,Politics,"4. Power, Elites & Classical Democratic Theory",C. Totalitarianism & Authoritarianism,2020s,Web,med
Beans Velocci,Productive incoherence of sex,productive incoherence of sex,"Sex persists as a sorting category because of, not despite, its inconsistency",Critics,III. Identity-Based & Political,B. Queer Theory,2020s,Web,high
Beans Velocci,Prehistory of cisness,prehistory of cisness,Tracing how the unmarked normative body was historically manufactured,History,"XI. Gender, Body & Emotions History",A. Gender & Sexuality,2020s,Web,high
Beans Velocci,Classification as biological truth,classification as biological truth,How administrative sorting systems came to seem like natural facts,History,"IX. Environmental, Science & Technology History",B. History of Science,2020s,Web,high
Beans Velocci,Bringing bodies back to binary,bringing bodies back to binary,Experts repeatedly forcing ill-fitting bodies into a normative sex frame,Nature,4. Behavioral & Molecular Genetics,C. Molecular Genetics of Traits,2020s,Web,med
Ben Walters,Queer fun,queer fun,Playful participatory performance that builds better worlds for marginalized people,ART,3. Performance Studies & Theatre,B. Performance & Politics,2010s,Web,med
Ben Walters,Homemade mutant hope machines,homemade mutant hope machines,Improvised cabaret practices generating collective hope and autonomous community,ART,3. Performance Studies & Theatre,A. Performance Theory & Ritual,2010s,Web,med
Ben Walters,Queer kinship in performance,queer kinship in performance,Cabaret and nightlife forming chosen-family bonds among queer participants,Culture,9. Identity & Difference,"A. Gender, Race & Sexuality",2010s,Web,med
Brian R. Jacobson,Studios before the system,studios before the system,"Film studios as engineered environments controlling light, space, and modern technology",ART,12. Architecture & the Built Environment,A. Theory & Phenomenology of Space,2010s,Web,high
