theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Mette Hjort,Small cinema,small cinema,"Why minor-nation film industries thrive under constraint rather than scale.",ART,9. Anthropology & Sociology of Art,B. Cultural Industries & Production,2000s,Web,high
Mette Hjort,Gift culture,gift culture,"How filmmakers sustain production through non-monetary favors and reciprocal generosity.",ART,9. Anthropology & Sociology of Art,B. Cultural Industries & Production,2000s,Web,high
Mette Hjort,Milieu-building,milieu-building,"How creative scenes deliberately cultivate talent clusters and institutional ecosystems.",ART,9. Anthropology & Sociology of Art,B. Cultural Industries & Production,2000s,Web,med
Mette Hjort,Affinitive transnationalism,affinitive transnationalism,"Cross-border collaboration grounded in shared values, language, or cultural kinship.",Culture,8. Global & Transnational Culture,A. Hybridization & World Culture,2000s,Web,high
Mette Hjort,Creativity under constraint,creativity under constraint,"How scarcity and limitation paradoxically generate aesthetic innovation in filmmaking.",ART,1. Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,2000s,Web,med
Michaël Foessel,Privation de l'intime,privation de l'intime,"How market and surveillance erode the private inner self in modern life.",Culture,9. Identity & Difference,D. Cultural Citizenship & Politics,2000s,Web,high
Michaël Foessel,Knowledge of night,le savoir des nuits,"Why darkness suspends daytime identities and exposes thought's hidden possibilities.",Critics,VII. Phenomenological & Hermeneutic,A. Hermeneutics,2010s,Web,high
Michaël Foessel,Apocalyptic mood,état de vigilance,"How catastrophe-anticipation structures contemporary political and emotional experience.",Politics,7. Democratic Theory & Contemporary Contestation,C. Populism & Post-Politics,2010s,Web,med
Michaël Foessel,Critique of catastrophist reason,critique de la raison catastrophiste,"Why endless doom-talk paradoxically disarms genuine political agency and hope.",Politics,3. Radical & Critical Traditions,C. Critical Theory & Neo-Marxism,2010s,Web,med
Michaël Foessel,Cosmopolitan democracy,démocratie cosmopolitique,"Reviving Kantian world-citizenship against nationalist closure in fragile democracies.",Politics,"5. Justice, Recognition & Community",A. Liberalism & Justice,2010s,Web,med
Musa al-Gharbi,Symbolic capitalism,symbolic capitalism,"How elites trading in ideas and narratives dominate the knowledge economy.",Society,IV. Contemporary Social Theories,Cultural Sociology (Bourdieu),2020s,Web,high
Musa al-Gharbi,Symbolic capitalists,symbolic capitalists,"Professionals who profit from images and abstraction while claiming egalitarian virtue.",Society,IV. Contemporary Social Theories,Power and Control,2020s,Web,high
Musa al-Gharbi,Awokenings,awokenings,"Recurring cyclical surges of elite social-justice discourse tied to status anxiety.",Culture,5. British Cultural Studies (Birmingham School),C. Popular Culture & Politics,2020s,Web,high
Musa al-Gharbi,Wokeness as cultural capital,wokeness as cultural capital,"How progressive signaling functions as a status marker among educated elites.",Culture,6. Cultural Sociology,"A. Habitus, Field & Capital",2020s,Web,high
Musa al-Gharbi,Performance over progress,performance over progress,"Why elites favor symbolic gestures of justice over material redistribution.",Society,V. Advanced & Applied Social Theories,General Social Theories,2020s,Web,med
Ngũgĩ wa Thiong'o,Decolonising the mind,decolonising the mind,"How colonial language colonizes consciousness and severs people from culture.",Critics,III. Identity-Based & Political,C. Postcolonial & Critical Race,1980s,Knowledge,high
Ngũgĩ wa Thiong'o,Linguistic imperialism,linguistic imperialism,"How imposing colonizers' languages subordinates native cultures and self-perception.",Culture,8. Global & Transnational Culture,E. Indigenous & Decolonial Culture,1980s,Knowledge,high
Ngũgĩ wa Thiong'o,Cultural bomb,cultural bomb,"How colonialism annihilates a people's belief in their own names and heritage.",Critics,III. Identity-Based & Political,C. Postcolonial & Critical Race,1980s,Knowledge,high
Ngũgĩ wa Thiong'o,Moving the centre,moving the centre,"Decentering Europe by pluralizing the global sources of cultural authority.",Culture,8. Global & Transnational Culture,E. Indigenous & Decolonial Culture,1990s,Knowledge,high
Ngũgĩ wa Thiong'o,Orature,orature,"How oral storytelling traditions constitute a legitimate literature of their own.",ART,5. Literature & Literary Theory,B. Historicism & Society,1990s,Knowledge,med
Nico Baumbach,Cinema as a mode of thought,cinema as thought,"How films think philosophically rather than merely illustrating prior ideas.",ART,1. Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,2010s,Web,high
Nico Baumbach,Politics of the visible,politics of the visible,"How cinema redistributes what can be seen, said, and done politically.",ART,3. Performance Studies & Theatre,B. Performance & Politics,2010s,Web,high
Nico Baumbach,Beyond ideology critique,beyond ideology critique,"Reclaiming 1970s film theory's politics without reducing cinema to ideology.",Critics,VI. Marxist & Materialist,A. Frankfurt School & Critical Theory,2010s,Web,med
Nico Baumbach,Cinema as a form of politics,cinema as politics,"Why film is itself political action, not just political content.",ART,3. Performance Studies & Theatre,B. Performance & Politics,2010s,Web,med
Nicole Brenez,Figural analysis,analyse figurale,"Reading film images as plastic forms irreducible to language or narrative.",Critics,I. Formalist & Text-Centric,A. Formalism & New Criticism,1990s,Web,high
Nicole Brenez,Figurative invention,invention figurative,"How cinema reinvents the human body through radical image-transformations.",ART,1. Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,1990s,Web,high
Nicole Brenez,Critical cinema,cinéma critique,"How experimental film operates as visionary political and analytical activity.",ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,2000s,Web,high
Nicole Brenez,Figurative anamorphosis,anamorphose figurative,"How distorted images let films represent otherwise unrepresentable complex themes.",Critics,I. Formalist & Text-Centric,A. Formalism & New Criticism,1990s,Web,med
Nicole Brenez,Visionary cinema,cinéma de la vision,"Treating avant-garde film as an autonomous mode of thinking and resistance.",ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,2000s,Web,med
Nils Bubandt,Ghosts of the Anthropocene,ghosts,"How damaged landscapes are haunted by traces of past human violence.",Culture,"15. Environment, Nature & Multispecies",A. Ecocriticism & Anthropocene,2010s,Web,high
Nils Bubandt,Monsters of the Anthropocene,monsters,"How entangled more-than-human assemblages reveal ecology's unsettling interdependence.",Culture,"15. Environment, Nature & Multispecies",B. Multispecies & Animal Studies,2010s,Web,high
Nils Bubandt,Haunted geologies,haunted geologies,"How spirits and stones reveal the necropolitics of planetary damage.",Culture,"15. Environment, Nature & Multispecies",A. Ecocriticism & Anthropocene,2010s,Web,high
Nils Bubandt,Anthropocene uncanny,anthropocene uncanny,"Why environmental change demands nonsecular attention to spirits and the strange.",Culture,"15. Environment, Nature & Multispecies",C. Cultural Ecology & Adaptation,2010s,Web,med
Nils Bubandt,Reality of witchcraft,witchcraft reality,"How taking cannibal witches seriously challenges secular anthropological certainty.",Culture,1. Foundations & Classical Approaches,B. Anthropology of Culture,2010s,Web,med
Noel Carroll,Art-horror,art-horror,"Why audiences feel both disgust and fascination toward fictional monsters.",ART,1. Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,1990s,Knowledge,high
Noel Carroll,Paradox of horror,paradox of horror,"Why people seek out fictions designed to frighten and repel them.",ART,1. Aesthetics & Philosophy of Art,C. Cognitive & Neuro Aesthetics,1990s,Knowledge,high
Noel Carroll,Philosophy of mass art,philosophy of mass art,"Defending mass-produced cinema and TV as legitimate objects of aesthetic value.",ART,1. Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,1990s,Knowledge,high
Noel Carroll,Categorical disgust,categorical disgust,"How monsters horrify by violating our deep conceptual classification schemes.",ART,1. Aesthetics & Philosophy of Art,C. Cognitive & Neuro Aesthetics,1990s,Knowledge,med
Noel Carroll,Moderate moralism,moderate moralism,"Why a work's moral defects can sometimes count as aesthetic defects.",ART,1. Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,2000s,Knowledge,med
Noel Carroll,Narrative connection,narrative connection,"How questions and answers chain audience attention through popular storytelling.",Critics,VIII. Rhetorical & Discourse,B. Narrative Rhetoric & Ethics,1990s,Knowledge,med
Octavio Getino,Third Cinema,tercer cine,"Revolutionary anti-colonial filmmaking opposed to Hollywood and bourgeois auteur cinema.",ART,"10. Race, Gender & Postcolonial Critique of Art",B. Postcolonial & Decolonial Art,1960s,Web,high
Octavio Getino,Cinema of liberation,cine de liberación,"Film as a weapon and tool in anti-imperialist political struggle.",Politics,"6. Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,1960s,Web,high
Octavio Getino,Film-act,film-acto,"Turning screenings into participatory political assemblies rather than passive consumption.",ART,3. Performance Studies & Theatre,B. Performance & Politics,1960s,Web,med
Octavio Getino,Guerrilla filmmaking,cine guerrilla,"Clandestine collective production resisting industrial and state cinematic control.",ART,"10. Race, Gender & Postcolonial Critique of Art",B. Postcolonial & Decolonial Art,1960s,Web,med
Olivier Marboeuf,Escaping the plantation,s'enfuir de la plantation,"How marronage models decolonial flight from extractive cultural institutions.",ART,"10. Race, Gender & Postcolonial Critique of Art",B. Postcolonial & Decolonial Art,2010s,Web,high
Olivier Marboeuf,Decolonial gesture,geste décolonial,"Embracing long, shared discomfort rather than seeking ephemeral reconciliation.",Culture,8. Global & Transnational Culture,E. Indigenous & Decolonial Culture,2010s,Web,high
Olivier Marboeuf,Toxic hospitality,hospitalité toxique,"How inclusion into dominant institutions can itself reproduce colonial capture.",ART,"10. Race, Gender & Postcolonial Critique of Art",B. Postcolonial & Decolonial Art,2010s,Web,med
Olivier Marboeuf,Speculative narration,narration spéculative,"Using conversation and storytelling to transmit minoritarian knowledge otherwise.",Culture,8. Global & Transnational Culture,C. Creolization & Transculturation,2010s,Web,med
Patrick Vonderau,Media infrastructures,media infrastructures,"How distribution pipes and platforms shape what media we can access.",Culture,"13. Material, Spatial & Heritage Culture",D. Infrastructure & Urban Space,2010s,Web,high
Patrick Vonderau,The Spotify effect,the Spotify effect,"How streaming platforms restructure music economics around data and finance.",Culture,"11. Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,2010s,Web,high
Patrick Vonderau,Films that work,industrial film,"How sponsored and industrial films do organizational labor beyond entertainment.",ART,9. Anthropology & Sociology of Art,B. Cultural Industries & Production,2000s,Web,high
Patrick Vonderau,Production studies,production studies,"Studying media as the situated labor and craft of industry workers.",Culture,12. Cultural Economy & Production,A. Creative & Cultural Industries,2010s,Web,med
Patrick Vonderau,Petrocinema,petrocinema,"How oil corporations used sponsored film to manufacture industrial legitimacy.",ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,2020s,Web,med
Paul Schroeder Rodríguez,Melorealism,melorrealismo,"Contemporary Latin American film blending restrained emotion with realist nostalgia.",ART,2. Art History & Historiography,C. Global & Postcolonial Art History,2010s,Web,high
Paul Schroeder Rodríguez,Neobaroque cinema,cine neobarroco,"Using baroque excess to imagine radical alternatives to dominant modernity.",ART,2. Art History & Historiography,C. Global & Postcolonial Art History,2010s,Web,high
