theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Eyal Weizman,Forensic Architecture,Forensic Architecture,Buildings and spaces become evidence reconstructing state violence and human rights abuses,Critics,XV. Interdisciplinary & Emerging,A. New Materialism & Thing Theory,Contemporary,Knowledge,high
Eyal Weizman,Forensis,forensis,Forum-centered truth-making where material remains testify in public against power,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Knowledge,high
Eyal Weizman,The Politics of Verticality,The Politics of Verticality,"Occupation organized in layered airspace, surface, and subterrane rather than flat borders",Politics,10. International Relations & Security,B. Critical Security Studies,Contemporary,Knowledge,high
Eyal Weizman,Threshold of Detectability,Threshold of Detectability,Violence engineered to stay just below the resolution that can register it,ART,7. Visual Culture & Media Studies,B. Photography & the Image,Contemporary,Knowledge,high
Eyal Weizman,Elastic Geography,Elastic Geography,"Frontiers that stretch and fold, turning territory into a flexible weapon",History,"XII. Political, Legal & Global History",C. Global & Transnational,Contemporary,Knowledge,med
Eyal Weizman,Hollow Land,Hollow Land,Occupied terrain reorganized into a three-dimensional architecture of domination and control,Politics,"6. Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Knowledge,med
Fernando Solanas,Third Cinema,Tercer Cine,Militant anti-colonial filmmaking opposing Hollywood entertainment and European auteur individualism,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,20th c.,Knowledge,high
Fernando Solanas,Cinema of Liberation,cine de liberacion,Film as a weapon and act in decolonial revolutionary struggle,Politics,"6. Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,20th c.,Knowledge,high
Fernando Solanas,Film-Act,film-acto,"Screening as collective political event provoking spectators into action, not consumption",ART,3. Performance Studies & Theatre,B. Performance & Politics,20th c.,Knowledge,med
Fernando Solanas,Cinema of the Masses,cine para las masas,"Imperfect, collective films made with and for an oppressed people",Culture,5. British Cultural Studies (Birmingham School),D. Cultural Resistance,20th c.,Knowledge,med
Fiona Jenkins,Sensate Critique,sensate critique,Vulnerability and the image expose how frames of war distribute grievability,Critics,XII. Affect & Sensory,A. Affect Theory,Contemporary,Web,high
Fiona Jenkins,Politics of Acknowledgment,politics of acknowledgment,Acknowledgment of Country reworks settler belonging through ethical recognition of prior sovereignty,Politics,"5. Justice, Recognition & Community",C. Identity Politics,Contemporary,Web,med
Fiona Jenkins,Disciplinary Gatekeeping of Philosophy,disciplinary gatekeeping,Norms of merit reproduce women's exclusion from philosophy as a field,Society,V. Advanced & Applied Social Theories,Gender & Sexuality,Contemporary,Web,med
Fiona Jenkins,Performative Vulnerability,performative vulnerability,"Exposure to others constitutes the subject, making vulnerability a political condition",Politics,"6. Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Contemporary,Web,med
Francesca Coppa,Vidding as Women's Work,vidding,Female fans re-edit footage into music videos as critical feminist authorship,Culture,5. British Cultural Studies (Birmingham School),B. Subculture & Fandom,Contemporary,Web,high
Francesca Coppa,Fan Fiction as Performance,fan fiction,"Fan writers respond to dramatic, not literary, storytelling, re-embodying characters like actors",Critics,XI. Intertextual & Comparative,C. Adaptation & Performance,Contemporary,Web,high
Francesca Coppa,The Body in the Archive,the body in the archive,Fan video makes absent and marginalized bodies visible within mainstream media,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Web,med
Francesca Coppa,Gendered Remix,gendered remix,Remix art carries gendered legal and cultural stakes overlooked by male-coded sampling,LAW,"10. Digital, Technology & AI Law",A. Cyberlaw & Technology Regulation,Contemporary,Web,med
Francisco Varela,Autopoiesis,autopoiesis,"Living systems continuously self-produce their own components and boundary, defining life",Nature,3. Neurobiology & Neuroscience,A. Neuroplasticity & Systems,20th c.,Knowledge,high
Francisco Varela,Enaction,enaction,"Cognition arises through a body's sensorimotor coupling with its environment, not representation",Psychology,3. Cognitive Science & Neuroscience,A. Cognitive Science,20th c.,Knowledge,high
Francisco Varela,The Embodied Mind,the embodied mind,"Mind emerges from lived bodily experience, bridging cognitive science and Buddhist practice",Nature,"12. Biological Bases of Language, Cognition & Aesthetics",B. Embodied & Biological Cognition,20th c.,Knowledge,high
Francisco Varela,Neurophenomenology,neurophenomenology,First-person lived experience and neuroscience are mutually constrained to study consciousness,Nature,8. Biological Basis of Mind & Behavior,"B. Consciousness, Self & Decision",20th c.,Knowledge,high
Francisco Varela,Bringing Forth a World,bringing forth a world,"Organisms enact, rather than passively mirror, the world they perceive and inhabit",Nature,13. Neuroeconomics & Neurophilosophy,B. Neurophilosophy & Mind-Brain,20th c.,Knowledge,med
Francisco Varela,Operational Closure,operational closure,"A nervous system is informationally closed, perturbed but never instructed by environment",Critics,XIII. Systems & Complexity,A. Systems & Autopoiesis,20th c.,Knowledge,med
Francoise Robin,Tibetan Free-Verse Modernity,rang mos,Free-verse poetry breaks classical Tibetan forms to voice modern national subjectivity,ART,5. Literature & Literary Theory,B. Historicism & Society,Contemporary,Web,high
Francoise Robin,Literature of Identity Stakes,enjeux identitaires,Post-1950 Tibetan fiction negotiates cultural identity under Chinese rule and modernization,History,VI. Postcolonial & Decolonial History,C. Indigenous & Decolonial,Contemporary,Web,high
Francoise Robin,Tibetophone Cinema,cinema tibetophone,Tibetan-language film asserts vernacular self-representation against exoticizing outside gazes,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Web,med
Francoise Robin,Modern Tibetan Vernacular Voice,kha skad,Writing in spoken Tibetan democratizes literature beyond monastic classical registers,Culture,8. Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,Web,med
Gabor Mate,Trauma as Disconnection,trauma,Trauma is not the event but the resulting disconnection from authentic self,Psychology,7. Clinical & Psychopathology,C. Trauma & Resilience,Contemporary,Knowledge,high
Gabor Mate,Authenticity versus Attachment,authenticity vs attachment,"Children suppress true selves to preserve attachment, seeding later illness and addiction",Psychology,4. Developmental,C. Attachment & Parenting,Contemporary,Knowledge,high
Gabor Mate,The Realm of Hungry Ghosts,hungry ghosts,"Addiction is a flight from pain, not a choice or moral failing",Medicine,VI. Psychiatry & Mental Health,A. Sociocultural & Critical Psychiatry,Contemporary,Knowledge,high
Gabor Mate,The Myth of Normal,the myth of normal,A toxic culture normalizes chronic stress that manifests as widespread bodily illness,Medicine,I. Medical Sociology,A. Core Theories & Medicalization,Contemporary,Knowledge,high
Gabor Mate,Mind-Body Stress Connection,when the body says no,Suppressed emotion and chronic stress translate into physical and autoimmune disease,Psychology,10. Health Psychology,A. Stress & Coping,Contemporary,Knowledge,med
Gabor Mate,Compassionate Inquiry,compassionate inquiry,Therapeutic method uncovering the trauma beneath presenting symptoms through gentle self-exploration,Psychology,8. Counseling & Psychotherapy,B. Humanistic & Existential,Contemporary,Knowledge,med
Georges Didi-Huberman,Survival of Images,Nachleben,"Images carry afterlives, surviving and returning across time as anachronistic ghosts",ART,2. Art History & Historiography,A. Iconology & Social History of Art,Contemporary,Knowledge,high
Georges Didi-Huberman,The Pathos Formula,Pathosformel,Recurring gestural formulas transmit charged emotion across distant epochs of art,ART,1. Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Contemporary,Knowledge,high
Georges Didi-Huberman,Images In Spite of All,images malgre tout,Even fragmentary photographs from Auschwitz must be looked at to bear witness,ART,"15. Arts in Health, Therapy & Wellbeing","C. Art, Memory, Trauma & Witness",Contemporary,Knowledge,high
Georges Didi-Huberman,The Rip / The Tear,la dechirure,"The image tears open, disrupting knowledge with what cannot be fully seen",Critics,VII. Phenomenological & Hermeneutic,B. Aesthetics & Phenomenology of Reading,Contemporary,Knowledge,med
Georges Didi-Huberman,Dialectical Image of the Firefly,survivance des lucioles,Faint surviving glimmers of resistance persist against a world of total spectacle,Culture,4. Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,Contemporary,Knowledge,med
Georges Didi-Huberman,Knowing by Montage,savoir par montage,Juxtaposing heterogeneous images produces critical knowledge through their collisions and intervals,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Knowledge,med
Gerald Vizenor,Survivance,survivance,"Native presence as active survival and resistance, refusing the trope of victimry",History,VI. Postcolonial & Decolonial History,C. Indigenous & Decolonial,Contemporary,Knowledge,high
Gerald Vizenor,The Postindian,postindian,Native people shed the colonial invention 'Indian' to author their own presence,Culture,8. Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,Knowledge,high
Gerald Vizenor,Manifest Manners,manifest manners,"The cultural manners that perpetuate dominance and simulate the vanished, romanticized Indian",Critics,III. Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Knowledge,high
Gerald Vizenor,Trickster Discourse,trickster discourse,"Comic, communal trickster narrative subverts tragic and absolutist colonial representations",Critics,VIII. Rhetorical & Discourse,B. Narrative Rhetoric & Ethics,Contemporary,Knowledge,med
Gerald Vizenor,Terminal Creeds,terminal creeds,Rigid fixed identities and beliefs that imprison rather than liberate the self,Critics,III. Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Knowledge,med
Gerald Vizenor,Shadow Survivance,shadow survivance,Oral shadows of native memory survive within and against the printed word,ART,5. Literature & Literary Theory,B. Historicism & Society,Contemporary,Knowledge,med
Gilbert Simondon,Individuation,individuation,Beings are never fully formed; they perpetually individuate from a pre-individual reservoir,Critics,XV. Interdisciplinary & Emerging,A. New Materialism & Thing Theory,20th c.,Knowledge,high
