theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Rashna Wadia Richards,Cinephiliac Historiography,Cinephiliac Historiography,Loving a stray film fragment over the grand narrative reorders film history,ART,7. Visual Culture & Media Studies,B. Photography & the Image,Contemporary,Web,high
Rashna Wadia Richards,Cinematic Flash,Cinematic Flash,An ecstatic detail detaches from plot to seize the devoted viewer,Critics,XI. Intertextual & Comparative,A. Intertextuality,Contemporary,Web,high
Rashna Wadia Richards,Intermedial Memory,Intermedial Memory,"Prestige TV quotes cinema, summoning film memory to elevate its status",Culture,7. Media & Communication,B. Media Archaeology & Materiality,Contemporary,Web,high
Rashna Wadia Richards,The Cinematic in TV,The Cinematic,"Serial drama borrows film aesthetics through homage, evocation, genre, parody",Critics,XI. Intertextual & Comparative,B. Comparative & Adaptation,Contemporary,Web,high
Raúl Prebisch,Centre-Periphery,Centro-Periferia,World economy splits into industrial core and raw-material-exporting margins,Politics,9. Political Economy & Comparative Politics,A. Political Economy & Neoliberalism,20th-century,Knowledge,high
Raúl Prebisch,Prebisch-Singer Thesis,Tesis Prebisch-Singer,"Commodity prices fall over time, draining poor exporting nations' earnings",Economics,"XII. Welfare, Happiness & Heterodox Economics",Marxist & Heterodox Traditions,20th-century,Knowledge,high
Raúl Prebisch,Import Substitution Industrialization,Industrialización por Sustitución de Importaciones,Protecting local industry behind tariffs to escape dependence on imports,Politics,9. Political Economy & Comparative Politics,A. Political Economy & Neoliberalism,20th-century,Knowledge,high
Raúl Prebisch,Structural Heterogeneity,Heterogeneidad Estructural,"Modern and backward sectors coexist, locking in peripheral underdevelopment",Economics,"XII. Welfare, Happiness & Heterodox Economics",Marxist & Heterodox Traditions,20th-century,Knowledge,high
Raúl Prebisch,Deterioration of Terms of Trade,Deterioro de los Términos de Intercambio,Periphery must export ever more to buy the same manufactured goods,Politics,9. Political Economy & Comparative Politics,A. Political Economy & Neoliberalism,20th-century,Knowledge,high
Rebecca Wanzo,Sentimental Political Storytelling,Sentimental Political Storytelling,Suffering narratives make some victims legible to the nation while obscuring others,Critics,XII. Affect & Sensory,C. Trauma & Witnessing,Contemporary,Web,high
Rebecca Wanzo,Critical Caricature,The Content of Our Caricature,Black comic artists rework racist stereotypes to claim political belonging,ART,"10. Race, Gender & Postcolonial Critique of Art",A. Critical Race & Representation,Contemporary,Web,high
Rebecca Wanzo,Sympathetic Suffering Economy,Sympathetic Suffering,Whose pain counts as worthy of empathy is racially and politically rationed,Culture,9. Identity & Difference,"A. Gender, Race & Sexuality",Contemporary,Web,high
Rebecca Wanzo,Aberrant Fandom,Aberrant Fandom,Black women fans negotiate texts that were never made for them,Culture,5. British Cultural Studies (Birmingham School),B. Subculture & Fandom,Contemporary,Web,med
Richard Seymour,The Twittering Machine,The Twittering Machine,Social media is an addiction-machine luring users to compulsive posting,Society,VI. Digital & Network Society,Social Technology & Data,Contemporary,Web,high
Richard Seymour,The Social Industry,The Social Industry,"Platforms industrialize sociality, turning friendship into surveilled, monetized data",Culture,"11. Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Web,high
Richard Seymour,Writing Machine,Writing Machine,"Compulsive posting reflects a death-drive scriptural compulsion, not mere connection",Critics,IV. Psychoanalytic & Psychological,A. Freudian & Lacanian,Contemporary,Web,med
Richard Wollheim,Seeing-In,Seeing-In,"We see depicted objects in marked surfaces, grasping picture and paint at once",ART,1. Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,20th-century,Knowledge,high
Richard Wollheim,Twofoldness,Twofoldness,Looking at a painting we attend simultaneously to surface and to subject,ART,1. Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,20th-century,Knowledge,high
Richard Wollheim,Criticism as Retrieval,Criticism as Retrieval,Interpreting art means reconstructing the creative mental process that made it,Critics,IV. Psychoanalytic & Psychological,A. Freudian & Lacanian,20th-century,Knowledge,high
