theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Inderpal Grewal,Scattered Hegemonies,Scattered Hegemonies,Overlapping global and local powers shape women's lives unevenly,Politics,"6. Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Contemporary,Web,high
Inderpal Grewal,Transnational Feminist Practice,Transnational Feminism,Feminism crossing borders without flattening women into one global category,Politics,"6. Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Web,high
Inderpal Grewal,Critique of Global Sisterhood,Global Feminism Critique,Universal-woman framing erases diversity of women's agency and difference,Culture,9. Identity & Difference,A. Gender Race & Sexuality,Contemporary,Web,high
Inderpal Grewal,Transnational Connectivity of Movements,Transnational Connectivity,People capital ideas and movements circulate across spatial-temporal boundaries,Culture,8. Global & Transnational Culture,B. Diaspora & Deterritorialization,Contemporary,Web,med
Ira Jaffe,Slow Movies,Slow Cinema,Long takes stillness and quiet counter Hollywood's cinema of action,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Web,high
Ira Jaffe,Cinema of Stillness,Stillness,Sparse economical films observe life through minimal events and motion,ART,1. Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Contemporary,Web,med
Ira Jaffe,Hollywood Genre Hybridity,Hollywood Hybrids,Contemporary films blend genres to mix tones and audience expectations,Culture,12. Cultural Economy & Production,A. Creative & Cultural Industries,Contemporary,Web,med
Iris Murdoch,The Sovereignty of Good,The Sovereignty of Good,Moral life means attending selflessly to a reality beyond ego,Politics,11. Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Modern,Knowledge,high
Iris Murdoch,Attention,Attention,Just and loving gaze at particular persons is moral perception itself,Psychology,8. Counseling & Psychotherapy,B. Humanistic & Existential,Modern,Knowledge,high
Iris Murdoch,Unselfing,Unselfing,Beauty and attention dissolve the anxious self obscuring moral reality,ART,1. Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Modern,Knowledge,high
Iris Murdoch,The Fat Relentless Ego,The Fat Relentless Ego,Self-serving fantasy is the chief obstacle to seeing truly,Psychology,5. Personality,C. Self & Self-Concept,Modern,Knowledge,med
Iris Murdoch,Moral Vision over Choice,Moral Vision,Goodness lies in how we see not just what we choose,Critics,XIV. Cognitive & Evolutionary,A. Cognitive Literary Studies,Modern,Knowledge,med
Jacques Ellul,La Technique,La Technique,Technique becomes autonomous logic of efficiency colonizing all human activity,Culture,11. Digital Media & Algorithmic Culture,D. Technological Culture & STS,Modern,Knowledge,high
Jacques Ellul,Technological Society,Société Technicienne,Modern society organizes everything around the imperative of maximal efficiency,Society,VI. Digital & Network Society,Science & Technology Studies (STS),Modern,Knowledge,high
Jacques Ellul,Propaganda,Propagande,Modern propaganda integrates individuals into mass technological society totally,Politics,"4. Power, Elites & Classical Democratic Theory",C. Totalitarianism & Authoritarianism,Modern,Knowledge,high
Jacques Ellul,The Technological Bluff,Le Bluff Technologique,Discourse glorifying technology hides its real costs and constraints,Culture,11. Digital Media & Algorithmic Culture,D. Technological Culture & STS,Modern,Knowledge,med
Jacques Ellul,The Humiliation of the Word,La Parole Humiliée,Image culture displaces the word eroding truth and reflection,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Modern,Knowledge,med
Jane Feuer,The Ideology of Liveness,The Ideology of Liveness,Television's sense of being live is constructed ideology not technology,Culture,7. Media & Communication,A. Media Effects & Audiences,Contemporary,Web,high
Jane Feuer,Liveness as Flow,Liveness,Connotations of the live stitch broadcast flow into seamless unity,Culture,7. Media & Communication,C. Visual & Sound Culture,Contemporary,Web,med
Jane Feuer,The Hollywood Musical's Self-Reflexivity,Self-Reflexivity,Musicals conceal their artifice by celebrating spontaneous communal performance,ART,4. Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,Web,med
Janet Murray,Immersion,Immersion,Responsive digital worlds absorb us in fragile believable experience,ART,11. Digital New Media & AI Arts,B. Interactive & Immersive Media,Contemporary,Web,high
Janet Murray,Agency,Agency,Power to take meaningful action and see consequent results,ART,11. Digital New Media & AI Arts,B. Interactive & Immersive Media,Contemporary,Web,high
Janet Murray,Transformation,Transformation,Digital narrative remakes both the environment and the interacting user,Critics,X. Digital & Media-Specific,A. Digital Humanities & Hypertext,Contemporary,Web,high
Janet Murray,The Cyberbard,Cyberbard,Future authors will shape stories within malleable computational media,ART,11. Digital New Media & AI Arts,C. AI & Computational Creativity,Contemporary,Web,med
Janet Staiger,Historical Reception Studies,Reception Studies,Meaning of films emerges from historically situated interpretive communities,Critics,VII. Phenomenological & Hermeneutic,C. Reader-Response & Reception,Contemporary,Web,high
Janet Staiger,Perverse Spectators,Perverse Spectators,Real viewers interpret films against intended meanings in unruly ways,Culture,5. British Cultural Studies (Birmingham School),B. Subculture & Fandom,Contemporary,Web,high
Janet Staiger,Mode of Film Production,Mode of Production,Hollywood's industrial division of labor standardizes classical film style,ART,9. Anthropology & Sociology of Art,B. Cultural Industries & Production,Contemporary,Web,high
Janet Staiger,Context-Activated Reception,Context-Activated Reading,Social context not text alone activates how audiences read films,Critics,V. Historical & Cultural Materialist,B. Cultural Studies,Contemporary,Web,med
Jason Mittell,Narrative Complexity,Narrative Complexity,Contemporary TV embraces seriality playful chronology and deliberate ambiguity,Critics,VIII. Rhetorical & Discourse,B. Narrative Rhetoric & Ethics,Contemporary,Web,high
Jason Mittell,Forensic Fandom,Forensic Fandom,Fans collectively dig beneath complex stories to decode hidden mechanics,Culture,5. British Cultural Studies (Birmingham School),B. Subculture & Fandom,Contemporary,Web,high
Jason Mittell,Drillability,Drillability,Some texts reward viewers who drill deep into story worlds,Culture,11. Digital Media & Algorithmic Culture,E. Prosumption & Convergence,Contemporary,Web,high
Jason Mittell,Operational Aesthetic,Operational Aesthetic,Viewers delight in watching the storytelling machinery show off itself,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Web,med
Jason Mittell,Genre as Cultural Category,Television Genre,Genres are discursive constructions shaped by industry critics and audiences,Culture,7. Media & Communication,A. Media Effects & Audiences,Contemporary,Web,med
Jean Laplanche,The General Theory of Seduction,Théorie de la séduction généralisée,Adults implant enigmatic sexual messages unconsciously into every infant,Psychology,1. Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,Modern,Knowledge,high
Jean Laplanche,Enigmatic Signifiers,Signifiants énigmatiques,Caregivers' opaque unconscious messages found the child's psyche and drives,Psychology,1. Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,Modern,Knowledge,high
Jean Laplanche,Afterwardsness,Après-coup,Past events gain traumatic meaning only when reactivated later,Critics,IV. Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,Knowledge,high
Jean Laplanche,The Other-Centered Unconscious,Inconscient comme l'autre,The unconscious is implanted by the other not self-generated,Critics,IV. Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,Knowledge,med
Jean Laplanche,Anti-Hermeneutics of Translation,Traduction,Subject forms by translating the other's enigmatic messages imperfectly,Critics,VII. Phenomenological & Hermeneutic,A. Hermeneutics,Modern,Knowledge,med
Jean Ma,Melancholy Drift,Melancholy Drift,Chinese art cinema marks time through loss nostalgia and haunting,ART,2. Art History & Historiography,C. Global & Postcolonial Art History,Contemporary,Web,high
Jean Ma,Transnational Memory Culture,Transnational Memory,Chinese films foreground melancholy difficulty of binding past to present,Culture,14. Memory Time Trauma & Resilience,A. Cultural & Public Memory,Contemporary,Web,med
Jean Ma,The Songstress,Songstress,Singing screen actresses embody women's changing roles in urban modernity,Culture,9. Identity & Difference,A. Gender Race & Sexuality,Contemporary,Web,high
Jean Ma,Cinematic Lyricism,Lyricism,Song sequences gender lyrical expression across Chinese film history,ART,4. Music & Sound Studies,B. Ethnomusicology & Globalization,Contemporary,Web,med
Jean-Louis Baudry,The Cinematic Apparatus,Appareil de base,Cinema's technical setup produces ideology and the spectating subject,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Modern,Knowledge,high
Jean-Louis Baudry,Transcendental Subject Effect,Sujet transcendantal,Camera positioning sutures the viewer as illusory unified seeing subject,Critics,IV. Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,Knowledge,high
Jean-Louis Baudry,Cinema as Plato's Cave,Caverne de Platon,Darkened theater regresses spectators toward dreamlike infantile immobility,ART,1. Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Modern,Knowledge,high
Jean-Louis Baudry,Impression of Reality,Impression de réalité,Apparatus generates a hallucinatory belief in the screen's reality,Culture,4. Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,Modern,Knowledge,med
Jean-Paul Sartre,Existence Precedes Essence,L'existence précède l'essence,Humans have no fixed nature and must invent themselves,Politics,3. Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Modern,Knowledge,high
Jean-Paul Sartre,Bad Faith,Mauvaise foi,People flee their freedom by pretending to be fixed things,Psychology,5. Personality,C. Self & Self-Concept,Modern,Knowledge,high
Jean-Paul Sartre,The Look,Le Regard,Being seen by others objectifies us and structures self-consciousness,Psychology,6. Social Psychology,A. Identity & Intergroup,Modern,Knowledge,high
Jean-Paul Sartre,Radical Freedom,Liberté,We are condemned to be free and wholly responsible for ourselves,Politics,5. Justice Recognition & Community,A. Liberalism & Justice,Modern,Knowledge,high
Jean-Paul Sartre,Practico-Inert,Pratico-inerte,Past collective actions congeal into structures that constrain free praxis,Society,IV. Contemporary Social Theories,Power and Control,Modern,Knowledge,med
Jean-Paul Sartre,Seriality,Sérialité,Atomized crowds become passive collectives defined by external otherness,Society,I. Classical Sociological Traditions,—,Modern,Knowledge,med
Jeffrey Sconce,Electronic Presence,Electronic Presence,Cultures imagine new media as haunted by spectral living presence,Culture,7. Media & Communication,B. Media Archaeology & Materiality,Contemporary,Web,high
Jeffrey Sconce,Haunted Media,Haunted Media,From telegraph to TV media carry occult paranormal associations,Culture,11. Digital Media & Algorithmic Culture,B. Digital Materiality & Folklore,Contemporary,Web,high
Jeffrey Sconce,Smart Cinema,Smart Cinema,Ironic nihilistic films use detached tone for cultural critique,ART,5. Literature & Literary Theory,A. Critical & Materialist Criticism,Contemporary,Web,high
